startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Import_Vertical].[GetVerticalsByAccountIds],All,21556.0,40114.43,31.24,62.51,127.46,368.3,62.51
2018-02-05,UcmDbConn,[Import_Vertical].[GetVerticalsByAccountIds],All,26797.0,40138.67,29.22,62.5,125.0,374.89,62.5
2018-02-06,UcmDbConn,[Import_Vertical].[GetVerticalsByAccountIds],All,25896.0,40152.98,31.89,62.51,140.63,378.6,62.51
2018-02-07,UcmDbConn,[Import_Vertical].[GetVerticalsByAccountIds],All,24952.0,2470.91,32.7,62.51,113.76,265.78,62.51
2018-02-08,UcmDbConn,[Import_Vertical].[GetVerticalsByAccountIds],All,23698.0,42374.06,31.25,62.54,109.7,281.13,62.54
2018-02-09,UcmDbConn,[Import_Vertical].[GetVerticalsByAccountIds],All,19625.0,40118.02,31.67,62.51,109.39,282.68,62.51
2018-02-12,UcmDbConn,[Import_Vertical].[GetVerticalsByAccountIds],All,25356.0,40106.87,31.41,62.51,108.9,235.36,62.51
2018-02-13,UcmDbConn,[Import_Vertical].[GetVerticalsByAccountIds],All,16902.0,40261.18,60.28,62.54,125.15,308.12,62.54
2018-02-14,UcmDbConn,[Import_Vertical].[GetVerticalsByAccountIds],All,23062.0,40208.41,31.24,62.51,109.38,265.99,62.51
2018-02-15,UcmDbConn,[Import_Vertical].[GetVerticalsByAccountIds],All,21505.0,40165.41,32.11,62.52,110.32,267.06,62.52
2018-02-16,UcmDbConn,[Import_Vertical].[GetVerticalsByAccountIds],All,19156.0,34727.95,31.27,62.51,109.37,250.0,62.51
2018-02-19,UcmDbConn,[Import_Vertical].[GetVerticalsByAccountIds],All,16962.0,40450.78,29.51,62.5,93.98,296.78,62.5
2018-02-20,UcmDbConn,[Import_Vertical].[GetVerticalsByAccountIds],All,26057.0,40435.99,61.07,78.09,203.06,562.98,78.09
2018-02-21,UcmDbConn,[Import_Vertical].[GetVerticalsByAccountIds],All,25406.0,40428.84,33.52,62.52,123.08,313.02,62.52
2018-02-22,UcmDbConn,[Import_Vertical].[GetVerticalsByAccountIds],All,25341.0,40283.04,47.21,62.53,120.95,265.94,62.53
2018-02-23,UcmDbConn,[Import_Vertical].[GetVerticalsByAccountIds],All,21552.0,40635.46,34.35,62.51,124.99,400.67,62.51
2018-02-26,UcmDbConn,[Import_Vertical].[GetVerticalsByAccountIds],All,26648.0,40202.03,31.51,62.51,124.99,354.97,62.51
2018-02-27,UcmDbConn,[Import_Vertical].[GetVerticalsByAccountIds],All,29810.0,40090.39,33.53,62.51,124.82,296.76,62.51
2018-02-28,UcmDbConn,[Import_Vertical].[GetVerticalsByAccountIds],All,27978.0,19280.49,40.72,62.52,110.2,250.05,62.52
2018-03-01,UcmDbConn,[Import_Vertical].[GetVerticalsByAccountIds],All,26083.0,10332.31,42.09,62.51,109.87,265.55,62.51
2018-03-02,UcmDbConn,[Import_Vertical].[GetVerticalsByAccountIds],All,20488.0,5218.69,30.36,62.51,110.53,280.91,62.51
2018-03-05,UcmDbConn,[Import_Vertical].[GetVerticalsByAccountIds],All,23673.0,1906.46,31.27,62.51,109.38,249.93,62.51
2018-03-06,UcmDbConn,[Import_Vertical].[GetVerticalsByAccountIds],All,24414.0,1796.69,46.55,62.51,112.59,253.33,62.51
