startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,380.0,3653.17,62.48,593.77,1155.5,1687.47,593.77
2018-02-05,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,169.0,2515.68,62.51,609.5,1156.1,1687.52,609.5
2018-02-06,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,182.0,3937.41,63.1,624.98,1155.41,1749.95,624.98
2018-02-07,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,287.0,1687.32,62.5,593.74,765.67,1656.2,593.74
2018-02-08,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,236.0,3984.82,62.5,609.37,1171.87,1828.14,609.37
2018-02-09,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,195.0,2218.39,62.5,609.37,1124.4,2077.81,609.37
2018-02-12,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,124.0,1172.45,62.5,605.28,968.74,1156.26,605.28
2018-02-13,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,159.0,2281.15,62.51,621.55,750.01,1182.49,621.55
2018-02-14,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,170.0,4937.84,109.38,624.98,1156.22,4937.84,624.98
2018-02-15,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,167.0,1655.85,62.5,593.75,1046.9,1187.46,593.75
2018-02-16,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,94.0,991.54,62.39,78.12,640.67,991.54,78.12
2018-02-19,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,67.0,3046.75,60.95,617.79,1156.26,3046.75,617.79
2018-02-20,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,144.0,1233.77,62.5,593.79,921.95,1203.13,593.79
2018-02-21,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,128.0,3265.56,62.54,609.24,1140.6,2093.74,609.24
2018-02-22,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,318.0,4062.54,62.49,593.56,687.53,1203.12,593.56
2018-02-23,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,112.0,2249.91,62.49,593.33,1140.6,1703.12,593.33
2018-02-26,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,227.0,3343.74,62.49,546.87,953.1,1749.97,546.87
2018-02-27,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,263.0,2593.71,62.5,593.76,656.25,1687.49,593.76
2018-02-28,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,190.0,3328.07,62.5,611.69,1046.86,1517.27,611.69
2018-03-01,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,239.0,1812.53,62.5,593.76,720.67,1249.98,593.76
2018-03-02,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,221.0,2687.45,62.5,593.53,718.65,1593.73,593.53
2018-03-05,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,158.0,2063.79,62.5,608.81,1140.61,1390.27,608.81
2018-03-06,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,304.0,3320.26,62.5,593.75,1062.46,1281.23,593.75
2018-03-07,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,153.0,2859.33,62.5,609.38,1125.0,2749.99,609.38
2018-03-08,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,271.0,3394.38,62.5,593.39,1031.23,1546.66,593.39
2018-03-09,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,139.0,2781.22,62.5,609.37,1156.23,1609.33,609.37
2018-03-12,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,226.0,2109.37,62.5,546.83,671.86,1109.37,546.83
2018-03-13,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,257.0,15662.87,62.48,531.26,812.58,1656.23,531.26
2018-03-14,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,258.0,4109.13,62.5,515.61,734.86,1671.89,515.61
2018-03-15,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,236.0,3218.74,62.5,595.58,734.37,1665.71,595.58
2018-03-16,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,259.0,3437.47,62.5,608.71,988.69,2951.4,608.71
2018-03-19,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,134.0,3953.05,78.13,624.4,1171.45,3719.11,624.4
2018-03-20,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,177.0,3421.83,62.5,593.74,1140.96,2234.45,593.74
2018-03-21,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,200.0,3890.65,62.49,437.5,988.75,2983.99,437.5
2018-03-22,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,219.0,2222.95,62.5,484.4,1156.22,1796.59,484.4
2018-03-23,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,266.0,3468.72,62.5,577.66,671.24,2159.63,577.66
2018-03-26,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,293.0,2041.26,62.49,464.84,1062.49,1249.99,464.84
2018-03-27,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,493.0,3348.13,62.48,214.84,782.24,1687.47,214.84
2018-03-28,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,215.0,3421.76,78.0,624.99,1125.4,1562.47,624.99
2018-03-29,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,245.0,3953.86,62.49,609.36,734.35,2140.56,609.36
2018-03-30,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,192.0,3843.71,62.5,609.36,1171.55,2843.46,609.36
2018-04-02,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,203.0,2765.5,406.25,640.19,1140.59,2721.98,640.19
2018-04-03,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,196.0,2234.33,62.52,624.45,1140.59,1656.22,624.45
2018-04-04,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,201.0,4188.45,62.52,609.37,1125.0,3320.31,609.37
2018-04-05,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,200.0,2203.1,62.5,593.75,656.26,1296.85,593.75
2018-04-06,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,92.0,3954.11,265.84,624.99,1671.85,3954.11,624.99
2018-04-09,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,187.0,3343.97,62.5,609.36,821.99,1234.28,609.36
2018-04-10,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,206.0,1296.7,62.5,593.74,671.85,1124.74,593.74
2018-04-11,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,211.0,2765.68,62.53,609.36,703.2,1374.11,609.36
2018-04-12,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,172.0,3906.31,562.49,624.99,1125.4,3843.65,624.99
2018-04-13,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,192.0,21379.54,62.54,609.37,812.5,1531.22,609.37
2018-04-16,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,183.0,3319.18,62.5,609.37,1155.16,2718.71,609.37
2018-04-17,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,165.0,3360.74,62.52,609.36,812.53,3303.21,609.36
2018-04-18,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,176.0,1734.36,78.14,624.99,1014.86,1187.47,624.99
2018-04-19,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,262.0,2249.96,62.5,609.29,695.5,1187.48,609.29
2018-04-20,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,106.0,2218.7,204.98,631.09,1203.11,2109.33,631.09
2018-04-23,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,137.0,1687.52,578.13,626.44,1144.62,1281.22,626.44
2018-04-24,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,206.0,3938.86,62.53,609.79,765.61,1281.22,609.79
2018-04-25,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,139.0,2734.38,78.18,624.25,699.03,1656.26,624.25
2018-04-26,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,111.0,1781.6,62.51,562.52,640.62,1656.94,562.52
2018-04-27,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,137.0,4546.89,219.29,625.02,1000.02,1250.0,625.02
2018-04-30,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,110.0,1667.92,62.5,608.93,781.27,1140.71,608.93
2018-05-01,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,101.0,3173.38,62.5,609.36,1140.61,1694.01,609.36
2018-05-02,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,248.0,3890.58,62.5,624.97,1140.61,2718.69,624.97
2018-05-03,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,186.0,3359.08,62.51,624.99,1062.49,1743.3,624.99
2018-05-04,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,160.0,3957.92,453.11,624.98,1140.63,3843.69,624.98
2018-05-07,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,138.0,1265.6,62.91,609.41,656.27,1187.52,609.41
2018-05-08,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,169.0,3281.19,62.5,609.35,671.88,1218.75,609.35
2018-05-09,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,272.0,33203.09,62.5,622.93,1595.54,11673.37,622.93
2018-05-10,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,454.0,176207.18,66.16,619.01,2327.97,12867.3,619.01
2018-05-11,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,181.0,2812.44,78.12,624.43,999.98,1709.71,624.43
2018-05-14,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,169.0,3858.58,177.11,625.02,1136.5,3319.11,625.02
2018-05-15,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,157.0,2171.9,78.14,620.85,703.13,1605.2,620.85
2018-05-16,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,153.0,3296.93,66.82,605.31,1105.58,2761.69,605.31
2018-05-17,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,222.0,6578.09,62.91,609.38,1141.65,5701.01,609.38
2018-05-18,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,143.0,2281.23,80.34,625.01,1182.78,1685.51,625.01
2018-05-21,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,194.0,3271.69,77.98,636.84,1062.15,2156.25,636.84
2018-05-22,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,190.0,4104.33,62.49,593.99,778.42,3859.38,593.99
2018-05-23,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,196.0,1671.91,62.51,608.33,1125.01,1622.47,608.33
2018-05-24,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,204.0,1671.85,62.5,592.69,768.37,1469.48,592.69
2018-05-25,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,165.0,3500.01,63.83,593.77,1129.55,2734.47,593.77
2018-05-28,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,48.0,1218.76,62.47,593.76,1140.63,1218.76,593.76
2018-05-29,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,170.0,2656.27,62.5,593.78,1140.11,2144.65,593.78
2018-05-30,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,199.0,3920.01,62.5,578.12,716.38,3875.04,578.12
2018-05-31,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,164.0,6054.87,62.52,605.57,1120.31,5521.93,605.57
2018-06-01,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,183.0,1671.93,62.53,546.88,1094.09,1478.24,546.88
2018-06-04,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,191.0,5140.67,66.63,622.54,1140.63,4609.43,622.54
2018-06-05,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,194.0,6481.04,62.53,593.77,1123.28,2640.71,593.77
2018-06-06,UcmDbConn,[KeywordExpander].[GetExpanderFilterDomainData],All,253.0,3578.14,63.19,234.38,954.18,1641.42,234.38
