startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,381.0,3637.53,62.48,593.76,1125.03,1703.1,593.76
2018-02-05,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,169.0,2515.68,62.53,594.07,1140.68,1687.52,594.07
2018-02-06,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,182.0,3953.1,62.59,609.39,1140.6,1609.33,609.39
2018-02-07,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,287.0,1656.22,62.5,593.61,702.87,1203.08,593.61
2018-02-08,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,236.0,3781.53,62.5,609.37,1156.26,1843.77,609.37
2018-02-09,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,195.0,2077.81,62.5,609.36,1124.27,1687.17,609.36
2018-02-12,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,124.0,1172.45,62.5,593.76,703.1,1170.54,593.76
2018-02-13,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,159.0,1656.17,62.51,609.34,906.2,1182.49,609.34
2018-02-14,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,170.0,6000.07,109.38,624.99,1156.22,6000.07,624.99
2018-02-15,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,167.0,1187.46,62.5,593.73,685.76,1156.26,593.73
2018-02-16,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,94.0,991.54,62.48,78.12,640.62,991.54,78.12
2018-02-19,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,67.0,3046.75,62.49,609.28,1156.21,3046.75,609.28
2018-02-20,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,144.0,1297.02,62.5,593.73,703.06,1204.62,593.73
2018-02-21,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,129.0,3265.56,62.53,608.48,1109.41,2078.11,608.48
2018-02-22,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,318.0,3531.28,62.49,262.13,687.5,1203.12,262.13
2018-02-23,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,112.0,2249.91,62.48,593.33,1140.6,1703.12,593.33
2018-02-26,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,227.0,2796.83,62.5,199.08,953.1,1749.97,199.08
2018-02-27,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,263.0,2845.13,62.5,593.73,656.24,2203.39,593.73
2018-02-28,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,190.0,3328.07,62.5,609.4,999.91,1517.27,609.4
2018-03-01,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,239.0,1687.47,62.5,593.75,718.2,1140.62,593.75
2018-03-02,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,221.0,2671.82,62.5,593.54,718.75,1593.73,593.54
2018-03-05,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,158.0,2048.09,62.5,593.76,1140.61,1765.59,593.76
2018-03-06,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,305.0,2788.99,62.5,593.74,953.11,1170.04,593.74
2018-03-07,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,153.0,2843.71,62.5,609.37,1140.58,2437.73,609.37
2018-03-08,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,271.0,3394.38,62.5,578.1,968.52,1468.72,578.1
2018-03-09,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,139.0,2781.22,62.5,593.78,877.56,1624.43,593.78
2018-03-12,UcmDbConn,[KeywordExpander].[GetKeywordExpanderDomainData],All,226.0,2109.37,62.46,531.29,656.24,1093.8,531.29
