startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[ActiveBlockRulesByAccountIds],All,2254.0,624.98,15.64,62.49,78.12,109.39,62.49
2018-02-05,UcmDbConn,[Opportunities].[ActiveBlockRulesByAccountIds],All,2933.0,874.99,15.92,62.5,78.17,125.03,62.5
2018-02-06,UcmDbConn,[Opportunities].[ActiveBlockRulesByAccountIds],All,3249.0,1031.25,15.63,62.49,78.13,171.68,62.49
2018-02-07,UcmDbConn,[Opportunities].[ActiveBlockRulesByAccountIds],All,2717.0,347.19,15.62,62.49,78.12,124.91,62.49
2018-02-08,UcmDbConn,[Opportunities].[ActiveBlockRulesByAccountIds],All,2663.0,10230.69,15.62,62.5,78.14,125.0,62.5
2018-02-09,UcmDbConn,[Opportunities].[ActiveBlockRulesByAccountIds],All,2150.0,281.25,15.64,62.5,78.12,107.96,62.5
2018-02-12,UcmDbConn,[Opportunities].[ActiveBlockRulesByAccountIds],All,2758.0,359.38,15.7,62.5,78.13,109.38,62.5
2018-02-13,UcmDbConn,[Opportunities].[ActiveBlockRulesByAccountIds],All,1913.0,300.19,15.65,62.5,78.12,108.14,62.5
2018-02-14,UcmDbConn,[Opportunities].[ActiveBlockRulesByAccountIds],All,2407.0,383.19,15.6,62.45,63.08,108.14,62.45
2018-02-15,UcmDbConn,[Opportunities].[ActiveBlockRulesByAccountIds],All,2321.0,828.1,15.62,62.49,78.12,109.37,62.49
2018-02-16,UcmDbConn,[Opportunities].[ActiveBlockRulesByAccountIds],All,2067.0,250.01,15.62,62.49,67.31,94.16,62.49
2018-02-19,UcmDbConn,[Opportunities].[ActiveBlockRulesByAccountIds],All,1786.0,21161.41,14.55,19.48,62.53,156.24,19.48
2018-02-20,UcmDbConn,[Opportunities].[ActiveBlockRulesByAccountIds],All,2759.0,984.35,15.84,62.5,104.77,296.89,62.5
2018-02-21,UcmDbConn,[Opportunities].[ActiveBlockRulesByAccountIds],All,3014.0,19365.59,15.63,62.5,78.11,109.38,62.5
2018-02-22,UcmDbConn,[Opportunities].[ActiveBlockRulesByAccountIds],All,2950.0,19260.07,15.62,62.5,78.12,125.03,62.5
2018-02-23,UcmDbConn,[Opportunities].[ActiveBlockRulesByAccountIds],All,2359.0,2346.34,15.62,62.49,78.07,109.38,62.49
2018-02-26,UcmDbConn,[Opportunities].[ActiveBlockRulesByAccountIds],All,3012.0,488.43,15.62,62.49,78.04,140.61,62.49
2018-02-27,UcmDbConn,[Opportunities].[ActiveBlockRulesByAccountIds],All,3389.0,787.8,15.62,62.5,78.12,125.01,62.5
2018-02-28,UcmDbConn,[Opportunities].[ActiveBlockRulesByAccountIds],All,3229.0,608.78,15.62,62.49,78.12,109.38,62.49
