startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[ActiveLightBlockRulesFlatToAccountTactic],All,26576.0,9371.61,110.77,203.11,844.87,3177.59,203.11
2018-02-05,UcmDbConn,[Opportunities].[ActiveLightBlockRulesFlatToAccountTactic],All,28755.0,6870.93,77.62,171.87,829.94,3103.15,171.87
2018-02-06,UcmDbConn,[Opportunities].[ActiveLightBlockRulesFlatToAccountTactic],All,27660.0,11499.42,156.3,218.77,1227.77,4390.89,218.77
2018-02-07,UcmDbConn,[Opportunities].[ActiveLightBlockRulesFlatToAccountTactic],All,29128.0,12437.69,59.27,93.6,659.35,2877.27,93.6
2018-02-08,UcmDbConn,[Opportunities].[ActiveLightBlockRulesFlatToAccountTactic],All,25538.0,13422.09,62.18,158.51,688.4,3314.76,158.51
2018-02-09,UcmDbConn,[Opportunities].[ActiveLightBlockRulesFlatToAccountTactic],All,21941.0,154417.26,60.3,125.67,1329.06,3651.48,125.67
2018-02-12,UcmDbConn,[Opportunities].[ActiveLightBlockRulesFlatToAccountTactic],All,26496.0,9233.74,93.75,154.42,756.28,3372.49,154.42
2018-02-13,UcmDbConn,[Opportunities].[ActiveLightBlockRulesFlatToAccountTactic],All,18629.0,8765.51,62.21,78.15,494.49,2267.79,78.15
2018-02-14,UcmDbConn,[Opportunities].[ActiveLightBlockRulesFlatToAccountTactic],All,22625.0,6624.96,33.12,78.13,440.57,2199.48,78.13
2018-02-15,UcmDbConn,[Opportunities].[ActiveLightBlockRulesFlatToAccountTactic],All,22007.0,119737.52,149.81,204.21,646.67,2884.43,204.21
2018-02-16,UcmDbConn,[Opportunities].[ActiveLightBlockRulesFlatToAccountTactic],All,19704.0,8175.57,62.39,93.76,639.01,2744.3,93.76
2018-02-19,UcmDbConn,[Opportunities].[ActiveLightBlockRulesFlatToAccountTactic],All,16909.0,9796.74,31.25,78.13,1738.69,3595.46,78.13
2018-02-20,UcmDbConn,[Opportunities].[ActiveLightBlockRulesFlatToAccountTactic],All,26716.0,9890.36,61.78,93.75,731.56,3400.09,93.75
2018-02-21,UcmDbConn,[Opportunities].[ActiveLightBlockRulesFlatToAccountTactic],All,26081.0,19267.02,77.42,108.63,609.6,2699.83,108.63
2018-02-22,UcmDbConn,[Opportunities].[ActiveLightBlockRulesFlatToAccountTactic],All,26828.0,10483.4,171.9,234.39,765.65,3542.02,234.39
2018-02-23,UcmDbConn,[Opportunities].[ActiveLightBlockRulesFlatToAccountTactic],All,22323.0,11938.64,187.47,264.34,1866.64,4471.92,264.34
2018-02-26,UcmDbConn,[Opportunities].[ActiveLightBlockRulesFlatToAccountTactic],All,29539.0,11578.17,48.96,93.75,677.59,3141.14,93.75
2018-02-27,UcmDbConn,[Opportunities].[ActiveLightBlockRulesFlatToAccountTactic],All,31464.0,19241.15,62.34,94.97,640.36,2689.67,94.97
2018-02-28,UcmDbConn,[Opportunities].[ActiveLightBlockRulesFlatToAccountTactic],All,29763.0,11125.61,47.83,78.13,639.6,3273.87,78.13
2018-03-01,UcmDbConn,[Opportunities].[ActiveLightBlockRulesFlatToAccountTactic],All,28537.0,9263.27,50.46,78.13,624.98,2991.93,78.13
2018-03-02,UcmDbConn,[Opportunities].[ActiveLightBlockRulesFlatToAccountTactic],All,23039.0,16478.14,46.92,91.33,853.09,3336.0,91.33
2018-03-05,UcmDbConn,[Opportunities].[ActiveLightBlockRulesFlatToAccountTactic],All,25185.0,10593.89,47.66,78.13,642.16,2540.6,78.13
2018-03-06,UcmDbConn,[Opportunities].[ActiveLightBlockRulesFlatToAccountTactic],All,26743.0,12660.75,58.87,78.13,609.39,2589.22,78.13
