startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,238.0,315.11,29.39,78.12,78.79,109.38,78.12
2018-02-05,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,356.0,203.13,31.25,78.12,93.74,156.23,78.12
2018-02-06,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,497.0,1406.67,46.88,78.12,140.62,328.12,78.12
2018-02-07,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,593.0,406.24,62.51,78.12,93.76,218.75,78.12
2018-02-08,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,463.0,406.31,31.25,78.12,93.76,160.7,78.12
2018-02-09,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,269.0,406.21,31.23,78.11,78.52,111.75,78.11
2018-02-12,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,265.0,218.74,62.49,62.51,78.13,93.75,62.51
2018-02-13,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,362.0,453.09,62.49,62.5,78.12,93.72,62.5
2018-02-14,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,303.0,187.5,19.48,62.5,78.13,124.99,62.5
2018-02-15,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,338.0,19370.13,18.64,62.5,78.12,78.21,62.5
2018-02-16,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,292.0,140.51,15.66,62.5,78.12,93.7,62.5
2018-02-19,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,212.0,315.37,15.6,15.67,70.42,141.8,15.67
2018-02-20,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,422.0,4653.44,62.2,62.5,93.8,187.47,62.5
2018-02-21,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,858.0,843.73,15.65,62.5,78.12,109.38,62.5
2018-02-22,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,733.0,236.02,18.83,62.5,78.12,97.71,62.5
2018-02-23,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,423.0,1249.99,62.47,62.51,78.37,187.5,62.51
2018-02-26,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,651.0,218.75,62.45,62.5,78.12,109.35,62.5
2018-02-27,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,691.0,297.31,62.47,62.5,78.12,109.39,62.5
2018-02-28,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,894.0,1889.42,18.28,62.5,78.12,109.37,62.5
2018-03-01,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,512.0,656.24,61.03,62.5,78.09,109.38,62.5
2018-03-02,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,535.0,624.99,15.62,62.49,62.94,124.99,62.49
2018-03-05,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,564.0,765.63,62.48,62.5,78.12,156.27,62.5
2018-03-06,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,566.0,359.38,62.48,62.5,78.12,93.76,62.5
2018-03-07,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,547.0,562.48,62.49,62.51,78.16,156.25,62.51
2018-03-08,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,498.0,735.67,16.73,62.5,78.12,140.72,62.5
2018-03-09,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,333.0,140.62,19.88,62.5,78.13,124.99,62.5
2018-03-12,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,585.0,406.24,15.65,62.5,78.13,156.29,62.5
2018-03-13,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,832.0,781.24,61.76,62.5,78.13,171.87,62.5
2018-03-14,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,557.0,1099.02,62.47,62.5,78.5,171.87,62.5
2018-03-15,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,586.0,187.5,62.49,62.5,78.13,125.0,62.5
2018-03-16,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,469.0,616.06,15.62,62.49,78.12,157.64,62.49
2018-03-19,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,502.0,734.36,16.23,62.5,78.13,141.43,62.5
2018-03-20,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,519.0,250.26,15.64,62.5,78.13,140.61,62.5
2018-03-21,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,505.0,499.99,62.25,62.5,78.13,140.62,62.5
2018-03-22,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,406.0,187.5,15.67,62.5,78.12,125.0,62.5
2018-03-23,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,318.0,281.25,31.24,62.51,125.0,187.5,62.51
2018-03-26,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,583.0,234.4,15.62,62.5,78.11,93.81,62.5
2018-03-27,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,522.0,156.36,15.64,62.5,78.13,107.32,62.5
2018-03-28,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,611.0,609.36,62.49,62.51,78.34,142.15,62.51
2018-03-29,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,887.0,655.7,62.49,62.5,78.12,124.97,62.5
2018-03-30,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,497.0,406.25,62.5,62.51,78.13,109.38,62.51
2018-04-02,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,744.0,19261.02,62.5,62.51,78.15,156.25,62.51
2018-04-03,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,586.0,9823.62,41.84,62.5,78.12,125.0,62.5
2018-04-04,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,500.0,234.56,15.63,62.5,78.12,119.97,62.5
2018-04-05,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,551.0,296.86,15.64,62.5,78.12,108.0,62.5
2018-04-06,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,500.0,2166.01,15.63,62.5,78.12,203.16,62.5
2018-04-09,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,817.0,328.17,62.49,62.5,78.12,129.6,62.5
2018-04-10,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,831.0,296.86,15.65,62.5,78.11,93.76,62.5
2018-04-11,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,722.0,546.89,20.63,62.5,78.14,156.25,62.5
2018-04-12,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,788.0,390.61,29.13,62.5,78.13,140.64,62.5
2018-04-13,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,485.0,10019.65,62.07,62.5,78.14,359.37,62.5
2018-04-16,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,539.0,453.15,62.5,62.51,78.13,156.22,62.51
2018-04-17,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,647.0,12694.82,16.08,62.5,78.12,125.0,62.5
2018-04-18,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,925.0,624.95,61.64,62.5,78.12,109.4,62.5
2018-04-19,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,612.0,281.26,19.51,62.5,78.12,93.76,62.5
2018-04-20,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,703.0,203.14,41.26,62.5,78.12,140.62,62.5
2018-04-23,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,929.0,343.79,47.07,62.5,78.13,109.38,62.5
2018-04-24,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,1043.0,19372.79,62.46,62.51,93.75,187.51,62.51
2018-04-25,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,1167.0,749.54,62.5,62.51,78.13,124.99,62.51
2018-04-26,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,525.0,421.88,62.5,62.69,93.75,157.01,62.69
2018-04-27,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,707.0,593.73,62.5,65.27,125.0,328.15,65.27
2018-04-30,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,1192.0,326.92,62.49,62.5,78.12,125.0,62.5
2018-05-01,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,503.0,19262.02,62.49,62.5,78.13,152.12,62.5
2018-05-02,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,626.0,265.62,23.26,62.5,78.12,124.99,62.5
2018-05-03,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,1111.0,347.62,15.62,62.49,78.12,109.4,62.49
2018-05-04,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,381.0,109.38,15.61,31.24,78.11,93.76,31.24
2018-05-07,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,651.0,416.1,15.82,62.5,78.13,109.39,62.5
2018-05-08,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,711.0,305.72,62.47,62.5,78.13,140.62,62.5
2018-05-09,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,656.0,4609.38,62.49,62.51,78.13,109.41,62.51
2018-05-10,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,488.0,656.26,62.49,62.53,96.04,250.0,62.53
2018-05-11,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,556.0,330.2,62.46,62.5,78.13,234.37,62.5
2018-05-14,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,740.0,622.24,62.48,62.52,78.82,156.26,62.52
2018-05-15,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,704.0,4912.55,62.47,62.53,93.72,158.78,62.53
2018-05-16,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,562.0,250.01,62.35,62.52,78.91,125.34,62.52
2018-05-17,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,864.0,718.77,49.99,62.51,78.13,97.6,62.51
2018-05-18,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,482.0,187.97,15.62,62.48,78.09,109.38,62.48
2018-05-21,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,722.0,1218.78,62.49,62.54,80.25,140.57,62.54
2018-05-22,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,634.0,359.13,59.99,62.51,78.13,124.67,62.51
2018-05-23,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,959.0,225.49,47.05,62.5,78.15,140.6,62.5
2018-05-24,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,618.0,420.06,62.46,62.51,78.13,140.62,62.51
2018-05-25,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,511.0,296.88,62.47,62.51,78.38,124.96,62.51
2018-05-28,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,493.0,203.1,15.63,62.49,78.15,156.12,62.49
2018-05-29,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,1154.0,250.01,62.49,62.53,78.15,125.02,62.53
2018-05-30,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,741.0,203.15,16.83,62.5,78.14,109.38,62.5
2018-05-31,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,624.0,500.04,62.49,62.54,109.36,374.98,62.54
2018-06-01,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,478.0,203.12,15.63,62.49,79.94,126.06,62.49
2018-06-04,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,405.0,656.28,62.47,62.52,96.39,250.02,62.52
2018-06-05,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,468.0,288.16,62.27,62.52,93.73,130.26,62.52
2018-06-06,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,800.0,390.66,62.48,62.52,93.73,171.89,62.52
2018-06-07,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,624.0,500.1,15.69,62.5,78.14,114.58,62.5
2018-06-08,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,416.0,515.64,47.18,62.52,82.82,168.12,62.52
2018-06-11,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,424.0,453.12,62.48,62.55,97.35,234.4,62.55
2018-06-12,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,362.0,343.74,15.63,62.48,78.15,124.95,62.48
2018-06-13,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,593.0,2078.12,60.33,62.52,93.91,187.49,62.52
2018-06-14,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,515.0,355.77,62.49,78.13,109.92,157.06,78.13
2018-06-15,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,403.0,171.9,15.65,62.46,78.12,94.86,62.46
2018-06-18,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,709.0,500.0,15.66,62.5,78.15,109.35,62.5
2018-06-19,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,587.0,203.0,15.65,62.49,78.16,124.99,62.49
2018-06-20,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,762.0,357.47,31.22,62.5,78.14,123.55,62.5
2018-06-21,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,706.0,283.4,15.62,46.92,78.1,93.79,46.92
2018-06-22,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,636.0,578.04,15.62,62.45,67.97,93.79,62.45
2018-06-25,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,743.0,296.86,15.64,62.49,78.1,93.75,62.49
2018-06-26,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,808.0,562.45,15.63,62.49,78.14,106.38,62.49
2018-06-27,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,572.0,4593.96,15.66,62.5,78.13,125.96,62.5
2018-06-28,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,716.0,984.41,20.57,62.51,78.14,109.39,62.51
2018-06-29,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,781.0,687.51,62.44,62.51,78.15,142.5,62.51
2018-07-02,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,269.0,860.26,17.54,62.51,78.13,156.25,62.51
2018-07-03,UcmDbConn,[Opportunities].[BlockRuleExistsForAccountTactic],All,342.0,109.37,15.65,62.49,67.3,93.76,62.49
