startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,61.0,109.37,31.21,62.52,93.77,109.37,62.52
2018-02-05,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,49.0,187.51,62.5,78.12,93.74,187.51,78.12
2018-02-06,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,64.0,343.76,62.49,78.12,125.0,343.76,78.12
2018-02-07,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,66.0,218.81,78.1,78.13,109.37,218.81,78.13
2018-02-08,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,58.0,109.36,62.5,78.12,93.76,109.36,78.12
2018-02-09,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,29.0,328.11,76.14,78.13,109.39,328.11,78.13
2018-02-12,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,37.0,109.38,31.25,78.13,103.35,109.38,78.13
2018-02-13,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,71.0,124.99,18.41,78.04,78.17,124.99,78.04
2018-02-14,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,53.0,93.76,15.65,31.25,78.17,93.76,31.25
2018-02-15,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,50.0,187.47,62.54,78.13,93.75,187.47,78.13
2018-02-16,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,53.0,93.75,31.23,77.72,78.16,93.75,77.72
2018-02-19,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,17.0,62.49,15.62,15.63,62.49,62.49,15.63
2018-02-20,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,62.0,1171.67,46.85,78.11,125.66,1171.67,78.11
2018-02-21,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,120.0,93.79,31.26,78.06,78.14,78.22,78.06
2018-02-22,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,74.0,93.75,15.67,62.5,78.16,93.75,62.5
2018-02-23,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,65.0,93.75,31.25,62.51,78.13,93.75,62.51
2018-02-26,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,64.0,124.99,31.27,63.06,84.66,124.99,63.06
2018-02-27,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,116.0,171.87,62.5,78.12,93.75,124.99,78.12
2018-02-28,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,110.0,156.25,62.5,78.12,78.57,109.37,78.12
2018-03-01,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,90.0,109.36,62.5,78.12,78.17,109.36,78.12
2018-03-02,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,68.0,296.86,27.1,62.54,93.75,296.86,62.54
2018-03-05,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,54.0,109.38,62.5,78.12,82.01,109.38,78.12
2018-03-06,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,92.0,109.38,31.27,62.54,93.75,109.38,62.54
2018-03-07,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,114.0,517.28,62.51,78.13,109.38,281.32,78.13
2018-03-08,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,84.0,140.62,62.5,78.12,93.76,140.62,78.12
2018-03-09,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,77.0,203.12,30.79,77.57,78.21,203.12,77.57
2018-03-12,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,113.0,156.28,62.23,78.12,93.74,109.37,78.12
2018-03-13,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,169.0,140.62,62.51,78.12,78.18,124.99,78.12
2018-03-14,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,117.0,250.0,62.49,78.12,93.76,187.5,78.12
2018-03-15,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,121.0,250.0,62.51,78.12,93.75,234.37,78.12
2018-03-16,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,94.0,234.37,62.5,78.12,78.16,234.37,78.12
2018-03-19,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,72.0,140.63,15.66,62.53,109.37,140.63,62.53
2018-03-20,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,62.0,218.77,62.5,78.12,78.53,218.77,78.12
2018-03-21,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,62.0,233.79,62.54,78.13,156.25,233.79,78.13
2018-03-22,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,94.0,156.24,62.5,78.12,78.33,156.24,78.12
2018-03-23,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,76.0,109.37,15.66,62.51,78.15,109.37,62.51
2018-03-26,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,109.0,171.92,46.9,72.68,78.95,109.38,72.68
2018-03-27,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,65.0,156.23,62.5,78.12,93.76,156.23,78.12
2018-03-28,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,120.0,234.38,78.11,78.13,93.76,187.49,78.13
2018-03-29,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,121.0,156.25,78.12,78.15,109.37,140.64,78.15
2018-03-30,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,98.0,328.06,78.12,78.16,109.41,328.06,78.16
2018-04-02,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,32.0,93.76,78.12,78.13,93.75,93.76,78.13
2018-04-03,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,57.0,609.37,77.19,78.13,109.39,609.37,78.13
2018-04-04,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,86.0,78.43,15.67,62.54,78.13,78.43,62.54
2018-04-05,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,90.0,203.12,19.83,78.11,94.45,203.12,78.11
2018-04-06,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,67.0,312.5,62.47,78.12,78.17,312.5,78.12
2018-04-09,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,99.0,172.9,63.1,78.13,109.18,172.9,78.13
2018-04-10,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,115.0,117.45,31.27,78.12,93.75,109.39,78.12
2018-04-11,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,81.0,17212.65,62.5,78.12,93.75,17212.65,78.12
2018-04-12,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,122.0,218.8,62.49,78.12,93.78,140.57,78.12
2018-04-13,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,63.0,156.23,31.31,78.11,93.75,156.23,78.11
2018-04-16,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,115.0,218.73,78.12,78.16,140.58,192.3,78.16
2018-04-17,UcmDbConn,[Opportunities].[GetActiveAdhocTacticsMappedProgrammaticTacticsWithAccountFlags],All,86.0,109.37,46.87,78.12,78.17,109.37,78.12
