startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,140.0,203.14,62.5,62.5,62.55,93.74,62.5
2018-02-05,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,158.0,156.07,62.48,62.51,78.12,124.86,62.51
2018-02-06,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,366.0,281.3,62.5,62.51,78.13,156.29,62.51
2018-02-07,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,291.0,395.03,62.5,62.51,78.11,234.33,62.51
2018-02-08,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,175.0,218.6,62.5,62.51,78.13,140.63,62.51
2018-02-09,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,160.0,125.0,62.5,62.51,67.1,93.7,62.51
2018-02-12,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,202.0,321.31,62.49,62.5,62.68,78.69,62.5
2018-02-13,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,182.0,187.5,62.5,62.52,92.88,156.24,62.52
2018-02-14,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,157.0,171.9,62.49,62.5,77.92,124.99,62.5
2018-02-15,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,135.0,113.08,62.5,62.52,78.13,109.37,62.52
2018-02-16,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,99.0,78.13,15.62,62.5,77.82,78.13,62.5
2018-02-19,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,70.0,125.18,15.56,62.5,78.13,125.18,62.5
2018-02-20,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,125.0,187.52,46.89,62.5,64.39,93.76,62.5
2018-02-21,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,195.0,281.23,62.36,62.5,78.06,109.36,62.5
2018-02-22,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,167.0,374.36,62.5,62.51,78.06,144.25,62.51
2018-02-23,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,73.0,93.75,61.96,62.5,78.12,93.75,62.5
2018-02-26,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,293.0,578.1,62.5,62.51,78.11,109.35,62.51
2018-02-27,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,180.0,281.45,62.49,62.51,78.16,265.63,62.51
2018-02-28,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,163.0,109.28,62.48,62.51,78.12,93.84,62.51
2018-03-01,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,188.0,1093.73,62.5,62.51,93.75,265.61,62.51
2018-03-02,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,142.0,187.49,62.5,62.51,78.13,142.07,62.51
2018-03-05,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,149.0,125.0,62.49,62.5,78.12,125.0,62.5
2018-03-06,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,138.0,109.37,62.49,62.5,78.12,109.37,62.5
2018-03-07,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,163.0,109.38,62.5,62.51,78.12,93.76,62.51
2018-03-08,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,101.0,218.74,62.5,62.5,78.12,203.12,62.5
2018-03-09,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,111.0,125.52,62.38,62.5,78.13,124.97,62.5
2018-03-12,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,153.0,78.16,62.5,62.5,78.11,78.13,62.5
2018-03-13,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,149.0,172.54,62.25,62.5,78.13,124.38,62.5
2018-03-14,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,188.0,140.62,62.5,62.5,78.12,109.77,62.5
2018-03-15,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,173.0,421.86,62.5,62.51,78.11,124.99,62.51
2018-03-16,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,115.0,78.39,30.22,62.5,62.56,78.38,62.5
2018-03-19,UcmDbConn,[Opportunities].[GetAdhocProgrammaticTacticMapping],All,123.0,109.38,62.5,62.51,78.13,93.76,62.51
