startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForAccount],All,3943.0,2437.5,19.75,62.5,78.12,110.48,62.5
2018-02-05,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForAccount],All,4874.0,718.78,17.69,62.5,78.08,109.41,62.5
2018-02-06,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForAccount],All,5236.0,811.68,20.47,62.5,78.13,156.25,62.5
2018-02-07,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForAccount],All,5088.0,687.07,20.92,62.5,78.13,124.85,62.5
2018-02-08,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForAccount],All,4652.0,3734.48,24.64,62.51,78.16,125.0,62.51
2018-02-09,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForAccount],All,3666.0,5468.96,31.24,62.5,78.13,140.64,62.5
2018-02-12,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForAccount],All,4713.0,1205.23,31.2,62.5,78.13,140.62,62.5
2018-02-13,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForAccount],All,3272.0,1109.36,31.25,62.5,78.12,125.28,62.5
2018-02-14,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForAccount],All,4414.0,1156.92,19.51,62.5,78.12,109.38,62.5
2018-02-15,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForAccount],All,4098.0,1863.3,30.07,62.5,78.13,140.62,62.5
2018-02-16,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForAccount],All,3842.0,641.09,19.73,62.5,78.11,122.09,62.5
2018-02-19,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForAccount],All,3842.0,781.22,19.6,62.5,78.13,222.65,62.5
2018-02-20,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForAccount],All,5055.0,3326.86,46.65,62.51,109.36,328.12,62.51
2018-02-21,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForAccount],All,5387.0,1062.46,20.75,62.5,78.12,109.98,62.5
2018-02-22,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForAccount],All,5186.0,1297.42,35.45,62.5,78.13,124.99,62.5
2018-02-23,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForAccount],All,4426.0,1171.9,35.22,62.5,78.13,143.48,62.5
2018-02-26,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForAccount],All,5092.0,1142.07,31.17,62.5,78.13,124.78,62.5
2018-02-27,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForAccount],All,6077.0,2574.65,45.92,62.5,78.13,125.13,62.5
2018-02-28,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForAccount],All,6264.0,796.86,46.71,62.5,78.13,139.52,62.5
2018-03-01,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForAccount],All,5523.0,828.12,46.9,62.5,78.13,125.03,62.5
