startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[GetAvailableKeywordExpanderOpportunitiesImpactSummary],All,7412.0,10671.54,122.42,187.4,531.57,921.28,187.4
2018-02-05,UcmDbConn,[Opportunities].[GetAvailableKeywordExpanderOpportunitiesImpactSummary],All,6113.0,4179.1,123.33,188.05,505.55,889.23,188.05
2018-02-06,UcmDbConn,[Opportunities].[GetAvailableKeywordExpanderOpportunitiesImpactSummary],All,5516.0,4874.47,127.81,225.98,591.53,970.47,225.98
2018-02-07,UcmDbConn,[Opportunities].[GetAvailableKeywordExpanderOpportunitiesImpactSummary],All,6988.0,4874.88,125.0,200.0,484.64,910.81,200.0
2018-02-08,UcmDbConn,[Opportunities].[GetAvailableKeywordExpanderOpportunitiesImpactSummary],All,5870.0,3449.01,125.0,202.64,485.19,890.62,202.64
2018-02-09,UcmDbConn,[Opportunities].[GetAvailableKeywordExpanderOpportunitiesImpactSummary],All,4690.0,3687.47,124.86,195.63,453.83,828.14,195.63
2018-02-12,UcmDbConn,[Opportunities].[GetAvailableKeywordExpanderOpportunitiesImpactSummary],All,5428.0,2299.24,122.28,187.21,427.39,739.34,187.21
2018-02-13,UcmDbConn,[Opportunities].[GetAvailableKeywordExpanderOpportunitiesImpactSummary],All,4267.0,2265.59,140.62,218.75,484.39,845.28,218.75
2018-02-14,UcmDbConn,[Opportunities].[GetAvailableKeywordExpanderOpportunitiesImpactSummary],All,5027.0,4791.81,124.98,202.97,500.01,860.92,202.97
2018-02-15,UcmDbConn,[Opportunities].[GetAvailableKeywordExpanderOpportunitiesImpactSummary],All,5101.0,3109.43,126.8,203.37,477.57,866.89,203.37
2018-02-16,UcmDbConn,[Opportunities].[GetAvailableKeywordExpanderOpportunitiesImpactSummary],All,4187.0,2250.18,125.0,201.24,515.3,843.71,201.24
2018-02-19,UcmDbConn,[Opportunities].[GetAvailableKeywordExpanderOpportunitiesImpactSummary],All,2606.0,3249.99,124.64,205.87,593.91,969.6,205.87
2018-02-20,UcmDbConn,[Opportunities].[GetAvailableKeywordExpanderOpportunitiesImpactSummary],All,5441.0,20275.89,170.89,323.88,912.88,2128.93,323.88
2018-02-21,UcmDbConn,[Opportunities].[GetAvailableKeywordExpanderOpportunitiesImpactSummary],All,5264.0,5046.75,127.43,216.74,553.09,997.21,216.74
2018-02-22,UcmDbConn,[Opportunities].[GetAvailableKeywordExpanderOpportunitiesImpactSummary],All,5870.0,4543.39,125.36,218.8,579.17,937.5,218.8
2018-02-23,UcmDbConn,[Opportunities].[GetAvailableKeywordExpanderOpportunitiesImpactSummary],All,4498.0,9168.53,125.15,217.95,547.04,874.87,217.95
2018-02-26,UcmDbConn,[Opportunities].[GetAvailableKeywordExpanderOpportunitiesImpactSummary],All,6372.0,3624.72,125.06,203.92,485.41,859.61,203.92
2018-02-27,UcmDbConn,[Opportunities].[GetAvailableKeywordExpanderOpportunitiesImpactSummary],All,6828.0,6453.03,126.57,206.34,554.62,1257.77,206.34
2018-02-28,UcmDbConn,[Opportunities].[GetAvailableKeywordExpanderOpportunitiesImpactSummary],All,5920.0,3781.19,125.27,205.51,541.21,934.92,205.51
2018-03-01,UcmDbConn,[Opportunities].[GetAvailableKeywordExpanderOpportunitiesImpactSummary],All,6783.0,3709.29,123.78,187.5,458.32,820.09,187.5
2018-03-02,UcmDbConn,[Opportunities].[GetAvailableKeywordExpanderOpportunitiesImpactSummary],All,5400.0,23208.98,124.95,213.22,564.38,922.73,213.22
2018-03-05,UcmDbConn,[Opportunities].[GetAvailableKeywordExpanderOpportunitiesImpactSummary],All,5363.0,3546.81,124.71,203.12,578.63,1046.85,203.12
2018-03-06,UcmDbConn,[Opportunities].[GetAvailableKeywordExpanderOpportunitiesImpactSummary],All,5731.0,4203.45,124.98,205.0,592.45,1075.76,205.0
