startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[GetCustomerBlockRulesByAccountIds],All,32.0,108.71,15.62,16.47,73.39,108.71,16.47
2018-02-05,UcmDbConn,[Opportunities].[GetCustomerBlockRulesByAccountIds],All,268.0,281.22,14.91,15.63,19.71,93.75,15.63
2018-02-06,UcmDbConn,[Opportunities].[GetCustomerBlockRulesByAccountIds],All,333.0,1265.59,15.55,15.65,62.48,93.75,15.65
2018-02-07,UcmDbConn,[Opportunities].[GetCustomerBlockRulesByAccountIds],All,48.0,152.05,15.62,18.74,62.52,152.05,18.74
2018-02-08,UcmDbConn,[Opportunities].[GetCustomerBlockRulesByAccountIds],All,312.0,281.34,15.59,15.64,65.1,109.38,15.64
2018-02-09,UcmDbConn,[Opportunities].[GetCustomerBlockRulesByAccountIds],All,81.0,265.63,62.5,62.55,93.75,265.63,62.55
2018-02-12,UcmDbConn,[Opportunities].[GetCustomerBlockRulesByAccountIds],All,155.0,203.02,62.25,62.51,78.14,156.24,62.51
2018-02-13,UcmDbConn,[Opportunities].[GetCustomerBlockRulesByAccountIds],All,21.0,78.14,62.49,62.5,78.11,78.14,62.5
2018-02-14,UcmDbConn,[Opportunities].[GetCustomerBlockRulesByAccountIds],All,95.0,93.75,62.49,62.51,78.13,93.75,62.51
2018-02-15,UcmDbConn,[Opportunities].[GetCustomerBlockRulesByAccountIds],All,68.0,125.0,15.63,62.5,93.75,125.0,62.5
2018-02-16,UcmDbConn,[Opportunities].[GetCustomerBlockRulesByAccountIds],All,148.0,78.12,15.56,15.69,62.51,64.28,15.69
2018-02-19,UcmDbConn,[Opportunities].[GetCustomerBlockRulesByAccountIds],All,44.0,31.22,15.62,15.64,27.58,31.22,15.64
2018-02-20,UcmDbConn,[Opportunities].[GetCustomerBlockRulesByAccountIds],All,22.0,326.1,46.85,62.55,125.05,326.1,62.55
2018-02-21,UcmDbConn,[Opportunities].[GetCustomerBlockRulesByAccountIds],All,56.0,77.78,12.82,15.64,62.5,77.78,15.64
2018-02-22,UcmDbConn,[Opportunities].[GetCustomerBlockRulesByAccountIds],All,38.0,83.35,15.57,19.69,78.12,83.35,19.69
2018-02-23,UcmDbConn,[Opportunities].[GetCustomerBlockRulesByAccountIds],All,23.0,78.12,62.5,62.52,78.11,78.12,62.52
