startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,516.0,1453.09,14.72,46.99,62.63,172.97,46.99
2018-02-05,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,643.0,652.83,15.6,62.35,63.19,167.65,62.35
2018-02-06,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,696.0,453.14,15.62,62.49,65.41,156.29,62.49
2018-02-07,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,628.0,234.38,15.6,62.49,64.41,126.88,62.49
2018-02-08,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,766.0,437.5,15.58,62.22,78.13,133.41,62.22
2018-02-09,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,531.0,140.63,15.63,62.5,62.77,93.76,62.5
2018-02-12,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,850.0,489.84,15.63,62.48,62.54,95.4,62.48
2018-02-13,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,508.0,203.11,16.09,62.5,62.84,109.39,62.5
2018-02-14,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,764.0,328.1,13.28,46.13,62.54,78.33,46.13
2018-02-15,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,672.0,265.63,15.6,62.46,62.57,78.41,62.46
2018-02-16,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,606.0,786.07,14.78,62.38,62.58,125.0,62.38
2018-02-19,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,522.0,687.42,15.6,62.49,92.49,173.98,62.49
2018-02-20,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,682.0,809.44,15.62,62.38,124.58,408.48,62.38
2018-02-21,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,1063.0,19267.03,15.59,55.46,62.53,78.14,55.46
2018-02-22,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,948.0,531.25,15.59,62.32,62.6,93.74,62.32
2018-02-23,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,601.0,171.9,0.0,46.91,62.55,93.75,46.91
2018-02-26,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,1042.0,140.62,15.59,61.43,62.54,78.17,61.43
2018-02-27,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,980.0,1982.85,15.62,62.49,77.71,296.87,62.49
2018-02-28,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,1085.0,218.76,0.0,29.13,62.52,80.7,29.13
2018-03-01,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,882.0,406.24,5.45,47.52,62.55,93.56,47.52
2018-03-02,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,712.0,2156.21,0.0,18.19,62.51,78.31,18.19
2018-03-05,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,922.0,308.56,15.6,62.31,62.53,93.75,62.31
2018-03-06,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,820.0,375.22,17.96,62.5,64.68,171.88,62.5
2018-03-07,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,785.0,732.5,46.88,62.5,78.12,292.19,62.5
2018-03-08,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,642.0,204.27,15.6,62.49,62.55,93.75,62.49
2018-03-09,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,476.0,314.32,19.35,62.5,78.12,187.04,62.5
2018-03-12,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,929.0,579.4,15.64,62.5,78.13,187.75,62.5
2018-03-13,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,1108.0,4099.74,0.0,27.38,62.51,79.69,27.38
2018-03-14,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,899.0,281.25,15.58,62.48,62.58,93.75,62.48
2018-03-15,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,839.0,203.19,15.53,61.66,62.6,125.0,61.66
2018-03-16,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,861.0,356.37,0.0,16.38,62.51,78.13,16.38
2018-03-19,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,849.0,996.87,14.13,62.28,63.74,124.99,62.28
2018-03-20,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,692.0,440.94,10.37,46.88,62.6,107.66,46.88
2018-03-21,UcmDbConn,[Opportunities].[GetFeatureNameToTacticMapping],All,687.0,140.59,14.92,62.46,62.56,93.12,62.46
