startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12818.0,5282.3,78.12,187.51,556.17,1405.58,187.51
2018-02-05,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,13322.0,4458.4,62.5,109.45,429.21,1046.54,109.45
2018-02-06,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12699.0,5742.27,62.5,118.95,501.17,1532.66,118.95
2018-02-07,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,13289.0,6390.71,62.56,124.82,456.69,1311.73,124.82
2018-02-08,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11584.0,10963.6,78.12,171.89,530.32,1404.44,171.89
2018-02-09,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,9975.0,5143.75,62.52,96.88,377.52,1444.63,96.88
2018-02-12,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11779.0,5705.52,62.5,93.75,314.17,1351.37,93.75
2018-02-13,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,8253.0,18343.19,64.02,108.51,343.62,976.9,108.51
2018-02-14,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,9719.0,19621.75,62.53,156.24,416.31,989.54,156.24
2018-02-15,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,9933.0,4988.56,62.5,116.57,408.95,1058.19,116.57
2018-02-16,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,8770.0,5513.32,78.13,218.55,623.28,1610.21,218.55
2018-02-19,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,7090.0,4575.95,62.54,136.16,703.89,1781.21,136.16
2018-02-20,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11923.0,13622.94,78.16,171.91,869.35,2147.38,171.91
2018-02-21,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11530.0,9218.66,62.5,93.76,290.29,697.19,93.76
2018-02-22,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12337.0,5156.21,62.51,104.19,297.23,1167.77,104.19
2018-02-23,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,10446.0,4499.08,62.5,108.03,484.65,1595.93,108.03
2018-02-26,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,14469.0,5204.94,78.12,171.8,554.29,1429.19,171.8
2018-02-27,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,15115.0,10381.7,78.14,219.05,734.29,1732.2,219.05
2018-02-28,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,13763.0,6375.8,78.13,203.41,702.7,1674.33,203.41
2018-03-01,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,13594.0,8171.82,62.5,93.76,342.21,1508.94,93.76
2018-03-02,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11682.0,7031.25,59.9,96.09,407.35,1687.91,96.09
2018-03-05,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11269.0,10832.66,78.11,170.57,621.33,1796.71,170.57
2018-03-06,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11860.0,6551.55,78.13,201.5,670.42,1518.65,201.5
2018-03-07,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,10060.0,6155.65,78.13,156.28,730.79,1842.9,156.28
2018-03-08,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,10589.0,5278.5,78.1,109.59,362.32,1304.4,109.59
2018-03-09,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,8220.0,6203.08,78.12,187.5,684.59,1472.36,187.5
2018-03-12,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,13628.0,6810.55,62.5,109.38,424.63,1471.91,109.38
2018-03-13,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,13302.0,14916.62,62.5,136.22,546.67,1401.04,136.22
2018-03-14,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,13016.0,3444.08,62.49,93.75,327.55,736.98,93.75
2018-03-15,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11614.0,12196.95,57.21,78.16,203.12,421.88,78.16
2018-03-16,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,10392.0,4185.32,58.79,93.74,286.0,609.99,93.74
2018-03-19,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,8692.0,3140.72,61.41,93.83,312.75,744.12,93.83
2018-03-20,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,8825.0,4258.49,62.5,95.19,336.33,781.34,95.19
2018-03-21,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,8417.0,4431.64,62.5,93.75,281.18,582.03,93.75
2018-03-22,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,9094.0,4687.44,62.51,171.84,502.85,921.87,171.84
2018-03-23,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,9663.0,5502.17,62.49,93.81,323.94,656.47,93.81
2018-03-26,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12896.0,2203.03,62.49,93.75,280.97,633.88,93.75
2018-03-27,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,14019.0,1843.7,62.56,140.79,359.48,671.67,140.79
2018-03-28,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12506.0,2463.42,78.11,140.63,359.4,671.69,140.63
2018-03-29,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11974.0,2596.23,62.5,93.73,234.38,483.68,93.73
2018-03-30,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,8694.0,1590.3,78.11,93.76,218.74,439.17,93.76
2018-04-02,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,8958.0,6734.53,78.12,156.31,406.98,796.87,156.31
2018-04-03,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12478.0,26968.94,62.5,93.75,304.95,1367.23,93.75
2018-04-04,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12349.0,1606.53,62.51,140.45,374.98,702.42,140.45
2018-04-05,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12024.0,2361.14,62.5,139.13,356.02,668.35,139.13
2018-04-06,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,9499.0,6406.31,62.5,141.21,421.41,874.93,141.21
2018-04-09,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12344.0,1305.4,46.88,78.13,171.98,325.05,78.13
2018-04-10,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,13311.0,2499.96,46.88,78.13,187.41,344.18,78.13
2018-04-11,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11730.0,4207.11,62.49,93.71,281.43,590.22,93.71
2018-04-12,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11084.0,5283.16,62.49,80.1,233.63,534.74,80.1
2018-04-13,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,9937.0,4452.13,62.53,140.85,435.25,890.64,140.85
2018-04-16,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12575.0,4220.96,75.0,106.4,345.23,790.65,106.4
2018-04-17,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11987.0,4246.55,62.5,93.74,358.3,996.09,93.74
2018-04-18,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12115.0,3876.47,77.69,109.37,392.2,957.36,109.37
2018-04-19,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,13644.0,6032.39,62.51,111.27,531.79,1207.74,111.27
2018-04-20,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,9133.0,1224.72,58.9,93.33,203.68,406.25,93.33
2018-04-23,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12025.0,2671.89,62.5,93.75,251.85,633.9,93.75
2018-04-24,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11358.0,4343.76,78.1,125.0,405.56,890.53,125.0
2018-04-25,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11549.0,2296.97,62.52,93.79,328.62,702.53,93.79
2018-04-26,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,10938.0,15926.05,78.13,171.87,639.14,1419.09,171.87
2018-04-27,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,10234.0,9116.03,78.14,140.6,582.37,1266.29,140.6
2018-04-30,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12434.0,7053.97,62.5,93.76,312.55,627.53,93.76
2018-05-01,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,10116.0,1406.23,77.55,93.76,218.77,398.87,93.76
2018-05-02,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12364.0,3438.22,62.5,95.17,330.24,657.23,95.17
2018-05-03,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11032.0,3734.19,62.5,93.75,272.04,565.39,93.75
2018-05-04,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,8813.0,4174.5,62.49,93.75,254.53,592.8,93.75
2018-05-07,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,10376.0,6175.34,62.5,93.74,206.27,421.87,93.74
2018-05-08,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12063.0,7234.44,62.58,123.92,532.69,1019.95,123.92
2018-05-09,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12097.0,90452.87,78.06,156.32,612.68,1449.9,156.32
2018-05-10,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12128.0,38862.01,78.13,173.64,732.71,2736.34,173.64
2018-05-11,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,9537.0,116429.45,75.74,171.49,576.29,1239.41,171.49
2018-05-14,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12831.0,4306.5,62.33,93.75,359.07,868.04,93.75
2018-05-15,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12083.0,4981.47,62.56,157.07,626.12,1225.85,157.07
2018-05-16,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11987.0,21695.7,62.51,152.04,547.82,1138.02,152.04
2018-05-17,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12458.0,6652.16,78.1,202.83,844.57,1815.42,202.83
2018-05-18,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,9567.0,4093.24,62.53,187.41,690.64,1346.31,187.41
2018-05-21,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11380.0,4484.85,62.55,140.61,499.98,1103.5,140.61
2018-05-22,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12943.0,40054.08,62.5,93.76,328.59,784.88,93.76
2018-05-23,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12454.0,3255.88,65.07,156.17,578.93,1119.25,156.17
2018-05-24,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,14122.0,3410.61,76.07,153.85,516.6,1126.92,153.85
2018-05-25,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,9466.0,4531.43,65.37,174.26,626.97,1359.42,174.26
2018-05-28,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,5791.0,3002.41,62.5,172.28,610.66,1187.51,172.28
2018-05-29,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,13298.0,4987.36,62.5,89.5,283.69,677.76,89.5
2018-05-30,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,13338.0,5046.95,62.51,111.3,391.22,854.64,111.3
2018-05-31,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11462.0,4578.11,62.51,93.79,342.94,890.04,93.79
2018-06-01,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,9953.0,9277.17,78.1,140.98,407.73,777.48,140.98
2018-06-04,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11233.0,10625.0,62.57,121.75,407.22,990.44,121.75
2018-06-05,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11676.0,6765.65,78.1,171.88,610.75,1335.46,171.88
2018-06-06,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11263.0,11731.32,78.11,171.89,702.13,1620.76,171.89
2018-06-07,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,13505.0,15097.97,62.39,93.16,311.36,824.88,93.16
2018-06-08,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12391.0,5640.49,62.51,109.37,370.35,830.56,109.37
2018-06-11,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12753.0,8392.92,62.5,109.33,329.29,712.2,109.33
2018-06-12,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,13321.0,4019.86,62.5,125.04,496.75,1064.37,125.04
2018-06-13,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,14446.0,13021.76,78.09,156.33,608.76,1668.99,156.33
2018-06-14,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,14062.0,12272.18,84.43,171.89,556.53,1519.43,171.89
2018-06-15,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,10838.0,2765.57,46.9,82.36,304.99,703.1,82.36
2018-06-18,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12199.0,7318.5,62.5,118.09,453.17,1154.03,118.09
2018-06-19,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11827.0,5641.14,62.53,147.67,558.04,1217.9,147.67
2018-06-20,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,13011.0,5917.33,62.51,140.84,558.58,1243.72,140.84
2018-06-21,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12934.0,11377.6,62.5,140.18,576.63,1283.96,140.18
2018-06-22,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,10836.0,2921.94,46.84,78.17,277.49,683.66,78.17
2018-06-25,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,14673.0,2748.63,47.11,78.17,238.08,615.09,78.17
2018-06-26,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,14471.0,11688.18,62.36,109.35,468.63,1121.26,109.35
2018-06-27,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11824.0,4999.98,62.48,111.08,416.36,875.0,111.08
2018-06-28,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12272.0,3948.98,62.51,109.38,407.4,906.14,109.38
2018-06-29,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11570.0,38994.02,62.48,87.86,311.6,781.17,87.86
2018-07-02,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,10320.0,2390.63,62.5,109.38,358.79,795.15,109.38
2018-07-03,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,9950.0,12141.84,46.87,78.15,187.51,517.57,78.15
2018-07-04,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,5288.0,15709.97,62.5,125.03,447.19,1242.19,125.03
2018-07-05,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,8727.0,11548.78,50.41,78.76,285.12,733.4,78.76
2018-07-06,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,7505.0,3781.48,56.59,93.76,328.42,718.09,93.76
2018-07-09,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11500.0,1580.13,46.92,78.15,171.85,363.22,78.15
2018-07-10,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11069.0,33242.46,59.57,93.4,281.89,697.12,93.4
2018-07-11,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11760.0,9174.93,64.69,140.57,484.31,1086.01,140.57
2018-07-12,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11511.0,5718.76,60.27,83.84,265.49,674.88,83.84
2018-07-13,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,10313.0,7919.52,60.3,85.89,250.52,606.96,85.89
2018-07-16,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,12662.0,5245.6,76.02,135.61,460.45,1108.43,135.61
2018-07-17,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11481.0,3859.4,62.53,125.53,471.18,1127.18,125.53
2018-07-18,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,11772.0,11837.67,61.9,93.76,312.16,777.18,93.76
2018-07-19,UcmDbConn,[Opportunities].[GetHasInitiativeInfo],All,1501.0,982.4,78.16,109.35,218.42,533.01,109.35
