startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,1371.31,261.18,375.02,703.26,1371.31,375.02
2018-02-05,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,3513.4,225.77,343.74,625.06,3513.4,343.74
2018-02-06,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,71.0,1298.23,265.61,406.27,591.24,1298.23,406.27
2018-02-07,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,2389.33,312.3,413.24,985.61,2389.33,413.24
2018-02-08,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,74.0,1388.92,234.39,328.11,734.4,1388.92,328.11
2018-02-09,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,73.0,1015.69,218.77,359.41,517.4,1015.69,359.41
2018-02-12,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,1823.91,281.26,359.38,655.19,1823.91,359.38
2018-02-13,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,47.0,1117.16,250.03,379.06,811.59,1117.16,379.06
2018-02-14,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,805.93,236.11,312.49,500.04,805.93,312.49
2018-02-15,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,71.0,636.5,236.67,312.64,386.17,636.5,312.64
2018-02-16,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,73.0,609.37,269.79,343.91,531.26,609.37,343.91
2018-02-19,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,73.0,1262.65,265.64,390.58,601.66,1262.65,390.58
2018-02-20,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,71.0,2079.19,265.63,515.64,1219.27,2079.19,515.64
2018-02-21,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,1073.12,265.63,421.89,687.47,1073.12,421.89
2018-02-22,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,2029.78,250.01,359.39,642.73,2029.78,359.39
2018-02-23,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,3002.4,265.63,387.58,605.42,3002.4,387.58
2018-02-26,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,1407.95,281.26,365.51,889.01,1407.95,365.51
2018-02-27,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,1921.86,281.4,494.09,765.63,1921.86,494.09
2018-02-28,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,1671.88,290.67,401.53,686.31,1671.88,401.53
2018-03-01,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,906.23,265.63,374.78,593.76,906.23,374.78
2018-03-02,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,3630.19,296.93,366.12,847.0,3630.19,366.12
2018-03-05,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,71.0,971.57,234.38,359.35,562.65,971.57,359.35
2018-03-06,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,843.66,263.62,429.21,625.25,843.66,429.21
2018-03-07,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,907.91,327.62,484.42,628.86,907.91,484.42
2018-03-08,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,1580.64,326.49,484.37,763.98,1580.64,484.37
2018-03-09,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,71.0,3390.56,323.88,452.74,828.1,3390.56,452.74
2018-03-12,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,1267.18,331.31,453.14,750.2,1267.18,453.14
2018-03-13,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,73.0,1351.34,374.87,500.02,781.26,1351.34,500.02
2018-03-14,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,1605.28,359.34,531.26,1203.52,1605.28,531.26
2018-03-15,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,703.12,421.9,499.99,656.28,703.12,499.99
2018-03-16,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,937.51,452.14,570.25,814.3,937.51,570.25
2018-03-19,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,2436.62,517.1,749.99,1387.96,2436.62,749.99
2018-03-20,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,3046.73,625.03,843.75,1671.65,3046.73,843.75
2018-03-21,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,1106.93,546.89,688.26,902.49,1106.93,688.26
2018-03-22,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,71.0,1633.69,562.51,749.98,968.74,1633.69,749.98
2018-03-23,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,72.0,1453.1,609.36,765.64,1078.12,1453.1,765.64
2018-03-26,UcmDbConn,[Opportunities].[GetInCompleteSuccessCriteriaRecords],All,75.0,3078.1,533.44,734.07,1218.75,3078.1,734.07
