startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,13.0,1330.91,640.54,968.69,1330.91,1330.91,968.69
2018-02-05,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,22.0,1031.17,531.26,687.51,937.49,1031.17,687.51
2018-02-06,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,33.0,1298.89,552.58,595.97,1171.94,1298.89,595.97
2018-02-07,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,19.0,837.54,515.62,617.15,837.54,837.54,617.15
2018-02-08,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,29.0,1135.0,531.23,687.52,984.4,1135.0,687.52
2018-02-09,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,11.0,1078.22,493.83,984.41,1078.22,1078.22,984.41
2018-02-12,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,20.0,1093.73,562.48,672.01,1031.12,1093.73,672.01
2018-02-13,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,14.0,1315.6,562.49,765.6,1315.6,1315.6,765.6
2018-02-14,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,5.0,718.82,625.02,640.61,718.82,718.82,640.61
2018-02-15,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,29.0,1093.76,484.58,593.72,1093.49,1093.76,593.72
2018-02-16,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,13.0,796.84,531.31,625.08,796.84,796.84,625.08
2018-02-19,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,8.0,1031.2,749.95,812.45,1031.2,1031.2,812.45
2018-02-20,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,12.0,1547.65,656.21,774.99,1547.65,1547.65,774.99
2018-02-21,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,7.0,1281.88,468.74,813.97,1281.88,1281.88,813.97
2018-02-22,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,19.0,2147.19,549.29,656.26,2147.19,2147.19,656.26
2018-02-23,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,11.0,890.63,531.23,609.37,890.63,890.63,609.37
2018-02-26,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,47.0,1078.12,515.62,594.48,1015.61,1078.12,594.48
2018-02-27,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,13.0,1234.44,562.49,642.24,1234.44,1234.44,642.24
2018-02-28,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,18.0,1078.13,562.5,624.98,1078.13,1078.13,624.98
2018-03-01,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,18.0,843.74,499.99,578.14,843.74,843.74,578.14
2018-03-02,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,16.0,1390.63,556.27,671.85,1390.63,1390.63,671.85
2018-03-05,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,12.0,3656.97,578.11,656.24,3656.97,3656.97,656.24
2018-03-06,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,27.0,1456.8,578.04,968.75,1249.98,1456.8,968.75
2018-03-07,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,3.0,1453.1,687.53,1453.1,1453.1,1453.1,1453.1
2018-03-08,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,22.0,1156.24,574.91,718.72,1140.57,1156.24,718.72
2018-03-09,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,18.0,1000.1,540.58,705.91,1000.1,1000.1,705.91
2018-03-12,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,34.0,796.85,515.62,578.01,765.62,796.85,578.01
2018-03-13,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,26.0,2703.18,562.51,703.13,968.88,2703.18,703.13
2018-03-14,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,17.0,921.71,567.45,640.6,921.71,921.71,640.6
2018-03-15,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,30.0,1203.11,578.11,687.49,1000.09,1203.11,687.49
2018-03-16,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,6.0,921.87,609.39,749.98,921.87,921.87,749.98
2018-03-19,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,20.0,997.93,593.74,663.68,843.59,997.93,663.68
2018-03-20,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,26.0,1218.76,578.11,791.02,996.01,1218.76,791.02
2018-03-21,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,1.0,703.84,703.84,703.84,703.84,703.84,703.84
2018-03-22,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,11.0,968.72,640.62,724.28,968.72,968.72,724.28
2018-03-23,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,4.0,767.28,593.74,609.41,767.28,767.28,609.41
2018-03-26,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,23.0,1111.87,578.1,681.54,796.87,1111.87,681.54
2018-03-27,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,11.0,1219.7,546.85,688.27,1219.7,1219.7,688.27
2018-03-28,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,20.0,1031.23,594.76,687.5,906.23,1031.23,687.5
2018-03-29,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,12.0,1359.27,640.63,796.88,1359.27,1359.27,796.88
2018-03-30,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,5.0,796.86,593.74,597.28,796.86,796.86,597.28
2018-04-02,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,27.0,1046.86,546.93,687.49,1015.6,1046.86,687.49
2018-04-03,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,8.0,1078.1,624.95,662.13,1078.1,1078.1,662.13
2018-04-04,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,6.0,906.32,546.86,640.57,906.32,906.32,640.57
2018-04-05,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,3.0,750.54,454.05,750.54,750.54,750.54,750.54
2018-04-06,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,98.0,1491.96,484.36,546.88,843.73,1491.96,546.88
2018-04-09,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,28.0,781.22,486.1,578.11,749.92,781.22,578.11
2018-04-10,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,7.0,1062.49,515.62,785.84,1062.49,1062.49,785.84
2018-04-11,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,35.0,1093.58,546.88,593.77,796.86,1093.58,593.77
2018-04-12,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,30.0,1249.94,546.91,593.68,1218.73,1249.94,593.68
2018-04-13,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,32.0,1249.98,593.74,671.87,937.47,1249.98,671.87
2018-04-16,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,3.0,1109.35,968.8,1109.35,1109.35,1109.35,1109.35
2018-04-17,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,35.0,1296.73,749.97,828.12,1265.66,1296.73,828.12
2018-04-18,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,9.0,1078.13,678.41,753.72,1078.13,1078.13,753.72
2018-04-19,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,5.0,1390.64,1078.08,1187.48,1390.64,1390.64,1187.48
2018-04-20,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,5.0,874.98,593.72,733.28,874.98,874.98,733.28
2018-04-23,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,3.0,890.61,609.38,890.61,890.61,890.61,890.61
2018-04-24,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,6.0,1156.23,796.86,1124.99,1156.23,1156.23,1124.99
2018-04-25,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,9.0,1109.36,874.98,1015.6,1109.36,1109.36,1015.6
2018-04-26,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,35.0,999.99,734.35,867.25,953.13,999.99,867.25
2018-04-27,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,4.0,921.85,546.87,624.99,921.85,921.85,624.99
2018-04-30,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,9.0,906.2,796.86,843.74,906.2,906.2,843.74
2018-05-01,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,23.0,1052.15,660.17,828.11,999.95,1052.15,828.11
2018-05-02,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,10.0,1184.76,562.53,703.08,1184.76,1184.76,703.08
2018-05-03,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,19.0,1150.41,734.32,921.84,1150.41,1150.41,921.84
2018-05-04,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,11.0,1380.53,749.99,843.03,1380.53,1380.53,843.03
2018-05-07,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,16.0,1093.73,562.52,749.95,1093.73,1093.73,749.95
2018-05-08,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,11.0,1249.97,661.38,843.7,1249.97,1249.97,843.7
2018-05-09,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,4.0,828.06,749.98,765.61,828.06,828.06,765.61
2018-05-10,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,1.0,1735.04,1735.04,1735.04,1735.04,1735.04,1735.04
2018-05-11,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,14.0,1031.25,718.74,845.36,1031.25,1031.25,845.36
2018-05-14,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,23.0,8028.88,843.71,1046.93,1421.87,8028.88,1046.93
2018-05-15,UcmDbConn,[Opportunities].[GetInitiativeOpportunityType],All,29.0,8588.55,904.79,1025.82,3968.86,8588.55,1025.82
