startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,22.0,78.12,31.22,62.5,78.1,78.12,62.5
2018-02-05,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,57.0,140.52,62.49,62.51,93.77,140.52,62.51
2018-02-06,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,55.0,343.73,62.5,78.12,203.12,343.73,78.12
2018-02-07,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,49.0,140.63,62.41,62.5,78.11,140.63,62.5
2018-02-08,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,43.0,93.93,62.5,78.12,78.14,93.93,78.12
2018-02-09,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,22.0,78.11,62.46,62.51,62.57,78.11,62.51
2018-02-12,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,26.0,114.16,15.61,62.49,64.54,114.16,62.49
2018-02-13,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,11.0,136.0,62.5,78.13,136.0,136.0,78.13
2018-02-14,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,18.0,93.74,62.49,62.53,93.74,93.74,62.53
2018-02-15,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,11.0,78.13,62.5,78.11,78.13,78.13,78.11
2018-02-16,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,13.0,125.05,62.5,62.51,125.05,125.05,62.51
2018-02-19,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,32.0,93.7,15.63,18.64,78.05,93.7,18.64
2018-02-20,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,113.0,205.26,46.88,62.5,109.37,171.89,62.5
2018-02-21,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,94.0,140.64,62.47,62.5,78.14,140.64,62.5
2018-02-22,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,112.0,140.62,15.61,21.28,78.09,109.37,21.28
2018-02-23,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,59.0,203.14,15.64,62.5,93.73,203.14,62.5
2018-02-26,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,95.0,140.64,15.62,18.4,79.61,140.64,18.4
2018-02-27,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,70.0,109.38,15.65,62.5,93.77,109.38,62.5
2018-02-28,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,71.0,124.99,15.64,62.5,78.13,124.99,62.5
2018-03-01,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,131.0,312.5,15.6,15.64,62.5,140.64,15.64
2018-03-02,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,33.0,90.94,15.61,15.63,46.86,90.94,15.63
2018-03-05,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,80.0,93.75,15.63,62.49,62.56,93.75,62.49
2018-03-06,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,103.0,93.76,62.48,62.5,78.12,78.43,62.5
2018-03-07,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,37.0,78.11,15.64,46.86,62.54,78.11,46.86
2018-03-08,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,44.0,749.78,62.25,62.5,78.14,749.78,62.5
2018-03-09,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,19.0,171.87,62.5,62.51,171.87,171.87,62.51
2018-03-12,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,38.0,93.73,62.5,62.51,78.13,93.73,62.51
2018-03-13,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,45.0,281.26,62.5,63.77,109.35,281.26,63.77
2018-03-14,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,121.0,187.5,62.5,62.51,107.14,187.5,62.51
2018-03-15,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,87.0,156.28,62.5,62.51,93.76,156.28,62.51
2018-03-16,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,29.0,93.74,15.63,62.46,62.51,93.74,62.46
2018-03-19,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,72.0,156.26,36.38,62.5,78.14,156.26,62.5
2018-03-20,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,85.0,187.51,15.63,62.5,109.38,187.51,62.5
2018-03-21,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,101.0,171.11,62.5,62.51,78.16,156.4,62.51
2018-03-22,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,25.0,125.0,62.5,62.57,109.37,125.0,62.57
2018-03-23,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,60.0,78.39,62.49,62.5,78.11,78.39,62.5
2018-03-26,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,95.0,108.29,62.5,62.51,78.12,108.29,62.51
2018-03-27,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,31.0,78.13,15.68,62.51,78.13,78.13,62.51
2018-03-28,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,77.0,110.5,62.51,78.11,93.77,110.5,78.11
2018-03-29,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,56.0,140.63,19.09,62.51,78.27,140.63,62.51
2018-03-30,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,40.0,218.75,62.5,62.5,78.13,218.75,62.5
2018-04-02,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,99.0,156.41,0.0,18.88,78.13,156.41,18.88
2018-04-03,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,78.0,812.49,62.49,66.99,265.65,812.49,66.99
2018-04-04,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,119.0,187.49,15.64,62.5,78.14,171.6,62.5
2018-04-05,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,95.0,62.68,15.61,62.49,62.51,62.68,62.49
2018-04-06,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,44.0,125.01,15.64,46.88,78.28,125.01,46.88
2018-04-09,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,92.0,109.34,15.63,62.49,78.12,109.34,62.49
2018-04-10,UcmDbConn,[Opportunities].[GetOpportunitiesNotesHistoryV1],All,110.0,151.66,15.61,19.23,62.73,93.75,19.23
