startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,228.0,296.87,15.62,18.22,78.12,249.38,18.22
2018-02-05,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,162.0,406.23,15.66,62.49,93.75,140.65,62.49
2018-02-06,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,217.0,718.72,15.65,62.5,140.26,281.29,62.5
2018-02-07,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,134.0,812.57,15.68,62.5,156.24,265.66,62.5
2018-02-08,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,170.0,812.32,15.65,62.5,125.0,189.23,62.5
2018-02-09,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,179.0,312.5,15.63,62.48,125.0,282.13,62.48
2018-02-12,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,148.0,126.88,15.62,27.33,89.09,125.0,27.33
2018-02-13,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,136.0,1078.13,15.8,48.01,144.63,749.98,48.01
2018-02-14,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,143.0,171.88,15.63,30.67,78.12,140.63,30.67
2018-02-15,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,106.0,296.85,15.63,31.22,93.75,156.26,31.22
2018-02-16,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,175.0,264.39,15.61,16.5,62.49,218.89,16.5
2018-02-19,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,147.0,624.98,15.62,19.82,93.75,250.79,19.82
2018-02-20,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,226.0,860.83,15.64,31.25,124.98,375.0,31.25
2018-02-21,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,140.0,484.34,27.89,62.5,187.48,374.96,62.5
2018-02-22,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,149.0,218.75,15.63,24.3,62.54,109.42,24.3
2018-02-23,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,175.0,155.0,15.62,46.85,93.74,150.76,46.85
2018-02-26,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,200.0,296.87,15.64,62.49,83.0,234.34,62.49
2018-02-27,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,218.0,506.01,17.17,62.5,109.37,328.11,62.5
2018-02-28,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,165.0,953.12,15.65,47.52,109.37,203.12,47.52
2018-03-01,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,144.0,359.37,62.16,78.11,124.99,296.89,78.11
2018-03-02,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,118.0,421.86,17.81,62.5,124.4,203.09,62.5
2018-03-05,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,169.0,372.09,15.65,31.25,93.74,270.47,31.25
2018-03-06,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,234.0,246.64,16.4,62.5,104.03,203.13,62.5
2018-03-07,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,326.0,1579.42,15.63,62.49,93.86,274.52,62.49
2018-03-08,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,266.0,372.55,15.63,31.26,78.23,157.11,31.26
2018-03-09,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,188.0,312.48,19.26,62.5,93.73,171.87,62.5
2018-03-12,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,255.0,937.49,15.63,31.22,78.24,109.38,31.22
2018-03-13,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,232.0,640.64,15.91,62.49,93.75,156.26,62.49
2018-03-14,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,186.0,328.5,16.29,62.5,171.86,312.49,62.5
2018-03-15,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,197.0,249.99,15.63,62.45,93.75,203.12,62.45
2018-03-16,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,117.0,328.08,15.63,43.79,109.37,234.34,43.79
2018-03-19,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,81.0,671.87,18.16,62.5,281.25,671.87,62.5
2018-03-20,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,184.0,578.15,15.62,31.19,78.12,499.98,31.19
2018-03-21,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,130.0,21794.65,15.62,18.19,78.12,296.42,18.19
2018-03-22,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,206.0,468.73,16.04,62.5,78.14,125.0,62.5
2018-03-23,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,210.0,1922.53,29.64,62.54,109.41,203.16,62.54
2018-03-26,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,156.0,267.77,15.63,46.91,126.67,218.73,46.91
2018-03-27,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,210.0,328.12,15.63,19.68,100.53,296.87,19.68
2018-03-28,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,143.0,328.12,15.64,62.47,93.77,313.88,62.47
2018-03-29,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,169.0,203.12,15.63,31.24,78.15,140.68,31.24
2018-03-30,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,158.0,484.37,15.64,62.47,93.75,277.48,62.47
2018-04-02,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,140.0,343.75,15.64,62.5,125.0,216.66,62.5
2018-04-03,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,276.0,343.75,15.62,19.47,78.12,156.15,19.47
2018-04-04,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,427.0,609.37,15.6,16.15,62.51,109.37,16.15
2018-04-05,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,474.0,374.99,15.6,15.83,62.5,78.15,15.83
2018-04-06,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,502.0,219.36,15.6,15.75,62.51,125.33,15.75
2018-04-09,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,283.0,359.39,15.62,17.95,62.51,171.91,17.95
2018-04-10,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,347.0,546.9,15.59,15.66,46.85,299.11,15.66
2018-04-11,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,377.0,1578.14,15.6,16.07,78.09,171.9,16.07
2018-04-12,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,346.0,187.52,15.21,15.64,46.88,78.1,15.64
2018-04-13,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,278.0,328.12,15.61,15.66,46.94,109.39,15.66
2018-04-16,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,151.0,265.65,15.61,18.14,62.52,265.64,18.14
2018-04-17,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,221.0,144.77,15.61,16.74,77.04,93.7,16.74
2018-04-18,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,193.0,234.38,15.62,17.45,62.5,125.92,17.45
2018-04-19,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,239.0,253.56,15.62,16.29,62.5,125.0,16.29
2018-04-20,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,252.0,187.53,15.61,15.83,62.5,124.99,15.83
2018-04-23,UcmDbConn,[Opportunities].[GetOpportunitiesStatusCountByUserId],All,385.0,265.62,15.61,16.03,62.47,78.12,16.03
