startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2259.0,4031.42,30.92,78.12,633.15,1628.22,78.12
2018-02-05,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2746.0,1956.76,31.61,78.13,156.49,734.38,78.13
2018-02-06,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2238.0,5215.18,31.17,78.12,187.67,1156.21,78.12
2018-02-07,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2592.0,3824.34,32.39,78.12,197.73,812.45,78.12
2018-02-08,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2169.0,12029.7,31.25,78.12,593.7,2109.4,78.12
2018-02-09,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2012.0,17558.02,31.21,78.05,283.88,1221.15,78.05
2018-02-12,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,1904.0,7691.61,31.25,78.12,248.66,1125.41,78.12
2018-02-13,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,1631.0,3124.3,31.54,78.12,156.25,812.53,78.12
2018-02-14,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,1632.0,3473.9,30.62,77.1,203.1,953.68,77.1
2018-02-15,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,1642.0,2231.94,31.25,78.12,202.91,889.92,78.12
2018-02-16,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,1747.0,3984.38,30.91,77.92,250.69,1629.31,77.92
2018-02-19,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,1465.0,3047.77,22.36,46.87,338.77,1653.64,46.87
2018-02-20,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,1930.0,3484.39,31.28,78.12,372.33,921.91,78.12
2018-02-21,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2557.0,12765.69,28.05,62.85,154.51,1467.68,62.85
2018-02-22,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2710.0,3468.94,31.08,77.92,172.87,874.98,77.92
2018-02-23,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,1944.0,3376.45,29.25,64.77,187.5,1234.23,64.77
2018-02-26,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2686.0,7583.39,29.28,70.99,155.05,843.75,70.99
2018-02-27,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,3022.0,5712.77,31.25,77.97,299.23,1324.15,77.97
2018-02-28,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,3240.0,6797.08,31.02,77.7,318.74,1953.1,77.7
2018-03-01,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2612.0,7669.98,31.3,78.12,631.85,2186.07,78.12
2018-03-02,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2564.0,10219.81,29.36,76.7,640.93,2341.88,76.7
2018-03-05,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2490.0,7281.24,31.21,77.66,506.86,2437.5,77.66
2018-03-06,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2912.0,6140.74,32.51,78.12,596.12,1939.46,78.12
2018-03-07,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2391.0,15624.82,39.63,78.12,618.23,2031.24,78.12
2018-03-08,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2306.0,5952.57,29.75,77.71,405.57,1362.27,77.71
2018-03-09,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,1770.0,4188.18,27.05,62.79,460.94,1699.89,62.79
2018-03-12,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2763.0,8549.89,29.85,77.94,420.02,2078.07,77.94
2018-03-13,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2948.0,3515.65,29.6,74.07,204.79,843.71,74.07
2018-03-14,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2517.0,10234.31,29.73,77.55,171.72,1359.35,77.55
2018-03-15,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2305.0,9390.49,31.04,78.11,132.53,765.6,78.11
2018-03-16,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2239.0,2937.46,31.25,76.71,226.05,811.77,76.71
2018-03-19,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2038.0,15198.36,30.31,62.52,171.89,795.68,62.52
2018-03-20,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2084.0,6142.98,29.75,62.5,187.41,796.9,62.5
2018-03-21,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,1731.0,2030.96,31.25,77.44,210.46,776.31,77.44
2018-03-22,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2023.0,5422.63,30.52,77.37,234.37,781.28,77.37
2018-03-23,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,1797.0,3187.44,31.24,78.12,609.3,843.76,78.12
2018-03-26,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2522.0,6814.35,30.84,74.36,155.76,692.14,74.36
2018-03-27,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2650.0,2030.78,31.28,78.12,244.09,821.71,78.12
2018-03-28,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2071.0,2359.32,48.48,78.13,156.77,796.9,78.13
2018-03-29,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2574.0,2515.56,47.74,78.13,140.63,671.86,78.13
2018-03-30,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2320.0,2794.55,78.01,90.31,168.03,819.74,90.31
2018-04-02,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,1950.0,5093.91,62.83,90.94,428.7,796.87,90.94
2018-04-03,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2230.0,11156.0,42.68,78.12,156.4,796.71,78.12
2018-04-04,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2134.0,3296.83,31.26,77.76,125.15,686.71,77.76
2018-04-05,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2363.0,2171.85,31.27,77.86,125.0,625.11,77.86
2018-04-06,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,1914.0,3749.96,31.25,72.2,156.76,749.37,72.2
2018-04-09,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2489.0,2328.27,46.01,78.13,156.05,687.33,78.13
2018-04-10,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2768.0,6749.99,38.67,78.12,125.0,609.35,78.12
2018-04-11,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2240.0,2781.17,35.33,78.12,130.89,640.7,78.12
2018-04-12,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2396.0,2453.08,43.1,78.12,140.62,640.63,78.12
2018-04-13,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,1781.0,3143.19,43.18,78.12,139.66,734.06,78.12
2018-04-16,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2112.0,1866.12,47.79,78.21,156.26,687.48,78.21
2018-04-17,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,1951.0,2534.13,46.7,78.13,140.59,703.12,78.13
2018-04-18,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2550.0,2156.23,46.92,78.13,138.93,640.65,78.13
2018-04-19,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2580.0,1890.59,44.77,78.13,140.62,687.48,78.13
2018-04-20,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2115.0,2843.75,34.65,78.12,140.61,703.12,78.12
2018-04-23,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2507.0,2268.79,46.88,78.14,156.14,687.5,78.14
2018-04-24,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2732.0,2374.95,60.74,80.08,173.34,640.63,80.08
2018-04-25,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2563.0,1812.51,49.18,78.16,125.06,267.67,78.16
2018-04-26,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,1558.0,1296.86,78.13,93.76,187.49,734.38,93.76
2018-04-27,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2316.0,2515.61,78.12,93.75,187.49,671.88,93.75
2018-04-30,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,3016.0,1936.76,47.18,78.13,125.0,390.97,78.13
2018-05-01,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,1873.0,2718.69,46.89,78.13,125.02,703.13,78.13
2018-05-02,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2459.0,2615.59,44.9,78.13,156.25,750.0,78.13
2018-05-03,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2754.0,2734.31,42.37,78.12,138.99,656.21,78.12
2018-05-04,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,1768.0,3379.77,41.78,77.99,138.93,812.49,77.99
2018-05-07,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2007.0,1294.01,38.22,78.13,125.04,624.99,78.13
2018-05-08,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2262.0,3890.5,46.55,78.13,140.37,640.62,78.13
2018-05-09,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2684.0,46757.9,46.91,88.09,652.32,5390.36,88.09
2018-05-10,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2966.0,102444.68,64.09,120.83,1793.51,8390.65,120.83
2018-05-11,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,1753.0,7328.21,46.9,88.4,249.87,812.57,88.4
2018-05-14,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2547.0,2859.35,46.89,78.16,155.12,671.88,78.16
2018-05-15,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2136.0,4905.06,46.88,78.12,140.65,625.04,78.12
2018-05-16,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2258.0,2371.9,43.47,76.74,140.66,671.91,76.74
2018-05-17,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2639.0,7654.89,47.47,78.14,138.39,650.89,78.14
2018-05-18,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,1764.0,1731.53,31.28,73.38,155.45,749.98,73.38
2018-05-21,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2282.0,2015.98,47.66,78.15,140.64,687.57,78.15
2018-05-22,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2165.0,3672.09,47.15,78.16,158.48,703.16,78.16
2018-05-23,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2521.0,3603.56,46.88,78.14,140.64,656.31,78.14
2018-05-24,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2207.0,1978.99,46.88,78.13,140.63,624.99,78.13
2018-05-25,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,1986.0,2029.53,45.8,78.11,159.88,734.41,78.11
2018-05-28,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,1365.0,1328.66,31.35,73.31,171.9,713.51,73.31
2018-05-29,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2820.0,1855.23,61.05,89.38,155.6,747.96,89.38
2018-05-30,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2313.0,5283.25,46.87,78.15,140.65,750.02,78.15
2018-05-31,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,2212.0,5568.84,60.47,89.71,202.53,781.36,89.71
2018-06-01,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,368.0,1184.84,78.13,109.4,718.76,869.35,109.4
2018-06-04,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,231.0,6065.12,96.78,375.01,870.65,4777.96,375.01
2018-06-05,UcmDbConn,[Opportunities].[GetOpportunityTypeDomainData],All,229.0,20998.23,78.27,531.25,875.03,1466.89,531.25
