startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[GetPitchedOpportunitiesWithPaging],All,17.0,859.24,234.19,484.39,859.24,859.24,484.39
2018-02-05,UcmDbConn,[Opportunities].[GetPitchedOpportunitiesWithPaging],All,19.0,875.02,374.95,475.47,875.02,875.02,475.47
2018-02-06,UcmDbConn,[Opportunities].[GetPitchedOpportunitiesWithPaging],All,12.0,1109.36,213.9,546.22,1109.36,1109.36,546.22
2018-02-07,UcmDbConn,[Opportunities].[GetPitchedOpportunitiesWithPaging],All,33.0,1249.57,140.59,453.17,843.74,1249.57,453.17
2018-02-08,UcmDbConn,[Opportunities].[GetPitchedOpportunitiesWithPaging],All,5.0,765.64,312.46,625.01,765.64,765.64,625.01
2018-02-09,UcmDbConn,[Opportunities].[GetPitchedOpportunitiesWithPaging],All,9.0,781.26,328.14,359.38,781.26,781.26,359.38
2018-02-12,UcmDbConn,[Opportunities].[GetPitchedOpportunitiesWithPaging],All,16.0,1179.49,328.16,546.9,1179.49,1179.49,546.9
2018-02-13,UcmDbConn,[Opportunities].[GetPitchedOpportunitiesWithPaging],All,13.0,1000.03,209.26,578.11,1000.03,1000.03,578.11
2018-02-14,UcmDbConn,[Opportunities].[GetPitchedOpportunitiesWithPaging],All,7.0,265.62,156.26,234.35,265.62,265.62,234.35
2018-02-15,UcmDbConn,[Opportunities].[GetPitchedOpportunitiesWithPaging],All,12.0,1015.22,156.27,326.47,1015.22,1015.22,326.47
2018-02-16,UcmDbConn,[Opportunities].[GetPitchedOpportunitiesWithPaging],All,27.0,1250.09,125.03,453.16,1016.21,1250.09,453.16
2018-02-19,UcmDbConn,[Opportunities].[GetPitchedOpportunitiesWithPaging],All,5.0,593.76,140.62,515.65,593.76,593.76,515.65
