startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[GetTacticMappedHasInitiative],All,238.0,203.12,15.59,15.65,62.53,125.02,15.65
2018-02-05,UcmDbConn,[Opportunities].[GetTacticMappedHasInitiative],All,226.0,109.34,15.62,31.24,78.08,93.77,31.24
2018-02-06,UcmDbConn,[Opportunities].[GetTacticMappedHasInitiative],All,228.0,531.29,15.59,15.64,64.35,93.76,15.64
2018-02-07,UcmDbConn,[Opportunities].[GetTacticMappedHasInitiative],All,226.0,265.56,15.59,15.65,76.87,109.34,15.65
2018-02-08,UcmDbConn,[Opportunities].[GetTacticMappedHasInitiative],All,232.0,93.89,15.59,19.12,75.85,93.73,19.12
2018-02-09,UcmDbConn,[Opportunities].[GetTacticMappedHasInitiative],All,233.0,281.26,15.6,16.78,78.14,203.1,16.78
2018-02-12,UcmDbConn,[Opportunities].[GetTacticMappedHasInitiative],All,227.0,142.03,15.62,31.24,78.1,93.76,31.24
2018-02-13,UcmDbConn,[Opportunities].[GetTacticMappedHasInitiative],All,208.0,187.47,15.59,15.67,62.45,78.14,15.67
2018-02-14,UcmDbConn,[Opportunities].[GetTacticMappedHasInitiative],All,216.0,124.98,15.58,15.63,32.27,89.2,15.63
2018-02-15,UcmDbConn,[Opportunities].[GetTacticMappedHasInitiative],All,218.0,93.76,15.6,31.22,62.48,81.09,31.22
2018-02-16,UcmDbConn,[Opportunities].[GetTacticMappedHasInitiative],All,222.0,203.13,15.62,31.24,62.52,93.75,31.24
2018-02-19,UcmDbConn,[Opportunities].[GetTacticMappedHasInitiative],All,211.0,109.37,15.63,32.74,78.13,93.76,32.74
2018-02-20,UcmDbConn,[Opportunities].[GetTacticMappedHasInitiative],All,218.0,265.61,15.6,19.68,78.14,156.25,19.68
2018-02-21,UcmDbConn,[Opportunities].[GetTacticMappedHasInitiative],All,227.0,105.22,15.58,15.66,48.92,78.14,15.66
2018-02-22,UcmDbConn,[Opportunities].[GetTacticMappedHasInitiative],All,233.0,125.02,15.61,31.21,62.48,78.13,31.21
2018-02-23,UcmDbConn,[Opportunities].[GetTacticMappedHasInitiative],All,232.0,345.18,0.0,15.67,46.91,93.73,15.67
2018-02-26,UcmDbConn,[Opportunities].[GetTacticMappedHasInitiative],All,236.0,109.39,15.6,18.74,62.56,93.73,18.74
