startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[GetTacticRegions],All,72.0,109.37,62.5,62.51,109.32,109.37,62.51
2018-02-05,UcmDbConn,[Opportunities].[GetTacticRegions],All,42.0,112.03,62.49,62.52,78.49,112.03,62.52
2018-02-06,UcmDbConn,[Opportunities].[GetTacticRegions],All,201.0,187.5,62.5,62.56,93.75,141.59,62.56
2018-02-07,UcmDbConn,[Opportunities].[GetTacticRegions],All,113.0,1140.61,62.5,62.73,93.83,625.0,62.73
2018-02-08,UcmDbConn,[Opportunities].[GetTacticRegions],All,44.0,124.99,62.5,62.57,79.08,124.99,62.57
2018-02-09,UcmDbConn,[Opportunities].[GetTacticRegions],All,38.0,125.0,62.5,62.51,78.15,125.0,62.51
2018-02-12,UcmDbConn,[Opportunities].[GetTacticRegions],All,51.0,78.21,62.49,62.51,78.12,78.21,62.51
2018-02-13,UcmDbConn,[Opportunities].[GetTacticRegions],All,44.0,156.24,62.5,62.84,97.89,156.24,62.84
2018-02-14,UcmDbConn,[Opportunities].[GetTacticRegions],All,56.0,109.39,62.5,62.51,93.76,109.39,62.51
2018-02-15,UcmDbConn,[Opportunities].[GetTacticRegions],All,25.0,93.75,62.5,62.54,78.56,93.75,62.54
2018-02-16,UcmDbConn,[Opportunities].[GetTacticRegions],All,16.0,78.13,62.47,62.51,78.13,78.13,62.51
2018-02-19,UcmDbConn,[Opportunities].[GetTacticRegions],All,11.0,593.97,61.81,62.51,593.97,593.97,62.51
2018-02-20,UcmDbConn,[Opportunities].[GetTacticRegions],All,13.0,65.11,46.65,62.5,65.11,65.11,62.5
2018-02-21,UcmDbConn,[Opportunities].[GetTacticRegions],All,41.0,65.08,15.65,62.49,62.51,65.08,62.49
2018-02-22,UcmDbConn,[Opportunities].[GetTacticRegions],All,32.0,93.75,62.5,62.51,78.13,93.75,62.51
2018-02-23,UcmDbConn,[Opportunities].[GetTacticRegions],All,5.0,60.99,15.57,15.58,60.99,60.99,15.58
2018-02-26,UcmDbConn,[Opportunities].[GetTacticRegions],All,79.0,640.62,62.5,62.52,78.14,640.62,62.52
2018-02-27,UcmDbConn,[Opportunities].[GetTacticRegions],All,22.0,93.72,62.5,62.53,78.13,93.72,62.53
2018-02-28,UcmDbConn,[Opportunities].[GetTacticRegions],All,31.0,93.74,62.49,62.51,78.13,93.74,62.51
2018-03-01,UcmDbConn,[Opportunities].[GetTacticRegions],All,26.0,93.76,62.49,62.51,93.45,93.76,62.51
2018-03-02,UcmDbConn,[Opportunities].[GetTacticRegions],All,16.0,78.09,46.89,62.51,78.09,78.09,62.51
2018-03-05,UcmDbConn,[Opportunities].[GetTacticRegions],All,28.0,109.38,62.5,62.51,93.75,109.38,62.51
