startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[GetTacticsDetailsForRecommendationsV1],All,81.0,468.74,15.64,62.51,187.5,468.74,62.51
2018-02-05,UcmDbConn,[Opportunities].[GetTacticsDetailsForRecommendationsV1],All,50.0,1265.66,15.64,62.5,281.16,1265.66,62.5
2018-02-06,UcmDbConn,[Opportunities].[GetTacticsDetailsForRecommendationsV1],All,64.0,609.37,62.47,78.12,187.5,609.37,78.12
2018-02-07,UcmDbConn,[Opportunities].[GetTacticsDetailsForRecommendationsV1],All,60.0,171.9,15.74,62.53,124.99,171.9,62.53
2018-02-08,UcmDbConn,[Opportunities].[GetTacticsDetailsForRecommendationsV1],All,62.0,500.0,62.49,93.75,296.87,500.0,93.75
2018-02-09,UcmDbConn,[Opportunities].[GetTacticsDetailsForRecommendationsV1],All,42.0,468.75,15.65,78.11,171.88,468.75,78.11
2018-02-12,UcmDbConn,[Opportunities].[GetTacticsDetailsForRecommendationsV1],All,57.0,468.75,15.63,62.61,126.92,468.75,62.61
2018-02-13,UcmDbConn,[Opportunities].[GetTacticsDetailsForRecommendationsV1],All,52.0,468.73,62.49,78.13,328.04,468.73,78.13
2018-02-14,UcmDbConn,[Opportunities].[GetTacticsDetailsForRecommendationsV1],All,55.0,468.74,16.93,93.74,312.52,468.74,93.74
2018-02-15,UcmDbConn,[Opportunities].[GetTacticsDetailsForRecommendationsV1],All,60.0,352.05,15.63,62.5,124.99,352.05,62.5
2018-02-16,UcmDbConn,[Opportunities].[GetTacticsDetailsForRecommendationsV1],All,50.0,343.74,15.62,68.09,175.34,343.74,68.09
2018-02-19,UcmDbConn,[Opportunities].[GetTacticsDetailsForRecommendationsV1],All,39.0,359.39,31.24,78.11,343.79,359.39,78.11
2018-02-20,UcmDbConn,[Opportunities].[GetTacticsDetailsForRecommendationsV1],All,58.0,343.75,62.49,78.13,234.13,343.75,78.13
2018-02-21,UcmDbConn,[Opportunities].[GetTacticsDetailsForRecommendationsV1],All,61.0,1078.1,62.4,62.54,233.75,1078.1,62.54
2018-02-22,UcmDbConn,[Opportunities].[GetTacticsDetailsForRecommendationsV1],All,82.0,249.98,15.63,62.53,171.87,249.98,62.53
