startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,396.0,2559.33,62.49,77.81,687.53,1249.95,77.81
2018-02-05,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,180.0,1984.42,62.49,78.0,671.52,1156.27,78.0
2018-02-06,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,191.0,3421.84,62.5,78.13,656.24,843.0,78.13
2018-02-07,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,300.0,1171.99,62.49,62.65,640.61,734.35,62.65
2018-02-08,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,249.0,3750.36,62.5,78.13,640.69,1859.4,78.13
2018-02-09,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,202.0,1562.29,62.5,78.1,640.9,718.76,78.1
2018-02-12,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,128.0,1125.0,62.5,77.42,625.49,1046.83,77.42
2018-02-13,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,167.0,2281.15,62.5,76.87,640.62,1124.92,76.87
2018-02-14,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,175.0,4436.11,62.5,78.02,641.58,4436.11,78.02
2018-02-15,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,175.0,1147.4,62.5,63.16,640.46,1108.99,63.16
2018-02-16,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,96.0,656.3,62.49,62.52,140.64,656.3,62.52
2018-02-19,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,69.0,625.0,62.49,62.51,609.39,625.0,62.51
2018-02-20,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,168.0,1203.6,62.5,78.14,625.03,1136.54,78.14
2018-02-21,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,129.0,2593.71,62.5,78.12,640.58,1578.12,78.12
2018-02-22,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,340.0,2500.03,62.49,62.88,625.02,703.14,62.88
2018-02-23,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,116.0,1671.87,62.49,62.62,1078.17,1190.72,62.62
2018-02-26,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,249.0,1781.23,62.5,78.12,609.37,1203.11,78.12
2018-02-27,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,281.0,2109.39,62.5,63.99,593.75,1187.49,63.99
2018-02-28,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,200.0,2265.61,62.5,78.12,640.51,953.1,78.12
2018-03-01,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,256.0,1468.75,62.5,77.98,656.23,1140.62,77.98
2018-03-02,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,237.0,1593.69,62.5,78.12,627.26,1140.62,78.12
2018-03-05,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,166.0,2079.34,62.49,77.84,625.0,1265.41,77.84
2018-03-06,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,341.0,3320.26,62.5,63.25,656.91,1265.61,63.25
2018-03-07,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,168.0,3390.58,62.5,78.13,734.22,2296.86,78.13
2018-03-08,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,291.0,2206.88,62.5,77.92,640.6,1140.59,77.92
2018-03-09,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,147.0,2249.98,62.5,78.13,1052.65,1187.59,78.13
2018-03-12,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,250.0,1609.33,62.49,63.98,640.94,1140.72,63.98
2018-03-13,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,266.0,2156.04,62.49,93.9,750.01,1318.95,93.9
2018-03-14,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,288.0,2281.22,62.5,78.13,656.26,1493.74,78.13
2018-03-15,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,254.0,2700.66,62.5,78.12,656.54,1156.27,78.12
2018-03-16,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,278.0,2921.81,62.5,78.13,640.62,2218.76,78.13
2018-03-19,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,144.0,2796.83,62.5,156.25,1109.38,2171.89,156.25
2018-03-20,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,186.0,2359.39,62.49,78.12,640.64,781.23,78.12
2018-03-21,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,211.0,2983.99,62.49,78.12,640.62,1656.21,78.12
2018-03-22,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,245.0,1250.03,62.5,78.12,671.87,1187.5,78.12
2018-03-23,UcmDbConn,[Opportunities].[GetTacticsDomainData],All,289.0,2484.33,62.5,77.62,639.57,1640.6,77.62
