startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,29.0,62.5,0.0,15.6,17.11,62.5,15.6
2018-02-05,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,156.0,3281.82,0.0,15.61,31.24,109.96,15.61
2018-02-06,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,124.0,78.13,0.0,15.62,46.9,62.54,15.62
2018-02-07,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,29.0,62.52,10.04,15.62,62.52,62.52,15.62
2018-02-08,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,132.0,234.37,0.0,15.65,78.05,93.77,15.65
2018-02-09,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,53.0,265.63,62.5,62.51,93.75,265.63,62.51
2018-02-12,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,150.0,140.62,62.03,62.51,78.11,109.38,62.51
2018-02-13,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,12.0,62.51,18.9,62.5,62.51,62.51,62.5
2018-02-14,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,76.0,93.75,62.49,62.51,78.11,93.75,62.51
2018-02-15,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,50.0,78.13,0.0,16.79,76.13,78.13,16.79
2018-02-16,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,94.0,203.0,0.0,15.65,62.55,203.0,15.65
2018-02-19,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,34.0,31.25,0.0,15.63,19.83,31.25,15.63
2018-02-20,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,10.0,125.05,46.85,64.86,125.05,125.05,64.86
2018-02-21,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,44.0,62.52,0.0,15.64,62.5,62.52,15.64
2018-02-22,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,31.0,83.35,0.0,15.63,63.38,83.35,15.63
2018-02-23,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,22.0,625.03,62.5,62.5,62.97,625.03,62.5
2018-02-26,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,76.0,62.49,15.58,15.62,61.27,62.49,15.62
2018-02-27,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,41.0,125.0,11.95,15.75,78.13,125.0,15.75
2018-02-28,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,90.0,125.0,0.0,15.63,62.5,125.0,15.63
2018-03-01,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,58.0,78.09,0.0,15.63,46.89,78.09,15.63
2018-03-02,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,177.0,75.82,0.0,15.63,30.41,62.49,15.63
2018-03-05,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,27.0,63.38,19.35,62.49,62.51,63.38,62.49
2018-03-06,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,46.0,96.08,46.88,62.5,78.12,96.08,62.5
2018-03-07,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,30.0,78.12,46.7,62.49,63.11,78.12,62.49
2018-03-08,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,26.0,125.01,62.5,62.5,78.12,125.01,62.5
2018-03-09,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,7.0,62.51,62.48,62.5,62.51,62.51,62.5
2018-03-12,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,58.0,78.35,15.6,62.49,63.42,78.35,62.49
2018-03-13,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,151.0,1765.58,62.5,62.51,93.73,421.88,62.51
2018-03-14,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,56.0,203.12,0.0,15.63,62.57,203.12,15.63
2018-03-15,UcmDbConn,[Opportunities].[GetTacticsForBlockRules],All,98.0,376.18,15.63,62.49,78.38,376.18,62.49
