startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[GetTechPartnersByCustomerIds],All,17583.0,19267.21,77.83,108.6,187.45,357.36,108.6
2018-02-05,UcmDbConn,[Opportunities].[GetTechPartnersByCustomerIds],All,18664.0,18787.68,77.36,97.66,183.33,349.02,97.66
2018-02-06,UcmDbConn,[Opportunities].[GetTechPartnersByCustomerIds],All,18510.0,4234.42,110.78,187.54,405.05,763.37,187.54
2018-02-07,UcmDbConn,[Opportunities].[GetTechPartnersByCustomerIds],All,19859.0,2410.24,62.76,93.79,187.26,358.86,93.79
2018-02-08,UcmDbConn,[Opportunities].[GetTechPartnersByCustomerIds],All,17482.0,2359.27,62.79,108.39,171.89,315.82,108.39
2018-02-09,UcmDbConn,[Opportunities].[GetTechPartnersByCustomerIds],All,14617.0,6705.91,108.05,140.62,250.01,437.52,140.62
2018-02-12,UcmDbConn,[Opportunities].[GetTechPartnersByCustomerIds],All,18690.0,8375.71,62.51,93.77,172.22,329.09,93.77
2018-02-13,UcmDbConn,[Opportunities].[GetTechPartnersByCustomerIds],All,13211.0,4546.34,109.39,156.25,265.58,406.24,156.25
2018-02-14,UcmDbConn,[Opportunities].[GetTechPartnersByCustomerIds],All,16266.0,2234.51,62.52,94.41,177.76,343.73,94.41
2018-02-15,UcmDbConn,[Opportunities].[GetTechPartnersByCustomerIds],All,15145.0,19386.95,65.15,108.63,187.47,344.37,108.63
2018-02-16,UcmDbConn,[Opportunities].[GetTechPartnersByCustomerIds],All,13066.0,3817.0,62.51,93.76,170.24,330.85,93.76
2018-02-19,UcmDbConn,[Opportunities].[GetTechPartnersByCustomerIds],All,10442.0,2272.9,46.89,92.54,187.46,379.33,92.54
2018-02-20,UcmDbConn,[Opportunities].[GetTechPartnersByCustomerIds],All,18359.0,6749.63,79.86,128.22,452.24,1371.7,128.22
2018-02-21,UcmDbConn,[Opportunities].[GetTechPartnersByCustomerIds],All,17401.0,12128.78,77.91,97.98,188.8,406.73,97.98
2018-02-22,UcmDbConn,[Opportunities].[GetTechPartnersByCustomerIds],All,17139.0,13538.59,78.14,124.61,234.37,406.26,124.61
2018-02-23,UcmDbConn,[Opportunities].[GetTechPartnersByCustomerIds],All,14061.0,9062.61,78.11,110.65,230.88,421.88,110.65
2018-02-26,UcmDbConn,[Opportunities].[GetTechPartnersByCustomerIds],All,18579.0,1928.31,63.8,96.12,187.82,365.51,96.12
2018-02-27,UcmDbConn,[Opportunities].[GetTechPartnersByCustomerIds],All,18911.0,6140.85,75.59,109.37,207.28,420.8,109.37
2018-02-28,UcmDbConn,[Opportunities].[GetTechPartnersByCustomerIds],All,17736.0,10453.83,75.83,109.14,187.5,333.61,109.14
2018-03-01,UcmDbConn,[Opportunities].[GetTechPartnersByCustomerIds],All,17627.0,3645.58,77.15,109.34,187.52,349.25,109.34
2018-03-02,UcmDbConn,[Opportunities].[GetTechPartnersByCustomerIds],All,12899.0,19269.77,66.28,109.35,218.18,464.48,109.35
2018-03-05,UcmDbConn,[Opportunities].[GetTechPartnersByCustomerIds],All,15457.0,2328.36,63.34,96.69,188.05,393.66,96.69
2018-03-06,UcmDbConn,[Opportunities].[GetTechPartnersByCustomerIds],All,16654.0,11682.48,78.11,99.17,187.78,389.55,99.17
