startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[ProcessAutoClosePitchedOpportunities],All,72.0,17467.25,5589.24,6985.3,10277.7,17467.25,6985.3
2018-02-05,UcmDbConn,[Opportunities].[ProcessAutoClosePitchedOpportunities],All,72.0,10716.05,5515.64,7285.8,9617.22,10716.05,7285.8
2018-02-06,UcmDbConn,[Opportunities].[ProcessAutoClosePitchedOpportunities],All,72.0,40014.2,6266.76,9605.78,14281.45,40014.2,9605.78
2018-02-07,UcmDbConn,[Opportunities].[ProcessAutoClosePitchedOpportunities],All,72.0,10648.23,5827.58,7361.24,8739.24,10648.23,7361.24
2018-02-08,UcmDbConn,[Opportunities].[ProcessAutoClosePitchedOpportunities],All,74.0,13982.61,3463.71,4968.75,7772.88,13982.61,4968.75
2018-02-09,UcmDbConn,[Opportunities].[ProcessAutoClosePitchedOpportunities],All,73.0,10295.96,6140.61,7144.97,9393.53,10295.96,7144.97
2018-02-12,UcmDbConn,[Opportunities].[ProcessAutoClosePitchedOpportunities],All,72.0,10659.0,5879.38,7484.33,9610.92,10659.0,7484.33
2018-02-13,UcmDbConn,[Opportunities].[ProcessAutoClosePitchedOpportunities],All,47.0,7379.55,4105.11,5719.12,6603.9,7379.55,5719.12
2018-02-14,UcmDbConn,[Opportunities].[ProcessAutoClosePitchedOpportunities],All,72.0,8680.89,3003.25,4531.2,7015.73,8680.89,4531.2
2018-02-15,UcmDbConn,[Opportunities].[ProcessAutoClosePitchedOpportunities],All,72.0,9957.96,3093.78,4244.49,8513.55,9957.96,4244.49
2018-02-16,UcmDbConn,[Opportunities].[ProcessAutoClosePitchedOpportunities],All,72.0,10004.91,3031.25,4750.06,8218.82,10004.91,4750.06
2018-02-19,UcmDbConn,[Opportunities].[ProcessAutoClosePitchedOpportunities],All,72.0,20545.13,5171.89,7171.89,12874.69,20545.13,7171.89
2018-02-20,UcmDbConn,[Opportunities].[ProcessAutoClosePitchedOpportunities],All,72.0,40026.07,5949.0,9833.46,22567.03,40026.07,9833.46
2018-02-21,UcmDbConn,[Opportunities].[ProcessAutoClosePitchedOpportunities],All,72.0,24662.32,3691.49,6406.44,12647.81,24662.32,6406.44
2018-02-22,UcmDbConn,[Opportunities].[ProcessAutoClosePitchedOpportunities],All,72.0,27133.78,6016.45,9011.4,14148.28,27133.78,9011.4
2018-02-23,UcmDbConn,[Opportunities].[ProcessAutoClosePitchedOpportunities],All,71.0,22393.65,7673.73,9173.42,10845.71,22393.65,9173.42
2018-02-26,UcmDbConn,[Opportunities].[ProcessAutoClosePitchedOpportunities],All,72.0,15594.26,8015.64,10297.48,12521.52,15594.26,10297.48
2018-02-27,UcmDbConn,[Opportunities].[ProcessAutoClosePitchedOpportunities],All,71.0,25356.16,6410.53,8687.64,12803.8,25356.16,8687.64
2018-02-28,UcmDbConn,[Opportunities].[ProcessAutoClosePitchedOpportunities],All,72.0,15483.17,6362.66,7423.78,10094.31,15483.17,7423.78
2018-03-01,UcmDbConn,[Opportunities].[ProcessAutoClosePitchedOpportunities],All,72.0,14282.1,5388.57,7102.65,10563.32,14282.1,7102.65
2018-03-02,UcmDbConn,[Opportunities].[ProcessAutoClosePitchedOpportunities],All,73.0,13923.39,5886.85,6966.54,10244.61,13923.39,6966.54
2018-03-05,UcmDbConn,[Opportunities].[ProcessAutoClosePitchedOpportunities],All,72.0,17136.83,6004.21,7730.24,11236.61,17136.83,7730.24
2018-03-06,UcmDbConn,[Opportunities].[ProcessAutoClosePitchedOpportunities],All,73.0,16859.44,5984.34,7544.72,11655.02,16859.44,7544.72
