startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,22254.68,6049.05,7208.5,11213.95,22254.68,7208.5
2018-02-05,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,11848.05,5941.32,7591.61,9905.33,11848.05,7591.61
2018-02-06,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,14539.32,7202.56,9338.88,13097.41,14539.32,9338.88
2018-02-07,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,11056.32,5767.21,7025.66,9180.86,11056.32,7025.66
2018-02-08,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,73.0,16351.43,3765.59,4937.5,7569.82,16351.43,4937.5
2018-02-09,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,73.0,21259.21,6979.12,8392.21,11182.61,21259.21,8392.21
2018-02-12,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,13458.61,6172.52,7622.52,9558.38,13458.61,7622.52
2018-02-13,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,47.0,12172.28,4272.97,5266.28,7578.2,12172.28,5266.28
2018-02-14,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,73.0,8843.78,3639.88,4902.34,7249.76,8843.78,4902.34
2018-02-15,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,10069.26,3093.76,4578.11,8062.58,10069.26,4578.11
2018-02-16,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,9334.77,4532.31,6196.29,7343.76,9334.77,6196.29
2018-02-19,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,73.0,15153.01,5693.37,6798.26,11734.87,15153.01,6798.26
2018-02-20,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,29809.16,7672.63,11108.57,22546.46,29809.16,11108.57
2018-02-21,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,18646.07,4212.56,8577.29,15604.63,18646.07,8577.29
2018-02-22,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,71.0,22965.16,8625.1,12054.05,19456.07,22965.16,12054.05
2018-02-23,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,73.0,22263.55,7930.27,9765.64,12991.52,22263.55,9765.64
2018-02-26,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,15152.34,8266.94,10234.29,13068.28,15152.34,10234.29
2018-02-27,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,20810.31,7531.7,9240.53,12866.74,20810.31,9240.53
2018-02-28,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,15487.93,7339.2,8922.86,11270.66,15487.93,8922.86
2018-03-01,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,14248.14,6912.16,7909.89,12050.46,14248.14,7909.89
2018-03-02,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,16526.15,7043.11,8184.63,12829.97,16526.15,8184.63
2018-03-05,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,15274.29,6250.62,7958.35,11220.29,15274.29,7958.35
2018-03-06,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,17099.95,7234.39,8965.56,12319.02,17099.95,8965.56
2018-03-07,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,40047.1,7826.51,9598.35,13753.07,40047.1,9598.35
2018-03-08,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,14859.24,3624.98,6281.49,11985.52,14859.24,6281.49
2018-03-09,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,14892.64,4239.62,6275.96,10343.86,14892.64,6275.96
2018-03-12,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,15043.15,5265.68,7415.04,11860.38,15043.15,7415.04
2018-03-13,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,10004.82,3140.64,3939.87,7518.8,10004.82,3939.87
2018-03-14,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,71.0,8168.08,2187.3,3248.84,4934.77,8168.08,3248.84
2018-03-15,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,10781.32,1906.16,2363.56,3817.39,10781.32,2363.56
2018-03-16,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,12515.51,1980.73,3261.12,5493.29,12515.51,3261.12
2018-03-19,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,13096.84,3453.23,5645.22,10145.66,13096.84,5645.22
2018-03-20,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,12850.71,2484.38,3746.45,11205.58,12850.71,3746.45
2018-03-21,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,8198.73,2062.51,2532.16,3822.15,8198.73,2532.16
2018-03-22,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,71.0,13783.07,2046.86,3195.24,5656.34,13783.07,3195.24
2018-03-23,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,8699.89,2586.95,3159.1,5437.58,8699.89,3159.1
2018-03-26,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,14385.47,2540.95,4295.27,5656.33,14385.47,4295.27
2018-03-27,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,18879.3,4333.46,5484.39,7989.8,18879.3,5484.39
2018-03-28,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,73.0,11038.48,3727.41,5005.94,8038.83,11038.48,5005.94
2018-03-29,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,73.0,16179.26,3656.24,5796.81,10772.69,16179.26,5796.81
2018-03-30,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,21700.72,4747.53,5679.04,8332.04,21700.72,5679.04
2018-04-02,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,9035.2,1982.32,3296.9,5284.31,9035.2,3296.9
2018-04-03,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,73.0,6312.69,1968.76,2662.17,4002.95,6312.69,2662.17
2018-04-04,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,4862.87,1704.47,1953.07,3560.77,4862.87,1953.07
2018-04-05,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,5599.72,1703.9,1896.88,4499.98,5599.72,1896.88
2018-04-06,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,40818.29,2453.12,4006.74,8124.22,40818.29,4006.74
2018-04-09,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,6541.5,2005.83,3281.23,4015.85,6541.5,3281.23
2018-04-10,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,4765.78,1812.0,2533.11,3687.66,4765.78,2533.11
2018-04-11,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,73.0,10340.33,2172.93,3794.32,6285.14,10340.33,3794.32
2018-04-12,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,40030.69,1970.87,4046.81,6869.78,40030.69,4046.81
2018-04-13,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,40165.4,40015.67,40062.04,40146.74,40165.4,40062.04
2018-04-16,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,13850.65,1765.65,3038.24,5049.16,13850.65,3038.24
2018-04-17,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,10541.14,1562.52,1921.44,6521.16,10541.14,1921.44
2018-04-18,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,15194.5,1522.14,2052.52,7083.1,15194.5,2052.52
2018-04-19,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,73.0,10650.63,1781.27,3799.67,6955.02,10650.63,3799.67
2018-04-20,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,19997.94,1506.74,2953.12,6036.97,19997.94,2953.12
2018-04-23,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,11361.41,2470.94,3718.75,5914.03,11361.41,3718.75
2018-04-24,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,74.0,10876.59,1781.29,3125.14,6014.17,10876.59,3125.14
2018-04-25,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,12995.41,1645.6,2500.0,4793.26,12995.41,2500.0
2018-04-26,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,64.0,19015.88,1968.72,3906.02,6131.98,19015.88,3906.02
2018-04-27,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,37572.82,1609.33,3312.18,10733.29,37572.82,3312.18
2018-04-30,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,6784.96,1594.67,2943.03,5721.56,6784.96,2943.03
2018-05-01,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,5357.64,1562.51,1890.62,4649.3,5357.64,1890.62
2018-05-02,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,19481.73,1601.32,3062.42,7089.79,19481.73,3062.42
2018-05-03,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,10624.02,1649.79,3421.89,5780.27,10624.02,3421.89
2018-05-04,UcmDbConn,[Opportunities].[ProcessExpiredNonProgrammaticOpportunities],All,72.0,13528.97,1578.16,2031.22,5365.68,13528.97,2031.22
