startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,367.0,156.25,15.58,62.49,62.58,93.75,62.49
2018-02-05,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,1439.0,671.86,62.5,62.52,95.9,171.88,62.52
2018-02-06,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,241.0,1624.98,15.64,62.5,78.13,360.61,62.5
2018-02-07,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,407.0,187.49,19.69,62.5,78.05,78.87,62.5
2018-02-08,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,414.0,187.5,15.62,62.5,78.14,125.0,62.5
2018-02-09,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,334.0,656.23,15.61,62.49,62.55,93.77,62.49
2018-02-12,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,325.0,250.02,15.6,62.47,65.29,93.34,62.47
2018-02-13,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,389.0,187.49,19.16,62.5,78.12,109.38,62.5
2018-02-14,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,301.0,265.59,15.95,62.5,78.13,109.27,62.5
2018-02-15,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,394.0,110.17,45.9,62.5,78.12,81.51,62.5
2018-02-16,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,312.0,125.01,62.5,62.51,78.13,78.8,62.51
2018-02-19,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,67.0,78.15,15.59,15.65,62.5,78.15,15.65
2018-02-20,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,434.0,6343.15,18.51,62.5,156.25,328.14,62.5
2018-02-21,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,498.0,265.8,15.62,62.49,78.12,127.03,62.49
2018-02-22,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,449.0,171.87,15.6,62.4,65.09,93.74,62.4
2018-02-23,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,401.0,203.12,46.88,62.5,78.11,93.75,62.5
2018-02-26,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,485.0,109.34,15.69,62.5,66.06,78.14,62.5
2018-02-27,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,519.0,198.23,15.59,62.47,62.57,109.37,62.47
2018-02-28,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,525.0,374.9,15.63,62.5,78.12,171.87,62.5
2018-03-01,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,393.0,9171.82,15.64,62.5,78.12,125.01,62.5
2018-03-02,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,353.0,236.03,10.37,16.2,62.53,78.13,16.2
2018-03-05,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,652.0,248.66,15.61,62.5,78.12,146.37,62.5
2018-03-06,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,579.0,3569.65,61.73,62.5,78.12,110.44,62.5
2018-03-07,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,514.0,765.7,62.49,62.5,78.12,125.03,62.5
2018-03-08,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,520.0,640.62,62.49,62.51,78.12,114.88,62.51
2018-03-09,UcmDbConn,[Pilots].[GetFeaturePilotRegions],All,355.0,625.0,15.62,62.5,78.09,140.62,62.5
