startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Pilots].[GetPilotsDomainData],All,3796.0,19270.62,31.11,62.5,556.03,687.51,62.5
2018-02-05,UcmDbConn,[Pilots].[GetPilotsDomainData],All,5037.0,2265.59,19.76,62.5,103.65,639.76,62.5
2018-02-06,UcmDbConn,[Pilots].[GetPilotsDomainData],All,4993.0,19396.43,30.97,62.5,109.68,640.6,62.5
2018-02-07,UcmDbConn,[Pilots].[GetPilotsDomainData],All,4759.0,1671.89,31.46,62.5,109.43,625.03,62.5
2018-02-08,UcmDbConn,[Pilots].[GetPilotsDomainData],All,4556.0,18787.0,31.37,62.5,109.36,625.06,62.5
2018-02-09,UcmDbConn,[Pilots].[GetPilotsDomainData],All,3662.0,16511.92,31.77,62.5,109.38,640.53,62.5
2018-02-12,UcmDbConn,[Pilots].[GetPilotsDomainData],All,4321.0,5999.99,30.81,62.5,93.76,610.37,62.5
2018-02-13,UcmDbConn,[Pilots].[GetPilotsDomainData],All,2947.0,2446.25,61.22,62.5,108.89,624.98,62.5
2018-02-14,UcmDbConn,[Pilots].[GetPilotsDomainData],All,4208.0,19165.31,29.91,62.5,109.33,656.22,62.5
2018-02-15,UcmDbConn,[Pilots].[GetPilotsDomainData],All,4088.0,19261.02,29.86,62.5,96.44,625.34,62.5
2018-02-16,UcmDbConn,[Pilots].[GetPilotsDomainData],All,3488.0,2390.37,29.76,62.5,93.96,624.66,62.5
2018-02-19,UcmDbConn,[Pilots].[GetPilotsDomainData],All,2572.0,2140.51,16.44,61.67,93.86,625.0,61.67
2018-02-20,UcmDbConn,[Pilots].[GetPilotsDomainData],All,4689.0,2078.29,31.26,62.5,140.82,609.35,62.5
2018-02-21,UcmDbConn,[Pilots].[GetPilotsDomainData],All,4607.0,2218.57,31.76,62.5,109.36,624.88,62.5
2018-02-22,UcmDbConn,[Pilots].[GetPilotsDomainData],All,4613.0,5265.59,34.31,62.5,109.37,625.0,62.5
