startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Survey].[GetUserPromptStatus],All,7939.0,21115.55,62.49,62.67,624.96,1124.98,62.67
2018-02-05,UcmDbConn,[Survey].[GetUserPromptStatus],All,9058.0,19378.67,62.43,62.53,609.38,835.8,62.53
2018-02-06,UcmDbConn,[Survey].[GetUserPromptStatus],All,9635.0,19264.67,62.49,62.56,609.37,1093.72,62.56
2018-02-07,UcmDbConn,[Survey].[GetUserPromptStatus],All,9222.0,19263.97,62.49,62.53,607.88,736.77,62.53
2018-02-08,UcmDbConn,[Survey].[GetUserPromptStatus],All,9001.0,45760.16,62.49,77.22,624.06,859.32,77.22
2018-02-09,UcmDbConn,[Survey].[GetUserPromptStatus],All,8291.0,19258.96,62.49,62.66,614.41,718.27,62.66
2018-02-12,UcmDbConn,[Survey].[GetUserPromptStatus],All,10458.0,2624.96,62.49,62.59,581.33,656.2,62.59
2018-02-13,UcmDbConn,[Survey].[GetUserPromptStatus],All,6626.0,3328.03,62.5,62.62,581.34,656.3,62.62
2018-02-14,UcmDbConn,[Survey].[GetUserPromptStatus],All,9190.0,59381.82,62.49,62.6,609.36,703.12,62.6
2018-02-15,UcmDbConn,[Survey].[GetUserPromptStatus],All,8626.0,10140.38,62.49,62.6,610.08,687.48,62.6
2018-02-16,UcmDbConn,[Survey].[GetUserPromptStatus],All,7302.0,3077.83,62.49,62.62,609.4,687.5,62.62
2018-02-19,UcmDbConn,[Survey].[GetUserPromptStatus],All,5891.0,2687.4,62.37,62.57,624.93,814.98,62.57
2018-02-20,UcmDbConn,[Survey].[GetUserPromptStatus],All,9073.0,8220.64,62.49,64.34,608.52,734.18,64.34
2018-02-21,UcmDbConn,[Survey].[GetUserPromptStatus],All,9481.0,5939.5,62.49,62.63,609.35,687.51,62.63
2018-02-22,UcmDbConn,[Survey].[GetUserPromptStatus],All,9989.0,5796.82,62.49,62.6,609.29,687.51,62.6
2018-02-23,UcmDbConn,[Survey].[GetUserPromptStatus],All,8710.0,19245.84,62.41,62.55,609.52,781.24,62.55
2018-02-26,UcmDbConn,[Survey].[GetUserPromptStatus],All,10890.0,3312.46,62.48,62.51,593.76,671.79,62.51
2018-02-27,UcmDbConn,[Survey].[GetUserPromptStatus],All,11164.0,3623.28,62.45,62.51,593.79,671.86,62.51
2018-02-28,UcmDbConn,[Survey].[GetUserPromptStatus],All,11004.0,14734.15,62.49,62.63,593.79,718.77,62.63
2018-03-01,UcmDbConn,[Survey].[GetUserPromptStatus],All,11586.0,13969.18,62.49,62.72,593.74,718.76,62.72
2018-03-02,UcmDbConn,[Survey].[GetUserPromptStatus],All,11578.0,19686.88,62.5,62.62,593.75,718.75,62.62
2018-03-05,UcmDbConn,[Survey].[GetUserPromptStatus],All,9869.0,3062.46,62.49,62.52,593.74,656.68,62.52
2018-03-06,UcmDbConn,[Survey].[GetUserPromptStatus],All,10352.0,19281.74,62.49,62.7,608.64,703.11,62.7
2018-03-07,UcmDbConn,[Survey].[GetUserPromptStatus],All,9690.0,12937.32,62.5,63.3,609.34,703.14,63.3
2018-03-08,UcmDbConn,[Survey].[GetUserPromptStatus],All,9141.0,19261.95,62.49,62.62,609.39,687.52,62.62
2018-03-09,UcmDbConn,[Survey].[GetUserPromptStatus],All,7748.0,15478.68,62.49,62.74,624.98,890.95,62.74
2018-03-12,UcmDbConn,[Survey].[GetUserPromptStatus],All,11589.0,19363.39,62.49,62.57,593.75,663.14,62.57
2018-03-13,UcmDbConn,[Survey].[GetUserPromptStatus],All,11056.0,21817.88,62.49,62.56,609.32,723.5,62.56
2018-03-14,UcmDbConn,[Survey].[GetUserPromptStatus],All,12053.0,7781.94,62.49,62.69,593.77,672.94,62.69
2018-03-15,UcmDbConn,[Survey].[GetUserPromptStatus],All,13165.0,19266.85,62.5,62.63,593.28,656.28,62.63
2018-03-16,UcmDbConn,[Survey].[GetUserPromptStatus],All,10363.0,19256.94,62.49,62.71,609.75,835.1,62.71
2018-03-19,UcmDbConn,[Survey].[GetUserPromptStatus],All,8621.0,19367.98,62.49,63.04,624.99,718.38,63.04
2018-03-20,UcmDbConn,[Survey].[GetUserPromptStatus],All,9558.0,19378.84,62.49,62.77,624.99,753.35,62.77
2018-03-21,UcmDbConn,[Survey].[GetUserPromptStatus],All,10720.0,19260.63,62.49,62.76,609.37,687.5,62.76
2018-03-22,UcmDbConn,[Survey].[GetUserPromptStatus],All,8936.0,17008.28,62.49,62.6,611.71,765.62,62.6
2018-03-23,UcmDbConn,[Survey].[GetUserPromptStatus],All,15053.0,19346.91,62.5,62.72,593.75,671.89,62.72
2018-03-26,UcmDbConn,[Survey].[GetUserPromptStatus],All,10446.0,4596.24,62.49,62.52,609.36,687.5,62.52
2018-03-27,UcmDbConn,[Survey].[GetUserPromptStatus],All,14655.0,19359.62,62.49,62.83,593.71,671.87,62.83
2018-03-28,UcmDbConn,[Survey].[GetUserPromptStatus],All,11763.0,19368.37,62.49,62.59,592.95,657.63,62.59
2018-03-29,UcmDbConn,[Survey].[GetUserPromptStatus],All,10787.0,19048.89,62.49,62.75,594.9,676.85,62.75
2018-03-30,UcmDbConn,[Survey].[GetUserPromptStatus],All,11136.0,6046.85,62.5,64.63,593.66,758.12,64.63
2018-04-02,UcmDbConn,[Survey].[GetUserPromptStatus],All,7853.0,4468.68,62.5,63.5,609.46,1124.98,63.5
2018-04-03,UcmDbConn,[Survey].[GetUserPromptStatus],All,12101.0,14156.0,62.49,62.59,593.75,687.42,62.59
2018-04-04,UcmDbConn,[Survey].[GetUserPromptStatus],All,11631.0,19377.69,62.49,62.59,593.74,672.66,62.59
