startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[UCMHub].[GetUCMHubPinnedToolsByUserId],All,164.0,390.65,15.63,62.5,78.12,171.88,62.5
2018-02-05,UcmDbConn,[UCMHub].[GetUCMHubPinnedToolsByUserId],All,210.0,246.94,0.0,62.47,62.88,109.37,62.47
2018-02-06,UcmDbConn,[UCMHub].[GetUCMHubPinnedToolsByUserId],All,144.0,187.48,15.58,62.48,78.13,125.81,62.48
2018-02-07,UcmDbConn,[UCMHub].[GetUCMHubPinnedToolsByUserId],All,161.0,187.52,62.49,62.51,109.37,140.64,62.51
2018-02-08,UcmDbConn,[UCMHub].[GetUCMHubPinnedToolsByUserId],All,150.0,203.11,60.71,62.59,93.76,140.65,62.59
2018-02-09,UcmDbConn,[UCMHub].[GetUCMHubPinnedToolsByUserId],All,151.0,312.47,15.63,62.5,109.37,140.8,62.5
2018-02-12,UcmDbConn,[UCMHub].[GetUCMHubPinnedToolsByUserId],All,153.0,124.98,15.59,62.5,78.13,93.79,62.5
2018-02-13,UcmDbConn,[UCMHub].[GetUCMHubPinnedToolsByUserId],All,106.0,96.41,15.64,62.5,63.3,93.74,62.5
2018-02-14,UcmDbConn,[UCMHub].[GetUCMHubPinnedToolsByUserId],All,120.0,156.56,15.61,62.49,78.13,109.38,62.49
2018-02-15,UcmDbConn,[UCMHub].[GetUCMHubPinnedToolsByUserId],All,157.0,156.25,15.63,62.5,93.83,140.62,62.5
2018-02-16,UcmDbConn,[UCMHub].[GetUCMHubPinnedToolsByUserId],All,123.0,221.49,15.59,62.5,93.76,187.5,62.5
2018-02-19,UcmDbConn,[UCMHub].[GetUCMHubPinnedToolsByUserId],All,55.0,124.99,0.0,18.04,63.9,124.99,18.04
2018-02-20,UcmDbConn,[UCMHub].[GetUCMHubPinnedToolsByUserId],All,171.0,829.15,15.63,46.89,140.63,673.37,46.89
2018-02-21,UcmDbConn,[UCMHub].[GetUCMHubPinnedToolsByUserId],All,213.0,437.24,12.83,47.24,78.1,156.22,47.24
2018-02-22,UcmDbConn,[UCMHub].[GetUCMHubPinnedToolsByUserId],All,165.0,168.37,15.62,62.47,78.12,125.01,62.47
2018-02-23,UcmDbConn,[UCMHub].[GetUCMHubPinnedToolsByUserId],All,160.0,94.57,0.0,46.88,62.5,94.13,46.88
2018-02-26,UcmDbConn,[UCMHub].[GetUCMHubPinnedToolsByUserId],All,227.0,140.61,15.66,62.49,78.16,125.0,62.49
2018-02-27,UcmDbConn,[UCMHub].[GetUCMHubPinnedToolsByUserId],All,253.0,174.45,15.59,46.92,78.13,109.38,46.92
2018-02-28,UcmDbConn,[UCMHub].[GetUCMHubPinnedToolsByUserId],All,292.0,171.77,15.62,62.46,93.76,125.01,62.46
2018-03-01,UcmDbConn,[UCMHub].[GetUCMHubPinnedToolsByUserId],All,220.0,109.38,10.97,31.23,62.86,93.74,31.23
2018-03-02,UcmDbConn,[UCMHub].[GetUCMHubPinnedToolsByUserId],All,188.0,125.0,13.73,61.65,63.28,124.96,61.65
2018-03-05,UcmDbConn,[UCMHub].[GetUCMHubPinnedToolsByUserId],All,147.0,125.01,15.58,46.87,64.58,125.0,46.87
2018-03-06,UcmDbConn,[UCMHub].[GetUCMHubPinnedToolsByUserId],All,193.0,109.37,19.38,62.5,78.13,109.37,62.5
