startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[UserPreferences].[GetExposureKeyPilotUserMapLastModifiedDateTime],All,68.0,312.49,78.13,93.75,171.87,312.49,93.75
2018-02-05,UcmDbConn,[UserPreferences].[GetExposureKeyPilotUserMapLastModifiedDateTime],All,45.0,187.5,78.14,93.75,109.37,187.5,93.75
2018-02-06,UcmDbConn,[UserPreferences].[GetExposureKeyPilotUserMapLastModifiedDateTime],All,29.0,125.04,78.13,93.29,124.98,125.04,93.29
2018-02-07,UcmDbConn,[UserPreferences].[GetExposureKeyPilotUserMapLastModifiedDateTime],All,61.0,280.91,78.13,93.61,123.43,280.91,93.61
2018-02-08,UcmDbConn,[UserPreferences].[GetExposureKeyPilotUserMapLastModifiedDateTime],All,26.0,328.18,78.13,109.4,140.65,328.18,109.4
2018-02-09,UcmDbConn,[UserPreferences].[GetExposureKeyPilotUserMapLastModifiedDateTime],All,15.0,250.01,78.63,140.63,250.01,250.01,140.63
2018-02-12,UcmDbConn,[UserPreferences].[GetExposureKeyPilotUserMapLastModifiedDateTime],All,6.0,125.03,93.75,109.39,125.03,125.03,109.39
2018-02-13,UcmDbConn,[UserPreferences].[GetExposureKeyPilotUserMapLastModifiedDateTime],All,34.0,218.78,92.55,93.77,203.13,218.78,93.77
2018-02-14,UcmDbConn,[UserPreferences].[GetExposureKeyPilotUserMapLastModifiedDateTime],All,28.0,187.5,78.14,94.87,140.62,187.5,94.87
2018-02-15,UcmDbConn,[UserPreferences].[GetExposureKeyPilotUserMapLastModifiedDateTime],All,40.0,296.88,93.33,93.96,125.01,296.88,93.96
2018-02-16,UcmDbConn,[UserPreferences].[GetExposureKeyPilotUserMapLastModifiedDateTime],All,60.0,125.01,78.14,93.75,116.69,125.01,93.75
2018-02-19,UcmDbConn,[UserPreferences].[GetExposureKeyPilotUserMapLastModifiedDateTime],All,5.0,125.0,78.12,78.13,125.0,125.0,78.13
2018-02-20,UcmDbConn,[UserPreferences].[GetExposureKeyPilotUserMapLastModifiedDateTime],All,29.0,640.69,93.73,105.78,281.57,640.69,105.78
2018-02-21,UcmDbConn,[UserPreferences].[GetExposureKeyPilotUserMapLastModifiedDateTime],All,30.0,156.24,93.69,94.66,125.0,156.24,94.66
2018-02-22,UcmDbConn,[UserPreferences].[GetExposureKeyPilotUserMapLastModifiedDateTime],All,67.0,125.05,78.14,93.75,109.4,125.05,93.75
2018-02-23,UcmDbConn,[UserPreferences].[GetExposureKeyPilotUserMapLastModifiedDateTime],All,30.0,187.51,78.16,105.72,125.01,187.51,105.72
2018-02-26,UcmDbConn,[UserPreferences].[GetExposureKeyPilotUserMapLastModifiedDateTime],All,93.0,234.39,78.17,93.75,125.04,234.39,93.75
2018-02-27,UcmDbConn,[UserPreferences].[GetExposureKeyPilotUserMapLastModifiedDateTime],All,22.0,578.12,93.73,109.41,250.01,578.12,109.41
