startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[ViewAs].[GetViewAsDetails],All,3730.0,19270.62,31.22,62.5,93.75,609.36,62.5
2018-02-05,UcmDbConn,[ViewAs].[GetViewAsDetails],All,4954.0,1796.93,20.0,62.5,78.55,330.67,62.5
2018-02-06,UcmDbConn,[ViewAs].[GetViewAsDetails],All,4892.0,19287.05,31.25,62.5,93.75,284.73,62.5
2018-02-07,UcmDbConn,[ViewAs].[GetViewAsDetails],All,4639.0,1218.76,31.62,62.5,93.75,234.35,62.5
2018-02-08,UcmDbConn,[ViewAs].[GetViewAsDetails],All,4475.0,18755.75,31.25,62.5,93.75,171.89,62.5
2018-02-09,UcmDbConn,[ViewAs].[GetViewAsDetails],All,3563.0,16480.7,31.76,62.5,92.73,234.39,62.5
2018-02-12,UcmDbConn,[ViewAs].[GetViewAsDetails],All,4244.0,12407.46,31.22,62.5,79.25,156.25,62.5
2018-02-13,UcmDbConn,[ViewAs].[GetViewAsDetails],All,2868.0,1915.02,61.74,62.51,93.75,153.39,62.51
2018-02-14,UcmDbConn,[ViewAs].[GetViewAsDetails],All,4100.0,19149.68,29.86,62.5,78.87,171.87,62.5
2018-02-15,UcmDbConn,[ViewAs].[GetViewAsDetails],All,4019.0,19245.42,30.66,62.5,78.29,156.27,62.5
2018-02-16,UcmDbConn,[ViewAs].[GetViewAsDetails],All,3402.0,1187.23,29.59,62.5,78.19,147.45,62.5
2018-02-19,UcmDbConn,[ViewAs].[GetViewAsDetails],All,2554.0,1874.97,17.3,61.52,78.17,218.74,61.52
2018-02-20,UcmDbConn,[ViewAs].[GetViewAsDetails],All,4633.0,1531.94,31.31,62.5,125.11,375.01,62.5
2018-02-21,UcmDbConn,[ViewAs].[GetViewAsDetails],All,4507.0,1704.47,31.68,62.5,93.75,218.7,62.5
2018-02-22,UcmDbConn,[ViewAs].[GetViewAsDetails],All,4462.0,5265.59,31.76,62.5,93.63,171.01,62.5
2018-02-23,UcmDbConn,[ViewAs].[GetViewAsDetails],All,3947.0,19276.42,19.51,62.5,93.74,333.14,62.5
2018-02-26,UcmDbConn,[ViewAs].[GetViewAsDetails],All,5073.0,2339.63,31.2,62.5,93.74,185.34,62.5
