startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,55.0,250.0,15.64,31.27,62.53,250.0,31.27
2018-02-05,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,94.0,95.33,18.62,62.5,78.12,95.33,62.5
2018-02-06,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,103.0,234.37,18.65,62.5,92.96,109.41,62.5
2018-02-07,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,67.0,125.01,46.84,62.5,80.03,125.01,62.5
2018-02-08,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,47.0,93.74,15.62,30.05,78.11,93.74,30.05
2018-02-09,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,79.0,250.0,62.19,62.5,78.12,250.0,62.5
2018-02-12,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,53.0,78.14,19.57,62.5,78.11,78.14,62.5
2018-02-13,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,39.0,250.0,61.01,62.5,109.38,250.0,62.5
2018-02-14,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,52.0,109.38,15.6,62.49,78.12,109.38,62.49
2018-02-15,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,36.0,281.25,15.59,19.34,78.13,281.25,19.34
2018-02-16,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,28.0,78.11,62.41,62.51,62.9,78.11,62.51
2018-02-19,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,29.0,109.05,15.57,17.1,62.49,109.05,17.1
2018-02-20,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,41.0,109.36,15.67,19.95,62.5,109.36,19.95
2018-02-21,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,41.0,93.75,10.77,19.81,78.12,93.75,19.81
2018-02-22,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,68.0,156.24,15.64,46.87,78.18,156.24,46.87
2018-02-23,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,49.0,78.21,15.61,62.26,62.64,78.21,62.26
2018-02-26,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,35.0,125.04,59.5,62.5,78.14,125.04,62.5
2018-02-27,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,73.0,106.79,17.84,62.5,78.58,106.79,62.5
2018-02-28,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,41.0,78.13,16.8,62.5,78.08,78.13,62.5
2018-03-01,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,32.0,78.12,15.63,61.81,70.52,78.12,61.81
2018-03-02,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,37.0,78.14,15.62,62.5,78.13,78.14,62.5
2018-03-05,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,68.0,598.42,62.49,62.5,78.13,598.42,62.5
2018-03-06,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,46.0,93.75,62.5,62.51,78.13,93.75,62.51
2018-03-07,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,23.0,70.96,15.6,31.22,62.5,70.96,31.22
2018-03-08,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,27.0,140.63,16.59,61.88,78.11,140.63,61.88
2018-03-09,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,10.0,64.22,0.0,28.75,64.22,64.22,28.75
2018-03-12,UcmDbConn,[ViewAs].[SaveViewAsDetails],All,42.0,78.13,18.8,62.5,70.36,78.13,62.5
