startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmStagingConn,All,All,2974.0,40729.58,29.29,619.9,2204.08,3234.26,619.9
2018-02-05,UcmStagingConn,All,All,3151.0,40686.97,31.26,627.38,2246.06,3404.82,627.38
2018-02-06,UcmStagingConn,All,All,3440.0,91768.73,42.46,636.14,2296.7,3305.9,636.14
2018-02-07,UcmStagingConn,All,All,3346.0,40632.14,62.49,739.4,2267.6,3515.57,739.4
2018-02-08,UcmStagingConn,All,All,3013.0,52114.39,27.86,618.03,2216.73,3062.25,618.03
2018-02-09,UcmStagingConn,All,All,3134.0,12054.8,31.27,624.89,2187.45,3171.86,624.89
2018-02-12,UcmStagingConn,All,All,3045.0,40663.41,46.22,592.47,1961.67,2578.19,592.47
2018-02-13,UcmStagingConn,All,All,2463.0,40636.94,65.16,710.08,2203.03,3531.04,710.08
2018-02-14,UcmStagingConn,All,All,3409.0,40618.22,62.51,658.91,2250.6,7392.04,658.91
2018-02-15,UcmStagingConn,All,All,2431.0,40015.91,46.89,669.86,2218.7,3123.65,669.86
2018-02-16,UcmStagingConn,All,All,2643.0,40575.06,31.15,608.99,2097.4,2890.67,608.99
2018-02-19,UcmStagingConn,All,All,2287.0,40643.6,15.6,60.33,716.41,2342.92,60.33
2018-02-20,UcmStagingConn,All,All,3057.0,10928.13,29.87,469.38,1765.62,2515.52,469.38
2018-02-21,UcmStagingConn,All,All,3482.0,40741.34,46.93,609.59,2163.85,3986.72,609.59
2018-02-22,UcmStagingConn,All,All,4676.0,40669.95,62.5,640.59,2202.83,3603.42,640.59
2018-02-23,UcmStagingConn,All,All,3344.0,9255.45,31.24,223.02,1806.32,3486.62,223.02
2018-02-26,UcmStagingConn,All,All,3888.0,21290.37,62.5,641.48,2179.15,2812.46,641.48
2018-02-27,UcmStagingConn,All,All,4006.0,40644.31,62.5,624.54,2097.09,3343.7,624.54
2018-02-28,UcmStagingConn,All,All,3176.0,64997.04,46.88,624.91,2243.64,3793.93,624.91
2018-03-01,UcmStagingConn,All,All,3815.0,40168.26,62.5,672.12,2099.87,3015.59,672.12
2018-03-02,UcmStagingConn,All,All,2987.0,40012.62,33.49,609.17,2041.04,2781.39,609.17
2018-03-05,UcmStagingConn,All,All,3240.0,40927.16,31.37,595.95,1972.74,3343.69,595.95
2018-03-06,UcmStagingConn,All,All,4105.0,18621.52,62.49,624.39,1979.16,2656.21,624.39
2018-03-07,UcmStagingConn,All,All,3468.0,40093.14,32.02,625.17,2201.27,3109.33,625.17
2018-03-08,UcmStagingConn,All,All,3598.0,40621.16,47.63,602.3,1986.46,2468.32,602.3
2018-03-09,UcmStagingConn,All,All,3099.0,40668.68,47.51,624.95,2245.52,5609.41,624.95
2018-03-12,UcmStagingConn,All,All,3769.0,40622.85,62.5,653.45,2086.69,3093.71,653.45
2018-03-13,UcmStagingConn,All,All,3733.0,109009.6,62.25,625.09,2218.67,4765.55,625.09
2018-03-14,UcmStagingConn,All,All,4251.0,43280.45,78.85,710.79,2264.17,3581.75,710.79
2018-03-15,UcmStagingConn,All,All,3698.0,40102.96,62.44,640.44,2226.02,3703.76,640.44
2018-03-16,UcmStagingConn,All,All,7244.0,40075.8,27.07,108.39,1734.36,2670.98,108.39
2018-03-19,UcmStagingConn,All,All,6137.0,16080.37,16.49,93.9,1341.04,2187.45,93.9
2018-03-20,UcmStagingConn,All,All,6555.0,40013.8,17.64,93.3,1656.1,2452.56,93.3
2018-03-21,UcmStagingConn,All,All,6112.0,21683.71,24.34,78.16,1246.1,2281.26,78.16
2018-03-22,UcmStagingConn,All,All,6876.0,40634.48,46.52,336.62,1731.94,2374.99,336.62
2018-03-23,UcmStagingConn,All,All,6353.0,40700.72,31.3,93.91,1387.28,2329.92,93.91
2018-03-26,UcmStagingConn,All,All,7513.0,40676.68,45.96,78.14,1331.89,2314.07,78.14
2018-03-27,UcmStagingConn,All,All,7886.0,40116.85,34.51,78.52,1459.82,2500.49,78.52
2018-03-28,UcmStagingConn,All,All,7301.0,40062.34,46.87,77.68,1287.49,2281.92,77.68
2018-03-29,UcmStagingConn,All,All,6937.0,40026.52,18.16,62.52,870.97,2017.19,62.52
2018-03-30,UcmStagingConn,All,All,5782.0,40208.86,46.9,110.0,1718.23,3074.18,110.0
2018-04-02,UcmStagingConn,All,All,6170.0,40097.0,62.46,124.66,1597.34,2297.41,124.66
2018-04-03,UcmStagingConn,All,All,8043.0,49592.08,31.35,77.44,1285.1,2242.11,77.44
2018-04-04,UcmStagingConn,All,All,8531.0,40086.75,46.88,79.75,1241.08,2193.77,79.75
2018-04-05,UcmStagingConn,All,All,7941.0,40754.71,18.19,62.57,1077.38,1898.34,62.57
2018-04-06,UcmStagingConn,All,All,7250.0,19094.21,32.5,131.78,1576.27,2578.1,131.78
2018-04-09,UcmStagingConn,All,All,7577.0,40074.7,18.35,63.11,1203.12,2039.04,63.11
2018-04-10,UcmStagingConn,All,All,7941.0,40013.08,19.09,78.06,1461.74,2356.85,78.06
2018-04-11,UcmStagingConn,All,All,8034.0,40071.76,15.63,62.51,903.79,1920.2,62.51
2018-04-12,UcmStagingConn,All,All,7524.0,18765.8,18.7,66.4,1215.91,1931.02,66.4
2018-04-13,UcmStagingConn,All,All,6663.0,40009.7,15.64,62.91,1249.99,2109.33,62.91
2018-04-16,UcmStagingConn,All,All,7257.0,40625.11,15.8,62.51,1069.19,2015.59,62.51
2018-04-17,UcmStagingConn,All,All,8106.0,21063.57,31.27,78.1,1222.79,2062.47,78.1
