startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmStagingConn,[Internal_Book].[GetBobChangeRequestSubmissionStatus],All,66.0,1328.1,1144.84,1203.13,1265.6,1328.1,1203.13
2018-02-05,UcmStagingConn,[Internal_Book].[GetBobChangeRequestSubmissionStatus],All,83.0,1375.0,1125.04,1187.16,1234.39,1375.0,1187.16
2018-02-06,UcmStagingConn,[Internal_Book].[GetBobChangeRequestSubmissionStatus],All,101.0,2078.73,1156.22,1203.08,1296.89,1609.35,1203.08
2018-02-07,UcmStagingConn,[Internal_Book].[GetBobChangeRequestSubmissionStatus],All,120.0,1609.39,1124.96,1156.25,1218.7,1281.24,1156.25
2018-02-08,UcmStagingConn,[Internal_Book].[GetBobChangeRequestSubmissionStatus],All,81.0,1562.31,1140.63,1218.73,1481.87,1562.31,1218.73
2018-02-09,UcmStagingConn,[Internal_Book].[GetBobChangeRequestSubmissionStatus],All,99.0,1703.17,1062.51,1156.42,1218.85,1703.17,1156.42
2018-02-12,UcmStagingConn,[Internal_Book].[GetBobChangeRequestSubmissionStatus],All,77.0,1265.74,1124.99,1156.41,1203.14,1265.74,1156.41
2018-02-13,UcmStagingConn,[Internal_Book].[GetBobChangeRequestSubmissionStatus],All,78.0,1469.38,734.38,1159.31,1269.55,1469.38,1159.31
2018-02-14,UcmStagingConn,[Internal_Book].[GetBobChangeRequestSubmissionStatus],All,109.0,1265.56,656.05,1156.25,1218.72,1234.42,1156.25
2018-02-15,UcmStagingConn,[Internal_Book].[GetBobChangeRequestSubmissionStatus],All,69.0,3190.97,1131.34,1187.45,1312.52,3190.97,1187.45
2018-02-16,UcmStagingConn,[Internal_Book].[GetBobChangeRequestSubmissionStatus],All,86.0,1999.81,1124.97,1156.36,1204.41,1999.81,1156.36
2018-02-19,UcmStagingConn,[Internal_Book].[GetBobChangeRequestSubmissionStatus],All,18.0,1234.39,1156.27,1203.18,1234.39,1234.39,1203.18
2018-02-20,UcmStagingConn,[Internal_Book].[GetBobChangeRequestSubmissionStatus],All,56.0,1250.73,656.23,1156.22,1234.47,1250.73,1156.22
2018-02-21,UcmStagingConn,[Internal_Book].[GetBobChangeRequestSubmissionStatus],All,100.0,1671.88,656.26,1156.23,1187.52,1346.62,1156.23
2018-02-22,UcmStagingConn,[Internal_Book].[GetBobChangeRequestSubmissionStatus],All,151.0,1296.9,656.24,1156.47,1218.75,1281.25,1156.47
2018-02-23,UcmStagingConn,[Internal_Book].[GetBobChangeRequestSubmissionStatus],All,76.0,4203.36,593.75,1140.3,1249.95,4203.36,1140.3
2018-02-26,UcmStagingConn,[Internal_Book].[GetBobChangeRequestSubmissionStatus],All,145.0,1406.23,656.27,1171.87,1265.3,1389.7,1171.87
2018-02-27,UcmStagingConn,[Internal_Book].[GetBobChangeRequestSubmissionStatus],All,113.0,2765.42,640.66,1140.61,1250.0,1436.3,1140.61
