startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,5.0,749.92,609.4,640.6,749.92,749.92,640.6
2018-02-05,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,3.0,749.86,93.75,749.86,749.86,749.86,749.86
2018-02-06,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,3.0,640.63,624.97,640.63,640.63,640.63,640.63
2018-02-07,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,7.0,2573.36,639.68,703.15,2573.36,2573.36,703.15
2018-02-08,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,3.0,625.0,609.14,625.0,625.0,625.0,625.0
2018-02-09,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,13.0,640.66,593.73,609.41,640.66,640.66,609.41
2018-02-12,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,1.0,62.52,62.52,62.52,62.52,62.52,62.52
2018-02-13,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,10.0,703.11,78.12,656.23,703.11,703.11,656.23
2018-02-14,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,31.0,1158.93,599.09,624.98,664.0,1158.93,624.98
2018-02-15,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,6.0,718.79,93.73,641.02,718.79,718.79,641.02
2018-02-16,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,9.0,843.76,593.33,624.96,843.76,843.76,624.96
2018-02-19,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,1.0,62.49,62.49,62.49,62.49,62.49,62.49
2018-02-20,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,9.0,624.97,62.51,109.39,624.97,624.97,109.39
2018-02-21,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,9.0,718.09,62.88,640.47,718.09,718.09,640.47
2018-02-22,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,25.0,640.63,63.44,609.36,640.62,640.63,609.36
2018-02-23,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,8.0,687.5,623.38,625.0,687.5,687.5,625.0
2018-02-26,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,10.0,640.63,62.48,62.5,640.63,640.63,62.5
2018-02-27,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,12.0,7694.71,62.61,625.0,7694.71,7694.71,625.0
2018-02-28,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,4.0,687.96,78.19,593.74,687.96,687.96,593.74
2018-03-01,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,3.0,640.66,62.5,640.66,640.66,640.66,640.66
2018-03-02,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,8.0,807.06,62.5,593.46,807.06,807.06,593.46
2018-03-05,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,2.0,703.13,140.62,703.13,703.13,703.13,703.13
2018-03-06,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,12.0,640.61,62.5,78.13,640.61,640.61,78.13
2018-03-07,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,9.0,625.03,78.12,593.75,625.03,625.03,593.75
2018-03-08,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,7.0,687.51,62.75,625.0,687.51,687.51,625.0
2018-03-09,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,8.0,640.61,62.51,62.51,640.61,640.61,62.51
2018-03-12,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,7.0,656.25,62.51,640.49,656.25,656.25,640.49
2018-03-13,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,12.0,656.24,93.72,593.75,656.24,656.24,593.75
2018-03-14,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,13.0,812.08,93.75,624.98,812.08,812.08,624.98
2018-03-15,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,15.0,890.6,593.73,640.62,890.6,890.6,640.62
2018-03-16,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,28.0,656.25,62.51,626.75,656.22,656.25,626.75
2018-03-19,UcmStagingConn,[Internal_Book].[GetBobSubmissionsTileData],All,4.0,93.76,62.5,62.52,93.76,93.76,62.52
