startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,66.0,2499.99,1765.75,1937.42,2406.4,2499.99,1937.42
2018-02-05,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,83.0,2484.35,1281.22,1848.55,2390.13,2484.35,1848.55
2018-02-06,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,101.0,4059.06,1312.46,1829.19,2187.47,2924.15,1829.19
2018-02-07,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,120.0,7406.16,1253.05,1781.24,2387.51,6800.53,1781.24
2018-02-08,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,81.0,13627.2,1375.0,1796.97,2390.46,13627.2,1796.97
2018-02-09,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,99.0,9436.84,1296.84,1781.28,2983.97,9436.84,1781.28
2018-02-12,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,77.0,2359.38,1265.66,1765.4,1859.3,2359.38,1765.4
2018-02-13,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,78.0,2392.65,1265.86,1749.79,2297.7,2392.65,1749.79
2018-02-14,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,109.0,8876.04,1249.9,1812.49,5203.51,8677.82,1812.49
2018-02-15,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,69.0,17866.41,1771.92,1921.79,2535.14,17866.41,1921.79
2018-02-16,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,86.0,5827.82,1265.73,1828.16,2406.09,5827.82,1828.16
2018-02-19,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,18.0,2336.68,1385.18,1891.66,2336.68,2336.68,1891.66
2018-02-20,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,56.0,2485.6,1281.39,1796.82,2438.05,2485.6,1796.82
2018-02-21,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,100.0,10563.28,1281.26,1828.09,5980.74,10270.6,1828.09
2018-02-22,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,151.0,2596.28,1265.63,1781.22,2343.7,2453.15,1781.22
2018-02-23,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,76.0,5859.38,796.88,1749.91,2311.93,5859.38,1749.91
2018-02-26,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,145.0,2579.7,1265.61,1781.04,2376.41,2499.98,1781.04
2018-02-27,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,113.0,12061.99,1265.62,1828.06,2499.41,4032.37,1828.06
2018-02-28,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,78.0,6428.31,1359.34,1874.98,2465.82,6428.31,1874.98
2018-03-01,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,138.0,2546.97,1234.22,1718.73,2171.86,2421.68,1718.73
2018-03-02,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,76.0,9241.31,1297.31,1843.73,7221.7,9241.31,1843.73
2018-03-05,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,80.0,4640.52,1265.61,1813.02,2328.06,4640.52,1813.02
2018-03-06,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,114.0,8813.61,1265.61,1812.66,2390.71,2925.51,1812.66
2018-03-07,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,82.0,4749.92,1312.49,1828.07,2406.37,4749.92,1828.07
2018-03-08,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,87.0,2484.84,1281.26,1796.87,2296.41,2484.84,1796.87
2018-03-09,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,68.0,11433.71,1281.28,1831.31,6999.98,11433.71,1831.31
2018-03-12,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,127.0,3571.21,1218.74,1781.21,2376.02,2749.98,1781.21
2018-03-13,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,108.0,30536.52,1264.54,1762.41,2328.13,5936.33,1762.41
2018-03-14,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,160.0,9749.95,1249.98,1786.11,2347.82,4140.56,1786.11
2018-03-15,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,100.0,2656.06,1296.84,1812.48,2359.3,2468.72,1812.48
2018-03-16,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,122.0,10145.78,1249.98,1453.09,1968.74,4109.32,1453.09
2018-03-19,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,120.0,4453.16,780.86,1296.86,1890.55,2406.73,1296.86
2018-03-20,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,129.0,4859.28,734.4,1333.1,1890.61,2437.46,1333.1
2018-03-21,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,78.0,3384.69,1030.58,1328.24,2218.63,3384.69,1328.24
2018-03-22,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,159.0,2406.28,1187.48,1312.5,1828.14,1984.41,1312.5
2018-03-23,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,106.0,2349.52,1226.29,1358.86,1890.59,2062.48,1358.86
2018-03-26,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,152.0,7596.11,750.0,1281.22,1812.46,2333.84,1281.22
2018-03-27,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,145.0,9924.27,828.11,1358.77,2142.84,7859.23,1358.77
2018-03-28,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,106.0,4875.72,970.59,1312.49,1921.8,2484.33,1312.49
2018-03-29,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,78.0,2156.23,812.47,1281.23,1890.48,2156.23,1281.23
2018-03-30,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,116.0,1906.22,796.87,1296.85,1813.47,1896.68,1296.85
2018-04-02,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,116.0,1890.64,1234.25,1302.12,1812.53,1875.64,1302.12
2018-04-03,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,119.0,2562.46,796.89,1281.24,1812.48,1937.43,1281.24
2018-04-04,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,148.0,2953.09,734.32,1226.96,1765.61,1906.23,1226.96
2018-04-05,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,91.0,2296.84,749.99,1265.59,1828.11,2296.84,1265.59
2018-04-06,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,120.0,19094.21,718.75,1264.95,1921.86,3015.62,1264.95
2018-04-09,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,111.0,2328.02,1218.72,1296.85,1796.85,1828.12,1296.85
2018-04-10,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,135.0,7918.36,1187.45,1374.95,1969.22,6292.05,1374.95
2018-04-11,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,112.0,7689.36,765.62,1255.37,1796.79,2656.09,1255.37
2018-04-12,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,114.0,2328.15,749.99,1249.59,1828.14,1906.22,1249.59
2018-04-13,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,97.0,2109.34,765.15,1265.61,1796.84,2109.34,1265.61
2018-04-16,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,82.0,2265.45,749.98,1265.6,1703.09,2265.45,1265.6
2018-04-17,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,136.0,3000.05,749.99,1171.84,1796.89,2296.81,1171.84
2018-04-18,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,238.0,11032.87,734.37,859.37,1343.76,3122.92,859.37
2018-04-19,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,195.0,2891.73,749.98,999.9,1765.59,2328.06,999.9
2018-04-20,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,225.0,1843.69,734.37,843.75,1328.14,1484.36,843.75
2018-04-23,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,119.0,2907.9,765.62,1249.98,1781.18,2328.01,1249.98
2018-04-24,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,183.0,2343.72,749.99,890.63,1363.46,1859.35,890.63
2018-04-25,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,108.0,1999.91,718.74,1203.12,1687.47,1812.49,1203.12
2018-04-26,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,178.0,2220.4,671.88,718.78,1265.57,1812.55,718.78
2018-04-27,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,83.0,1859.98,671.9,1171.84,1343.72,1859.98,1171.84
2018-04-30,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,174.0,1968.71,312.5,719.77,1359.36,1750.0,719.77
2018-05-01,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,80.0,1706.96,670.7,734.11,1265.58,1706.96,734.11
2018-05-02,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,118.0,1781.32,671.91,1171.87,1703.08,1781.2,1171.87
2018-05-03,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,114.0,2312.45,234.38,702.93,1265.62,1828.13,702.93
2018-05-04,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,101.0,2249.96,687.56,1203.11,1312.45,1718.61,1203.11
2018-05-07,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,66.0,1905.87,671.87,1156.28,1297.67,1905.87,1156.28
2018-05-08,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,102.0,2015.58,671.9,1203.11,1687.53,1890.43,1203.11
2018-05-09,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,92.0,6018.31,656.12,765.61,1453.09,6018.31,765.61
2018-05-10,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,114.0,4546.67,671.73,1188.87,2274.71,2919.95,1188.87
2018-05-11,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,106.0,2234.36,656.23,1140.62,1328.11,1859.34,1140.62
2018-05-14,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,117.0,1734.44,640.64,781.28,1328.18,1729.5,781.28
2018-05-15,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,130.0,6655.13,667.75,859.38,1765.16,3297.02,859.38
2018-05-16,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,113.0,2468.72,666.95,1151.53,1406.28,1718.83,1151.53
2018-05-17,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,117.0,2234.42,671.79,1167.92,1266.29,1796.95,1167.92
2018-05-18,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,90.0,2296.92,655.17,1172.13,1237.27,2296.92,1172.13
2018-05-21,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,134.0,2234.36,640.7,718.82,1700.84,2169.42,718.82
2018-05-22,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,112.0,3312.55,684.8,1154.09,1710.44,2326.75,1154.09
2018-05-23,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,134.0,2015.68,671.55,1140.35,1265.68,1672.99,1140.35
2018-05-24,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,105.0,1812.56,673.3,1171.93,1677.51,1694.94,1171.93
2018-05-25,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,74.0,1671.33,671.49,1139.18,1562.51,1671.33,1139.18
2018-05-28,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,41.0,1281.28,703.13,1201.57,1260.13,1281.28,1201.57
2018-05-29,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,101.0,1781.4,655.51,809.35,1233.47,1746.7,809.35
2018-05-30,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,101.0,5371.3,655.97,734.4,1718.76,5328.15,734.4
2018-05-31,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,113.0,1868.58,672.39,1097.0,1529.24,1749.97,1097.0
2018-06-01,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,91.0,1734.43,671.92,841.53,1218.79,1734.43,841.53
2018-06-04,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,108.0,1785.44,689.72,1171.87,1296.93,1673.25,1171.87
2018-06-05,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,145.0,1834.93,685.12,807.91,1249.99,1749.97,807.91
2018-06-06,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,148.0,2234.43,669.04,937.49,1265.61,1892.17,937.49
2018-06-07,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,162.0,2107.3,671.87,937.56,1265.66,1731.89,937.56
2018-06-08,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,147.0,2234.35,656.28,734.37,1281.31,1796.85,734.37
2018-06-11,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,123.0,2406.29,656.28,794.95,1312.51,1746.6,794.95
2018-06-12,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,131.0,1739.33,657.13,873.34,1249.99,1718.79,873.34
2018-06-13,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,116.0,1871.14,682.19,937.12,1359.37,1746.13,937.12
2018-06-14,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,121.0,2046.88,686.99,1015.65,1453.02,1717.36,1015.65
2018-06-15,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,92.0,1796.84,703.61,1125.01,1487.18,1796.84,1125.01
2018-06-18,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,112.0,1317.32,656.06,749.66,1234.37,1279.89,749.66
2018-06-19,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,123.0,1703.2,703.17,1203.12,1267.07,1588.71,1203.12
2018-06-20,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,147.0,1655.71,703.16,1183.93,1359.35,1640.34,1183.93
2018-06-21,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,120.0,2281.29,671.93,1185.75,1734.34,2250.05,1185.75
2018-06-22,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,146.0,2625.05,687.51,1156.3,1683.58,2369.66,1156.3
2018-06-25,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,160.0,1718.76,671.88,890.63,1266.58,1639.75,890.63
2018-06-26,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,131.0,2354.24,687.55,1171.9,1293.35,1953.13,1171.9
2018-06-27,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,154.0,1671.89,685.94,1127.15,1259.81,1499.96,1127.15
2018-06-28,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,106.0,4764.09,687.51,1191.73,1718.76,1968.73,1191.73
2018-06-29,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,113.0,9763.34,687.52,1171.89,1765.66,2281.34,1171.89
2018-07-02,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,114.0,2296.99,703.12,1187.56,1484.43,2093.75,1187.56
2018-07-03,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,125.0,1859.42,685.93,1110.39,1625.01,1830.62,1110.39
2018-07-04,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,78.0,2250.03,652.44,1187.5,1718.79,2250.03,1187.5
2018-07-05,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,166.0,13296.95,703.13,1203.14,6148.28,9921.39,1203.14
2018-07-06,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,239.0,11265.21,841.19,1820.73,9703.32,11158.07,1820.73
2018-07-09,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,127.0,11393.05,734.43,1196.39,1421.9,9345.01,1196.39
2018-07-10,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,124.0,1765.67,656.29,1124.7,1638.76,1750.04,1124.7
2018-07-11,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,165.0,7182.16,653.71,1171.85,1453.13,1969.44,1171.85
2018-07-12,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,175.0,3184.15,638.35,953.13,1234.42,1718.23,953.13
2018-07-13,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,165.0,3826.8,222.75,601.24,2171.86,3640.67,601.24
2018-07-16,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,152.0,859.38,140.62,156.28,515.62,845.26,156.28
2018-07-17,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,166.0,792.95,140.64,167.62,359.14,483.7,167.62
2018-07-18,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,157.0,750.02,138.16,155.61,281.3,468.81,155.61
2018-07-19,UcmStagingConn,[Internal_Book].[GetBookAssignmentMsAlias],All,24.0,218.72,138.37,141.63,187.52,218.72,141.63
