startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,34.0,4792.42,2906.36,3234.26,4171.96,4792.42,3234.26
2018-02-05,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,40.0,3427.36,2675.64,3125.07,3333.55,3427.36,3125.07
2018-02-06,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,96.0,91768.73,2312.4,3030.93,3377.81,91768.73,3030.93
2018-02-07,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,104.0,4829.73,1875.01,2784.73,3515.57,4171.9,2784.73
2018-02-08,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,69.0,6478.42,2187.15,2874.96,3593.57,6478.42,2874.96
2018-02-09,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,93.0,8698.21,1749.86,2515.98,4031.17,8698.21,2515.98
2018-02-12,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,84.0,3641.25,1875.0,2406.26,3365.86,3641.25,2406.26
2018-02-13,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,47.0,4859.07,1812.49,2999.96,3406.18,4859.07,2999.96
2018-02-14,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,68.0,10250.0,1843.79,3318.47,6977.87,10250.0,3318.47
2018-02-15,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,19.0,6022.08,2659.01,3487.31,6022.08,6022.08,3487.31
2018-02-16,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,10.0,3506.69,3281.29,3359.23,3506.69,3506.69,3359.23
2018-02-19,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,8.0,3624.98,3265.54,3411.8,3624.98,3624.98,3411.8
2018-02-20,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,17.0,10928.13,3249.87,3581.77,10928.13,10928.13,3581.77
2018-02-21,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,52.0,11994.41,2935.08,3359.42,7763.46,11994.41,3359.42
2018-02-22,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,80.0,4302.65,2285.26,3196.45,3671.8,4302.65,3196.45
2018-02-23,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,40.0,4232.63,2244.71,3125.0,3734.36,4232.63,3125.0
2018-02-26,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,74.0,5298.79,2347.85,3003.64,3624.9,5298.79,3003.64
2018-02-27,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,69.0,3567.1,1912.19,2937.45,3359.32,3567.1,2937.45
2018-02-28,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,58.0,64997.04,2656.2,3312.82,4629.47,64997.04,3312.82
2018-03-01,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,83.0,9449.94,1859.34,3062.44,3422.12,9449.94,3062.44
2018-03-02,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,27.0,4165.26,2500.3,3303.05,4117.52,4165.26,3303.05
2018-03-05,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,16.0,5656.25,2124.95,3155.0,5656.25,5656.25,3155.0
2018-03-06,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,12.0,3331.91,2342.4,2687.5,3331.91,3331.91,2687.5
2018-03-07,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,18.0,3413.14,1984.38,3006.23,3413.14,3413.14,3006.23
2018-03-08,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,29.0,2296.37,1781.22,1890.65,2295.92,2296.37,1890.65
2018-03-09,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,18.0,5936.25,2281.21,3218.71,5936.25,5936.25,3218.71
2018-03-12,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,32.0,3671.89,2078.1,3156.9,3578.22,3671.89,3156.9
2018-03-13,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,37.0,5906.15,1732.07,2484.34,4046.78,5906.15,2484.34
2018-03-14,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,56.0,3828.1,1843.55,2242.81,3296.86,3828.1,2242.81
2018-03-15,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,42.0,3468.69,1875.03,2468.72,3236.42,3468.69,2468.72
2018-03-16,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,29.0,3421.79,2499.95,2672.88,3281.5,3421.79,2672.88
2018-03-19,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,10.0,3359.41,1765.64,2765.6,3359.41,3359.41,2765.6
2018-03-20,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,63.0,6008.27,2468.72,3093.69,3331.51,6008.27,3093.69
2018-03-21,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,17.0,2828.09,1821.33,2296.65,2828.09,2828.09,2296.65
2018-03-22,UcmStagingConn,[Internal_Book].[GetBookAssignmentsV2],All,57.0,3235.76,2078.08,2640.58,3156.2,3235.76,2640.58
