startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,55.0,2268.34,1676.05,1796.04,2197.22,2268.34,1796.04
2018-02-05,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,61.0,2312.49,1661.33,1734.36,2203.2,2312.49,1734.36
2018-02-06,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,68.0,3233.34,1671.8,1754.57,2234.38,3233.34,1754.57
2018-02-07,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,76.0,2265.59,1603.58,1703.09,1859.37,2265.59,1703.09
2018-02-08,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,59.0,3003.81,1656.24,1781.24,2284.0,3003.81,1781.24
2018-02-09,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,66.0,2328.09,1640.58,1687.49,1921.87,2328.09,1687.49
2018-02-12,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,48.0,2312.42,1187.24,1703.05,2171.92,2312.42,1703.05
2018-02-13,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,52.0,2343.64,1640.6,1693.29,2124.97,2343.64,1693.29
2018-02-14,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,72.0,2328.48,1218.99,1718.69,2234.57,2328.48,1718.69
2018-02-15,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,56.0,2672.91,1662.61,1750.01,1906.14,2672.91,1750.01
2018-02-16,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,53.0,2249.14,1656.24,1722.86,2145.47,2249.14,1722.86
2018-02-19,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,15.0,1812.48,1671.76,1765.02,1812.48,1812.48,1765.02
2018-02-20,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,47.0,2202.92,1640.54,1687.46,1781.89,2202.92,1687.46
2018-02-21,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,58.0,2281.25,1234.36,1691.31,2155.6,2281.25,1691.31
2018-02-22,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,91.0,2325.01,1203.09,1687.47,1765.72,2325.01,1687.47
2018-02-23,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,51.0,2671.88,1156.24,1671.88,2297.88,2671.88,1671.88
2018-02-26,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,84.0,2248.87,1641.01,1718.73,1875.01,2248.87,1718.73
2018-02-27,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,93.0,2749.95,1212.78,1687.53,1921.87,2749.95,1687.53
2018-02-28,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,60.0,2312.46,1274.11,1734.39,2093.68,2312.46,1734.39
2018-03-01,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,73.0,2343.21,1203.1,1718.73,2219.71,2343.21,1718.73
2018-03-02,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,53.0,2078.1,1171.84,1687.56,1812.57,2078.1,1687.56
2018-03-05,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,57.0,2862.22,1249.98,1734.35,1906.0,2862.22,1734.35
2018-03-06,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,77.0,2281.29,1203.11,1718.73,1984.89,2281.29,1718.73
2018-03-07,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,63.0,4687.42,1640.59,1703.13,1828.1,4687.42,1703.13
2018-03-08,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,60.0,2218.72,1640.58,1687.47,1750.1,2218.72,1687.47
2018-03-09,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,46.0,2203.08,1640.55,1687.49,1796.86,2203.08,1687.49
2018-03-12,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,71.0,2328.1,1203.15,1718.73,2062.47,2328.1,1718.73
2018-03-13,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,63.0,15571.37,1624.98,1734.32,2218.72,15571.37,1734.32
2018-03-14,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,103.0,2171.69,1219.64,1718.52,1843.71,2140.6,1718.52
2018-03-15,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,74.0,3437.45,1219.38,1734.35,1890.46,3437.45,1734.35
2018-03-16,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,82.0,2328.07,1203.11,1703.12,1781.25,2328.07,1703.12
2018-03-19,UcmStagingConn,[Internal_Common].[GetAllSummaryLocations],All,60.0,1859.37,1148.39,1218.77,1786.42,1859.37,1218.77
