startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmStagingConn,[Internal_Common].[GetL4ServiceSegments],All,55.0,2437.44,1734.49,2234.32,2420.11,2437.44,2234.32
2018-02-05,UcmStagingConn,[Internal_Common].[GetL4ServiceSegments],All,61.0,2399.25,1734.36,2203.2,2343.69,2399.25,2203.2
2018-02-06,UcmStagingConn,[Internal_Common].[GetL4ServiceSegments],All,68.0,3764.59,1754.57,2290.61,2374.94,3764.59,2290.61
2018-02-07,UcmStagingConn,[Internal_Common].[GetL4ServiceSegments],All,76.0,3797.81,1749.94,2218.75,2374.96,3797.81,2218.75
2018-02-08,UcmStagingConn,[Internal_Common].[GetL4ServiceSegments],All,59.0,3003.81,2187.39,2250.01,2785.46,3003.81,2250.01
2018-02-09,UcmStagingConn,[Internal_Common].[GetL4ServiceSegments],All,67.0,4015.2,1688.3,2218.7,2330.74,4015.2,2218.7
2018-02-12,UcmStagingConn,[Internal_Common].[GetL4ServiceSegments],All,48.0,2328.2,1703.08,2203.13,2296.85,2328.2,2203.13
2018-02-13,UcmStagingConn,[Internal_Common].[GetL4ServiceSegments],All,53.0,2656.2,1740.28,2217.99,2343.64,2656.2,2217.99
2018-02-14,UcmStagingConn,[Internal_Common].[GetL4ServiceSegments],All,72.0,3859.83,1734.17,2218.6,2437.53,3859.83,2218.6
2018-02-15,UcmStagingConn,[Internal_Common].[GetL4ServiceSegments],All,56.0,15444.92,1863.32,2227.13,2421.79,15444.92,2227.13
2018-02-16,UcmStagingConn,[Internal_Common].[GetL4ServiceSegments],All,53.0,3819.87,1859.52,2218.96,2343.79,3819.87,2218.96
2018-02-19,UcmStagingConn,[Internal_Common].[GetL4ServiceSegments],All,176.0,2359.35,593.74,637.28,812.51,2342.92,637.28
2018-02-20,UcmStagingConn,[Internal_Common].[GetL4ServiceSegments],All,287.0,2422.47,593.72,640.68,1796.73,2328.34,640.68
2018-02-21,UcmStagingConn,[Internal_Common].[GetL4ServiceSegments],All,253.0,2312.52,593.75,656.25,2187.96,2265.57,656.25
2018-02-22,UcmStagingConn,[Internal_Common].[GetL4ServiceSegments],All,382.0,2359.38,304.59,652.29,2203.07,2328.18,652.29
2018-02-23,UcmStagingConn,[Internal_Common].[GetL4ServiceSegments],All,233.0,3827.48,593.41,640.61,2218.64,2313.36,640.61
2018-02-26,UcmStagingConn,[Internal_Common].[GetL4ServiceSegments],All,350.0,2703.06,78.11,640.64,2220.19,2374.95,640.64
