startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,55.0,12311.17,1347.96,1453.11,2453.0,12311.17,1453.11
2018-02-05,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,61.0,2437.38,1358.2,1453.14,1971.64,2437.38,1453.14
2018-02-06,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,68.0,10063.79,1343.73,1421.84,2468.64,10063.79,1421.84
2018-02-07,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,76.0,7515.51,1343.75,1421.76,2187.47,7515.51,1421.76
2018-02-08,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,59.0,3721.01,1328.13,1697.45,2254.22,3721.01,1697.45
2018-02-09,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,66.0,12054.8,1296.92,1406.2,2218.68,12054.8,1406.2
2018-02-12,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,47.0,2531.15,1328.12,1390.61,1954.56,2531.15,1390.61
2018-02-13,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,52.0,2298.65,1328.11,1374.87,1937.42,2298.65,1374.87
2018-02-14,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,73.0,8876.04,1342.98,1421.84,7392.04,8876.04,1421.84
2018-02-15,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,56.0,12501.1,1329.4,1390.58,1921.79,12501.1,1390.58
2018-02-16,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,53.0,5937.15,1328.12,1375.12,1984.42,5937.15,1375.12
2018-02-19,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,15.0,1900.73,1343.79,1421.34,1900.73,1900.73,1421.34
2018-02-20,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,47.0,2453.07,1327.97,1374.97,1874.83,2453.07,1374.97
2018-02-21,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,58.0,10301.85,1312.42,1361.92,4437.42,10301.85,1361.92
2018-02-22,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,91.0,11641.4,1312.46,1390.6,1984.38,11641.4,1390.6
2018-02-23,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,51.0,7906.27,812.52,1343.82,2296.88,7906.27,1343.82
2018-02-26,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,84.0,2546.87,1312.89,1406.24,1937.49,2546.87,1406.24
2018-02-27,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,93.0,4202.51,890.62,1421.88,2359.36,4202.51,1421.88
2018-02-28,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,60.0,6443.93,1343.6,1405.96,3793.93,6443.93,1405.96
2018-03-01,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,73.0,3231.66,1328.11,1390.63,2400.52,3231.66,1390.63
2018-03-02,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,53.0,9541.02,1328.11,1390.05,7206.09,9541.02,1390.05
2018-03-05,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,57.0,4640.43,1312.47,1405.86,2077.85,4640.43,1405.86
2018-03-06,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,77.0,8906.07,1312.49,1405.76,1894.28,8906.07,1405.76
2018-03-07,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,61.0,4312.42,1344.34,1813.2,2486.62,4312.42,1813.2
2018-03-08,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,60.0,2421.87,1328.15,1375.14,1906.21,2421.87,1375.14
2018-03-09,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,48.0,10657.27,1343.74,1523.52,7171.83,10657.27,1523.52
2018-03-12,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,71.0,1984.38,1314.18,1390.6,1906.21,1984.38,1390.6
2018-03-13,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,63.0,15258.87,1296.89,1375.08,1921.91,15258.87,1375.08
2018-03-14,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,102.0,12468.58,1267.19,1406.24,2312.48,9593.7,1406.24
2018-03-15,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,74.0,2515.59,1312.48,1390.6,1953.1,2515.59,1390.6
2018-03-16,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,82.0,2030.21,843.74,1359.37,1468.74,2030.21,1359.37
2018-03-19,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,60.0,4468.78,812.49,1343.74,1843.71,4468.78,1343.74
2018-03-20,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,54.0,4921.77,921.87,1375.34,1968.72,4921.77,1375.34
2018-03-21,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,51.0,1890.65,812.5,1328.14,1624.34,1890.65,1328.14
2018-03-22,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,96.0,2171.85,812.51,1328.12,1486.43,2171.85,1328.12
2018-03-23,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,76.0,2031.22,837.85,1312.48,1467.73,2031.22,1312.48
2018-03-26,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,88.0,6510.6,828.1,1312.47,1859.46,6510.6,1312.47
2018-03-27,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,91.0,7906.1,843.74,1359.35,1921.88,7906.1,1359.35
2018-03-28,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,80.0,4219.44,814.89,1303.72,1765.61,4219.44,1303.72
2018-03-29,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,57.0,1890.59,828.11,1359.27,1843.73,1890.59,1359.27
2018-03-30,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,67.0,12653.99,828.16,1328.12,1843.92,12653.99,1328.12
2018-04-02,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,79.0,1959.32,842.39,1328.17,1437.52,1959.32,1328.17
2018-04-03,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,62.0,2390.59,843.75,1359.28,1441.59,2390.59,1359.28
2018-04-04,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,89.0,1999.97,797.58,890.57,1578.38,1999.97,890.57
2018-04-05,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,64.0,1968.74,812.25,890.62,1750.02,1968.74,890.62
2018-04-06,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,75.0,14527.92,804.42,1328.1,1484.39,14527.92,1328.1
2018-04-09,UcmStagingConn,[Internal_Common].[GetTeamManagerDetails],All,71.0,1734.52,828.11,1312.48,1421.82,1734.52,1312.48
