startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1281.0,1296.84,0.0,15.61,46.89,454.77,15.61
2018-02-05,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1263.0,1333.45,0.0,15.62,62.52,156.46,15.62
2018-02-06,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1242.0,1845.99,0.0,15.62,62.49,125.01,15.62
2018-02-07,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1207.0,906.59,0.0,15.62,65.28,109.39,15.62
2018-02-08,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1335.0,52114.39,0.0,15.61,62.48,124.99,15.61
2018-02-09,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1279.0,1281.25,0.0,15.61,49.34,301.02,15.61
2018-02-12,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1269.0,438.38,0.0,15.62,46.88,95.2,15.62
2018-02-13,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,850.0,473.32,0.0,15.62,46.86,93.77,15.62
2018-02-14,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1261.0,1312.47,0.0,15.62,62.48,640.65,15.62
2018-02-15,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1100.0,1822.34,0.0,15.62,95.38,1272.89,15.62
2018-02-16,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1205.0,1359.27,0.0,15.61,46.86,187.51,15.61
2018-02-19,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1287.0,314.49,0.0,15.61,46.87,93.71,15.61
2018-02-20,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1283.0,2199.95,0.0,15.61,46.87,109.37,15.61
2018-02-21,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1272.0,1538.39,0.0,15.61,46.89,111.65,15.61
2018-02-22,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1358.0,1265.63,0.0,15.61,62.47,140.63,15.61
2018-02-23,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1285.0,531.2,0.0,15.61,46.87,120.94,15.61
2018-02-26,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1140.0,1328.1,0.0,15.61,31.28,109.34,15.61
2018-02-27,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1279.0,1328.11,0.0,15.62,78.11,297.17,15.62
2018-02-28,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1253.0,1777.88,0.0,15.61,62.49,203.15,15.61
2018-03-01,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1346.0,1561.81,0.0,15.61,62.51,375.01,15.61
2018-03-02,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1274.0,1359.43,0.0,15.62,62.49,171.86,15.62
2018-03-05,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1265.0,1591.0,0.0,15.61,31.23,141.99,15.61
2018-03-06,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1262.0,735.2,0.0,15.61,62.47,109.38,15.61
2018-03-07,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1345.0,1511.78,0.0,15.62,62.5,1234.55,15.62
2018-03-08,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1265.0,1686.94,0.0,15.61,46.9,127.1,15.61
2018-03-09,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1290.0,1312.46,0.0,15.62,78.65,718.76,15.62
2018-03-12,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1233.0,1343.69,0.0,15.62,78.13,187.54,15.62
2018-03-13,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1269.0,1828.13,0.0,15.62,94.77,1281.25,15.62
2018-03-14,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1262.0,1377.67,0.0,15.62,80.11,750.06,15.62
2018-03-15,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1271.0,1343.33,0.0,15.61,20.81,109.37,15.61
2018-03-16,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1255.0,1286.72,0.0,15.6,49.34,703.13,15.6
2018-03-19,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1213.0,1359.37,0.0,15.61,77.98,765.62,15.61
2018-03-20,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1257.0,1218.71,0.0,15.61,46.92,139.17,15.61
2018-03-21,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1223.0,1812.46,0.0,15.62,49.17,734.36,15.62
2018-03-22,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1296.0,1390.59,0.0,15.61,46.89,749.99,15.61
2018-03-23,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1221.0,2362.1,0.0,15.61,79.32,749.99,15.61
2018-03-26,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1163.0,1343.69,0.0,15.62,76.57,750.0,15.62
2018-03-27,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1227.0,1437.55,0.0,15.62,78.12,781.24,15.62
2018-03-28,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1135.0,1390.65,0.0,15.61,62.53,781.23,15.61
2018-03-29,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1291.0,1390.59,0.0,15.61,62.47,859.34,15.61
2018-03-30,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1200.0,1347.44,0.0,15.61,60.88,156.23,15.61
2018-04-02,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1231.0,1487.23,0.0,15.62,109.38,1343.69,15.62
2018-04-03,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1294.0,1891.52,13.62,15.63,66.9,812.49,15.63
2018-04-04,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1295.0,1328.17,0.0,15.62,62.52,828.13,15.62
2018-04-05,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1263.0,1343.71,0.0,15.62,31.29,734.23,15.62
2018-04-06,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1242.0,1328.11,0.0,15.61,31.25,109.38,15.61
2018-04-09,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1265.0,1332.12,0.0,15.6,19.96,812.31,15.6
2018-04-10,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1367.0,1468.79,0.0,15.61,31.25,124.99,15.61
2018-04-11,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1419.0,827.81,0.0,15.6,31.26,123.3,15.6
2018-04-12,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1033.0,1392.28,0.0,15.61,78.1,1296.84,15.61
2018-04-13,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1274.0,1374.99,0.0,15.6,27.36,124.72,15.6
2018-04-16,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1259.0,1389.42,0.0,15.6,46.84,799.97,15.6
2018-04-17,UcmStagingConn,[Internal_Publication].[GetProjectionRequestStatus],All,1355.0,1343.75,0.0,15.6,46.89,125.0,15.6
