startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,145.0,40729.58,187.51,764.62,30429.73,40645.34,764.62
2018-02-05,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,137.0,40686.97,109.37,718.8,40007.23,40110.65,718.8
2018-02-06,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,213.0,40055.02,93.75,718.45,827.94,10878.64,718.45
2018-02-07,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,86.0,40632.14,187.5,734.4,874.43,40632.14,734.4
2018-02-08,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,196.0,1093.75,109.39,749.87,998.95,1086.78,749.87
2018-02-09,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,74.0,1625.09,78.12,641.96,796.02,1625.09,641.96
2018-02-12,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,277.0,40663.41,78.11,675.15,812.56,4487.32,675.15
2018-02-13,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,166.0,40636.94,109.38,703.13,1265.61,40596.02,703.13
2018-02-14,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,147.0,40618.22,124.95,749.95,1890.66,40070.0,749.95
2018-02-15,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,111.0,40015.91,171.88,749.99,843.71,999.99,749.99
2018-02-16,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,86.0,40575.06,177.51,765.62,40032.66,40575.06,765.62
2018-02-19,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,37.0,40643.6,46.87,93.76,40055.48,40643.6,93.76
2018-02-20,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,182.0,5953.51,98.69,656.04,796.89,1203.2,656.04
2018-02-21,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,175.0,40673.54,124.98,673.58,812.49,984.35,673.58
2018-02-22,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,260.0,40669.95,31.3,125.01,796.37,1390.52,125.01
2018-02-23,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,129.0,1093.72,78.1,687.55,812.51,1016.4,687.55
2018-02-26,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,198.0,15789.43,109.34,671.86,826.45,8031.18,671.86
2018-02-27,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,171.0,40075.39,78.13,187.54,811.29,40062.73,187.54
2018-02-28,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,95.0,40002.34,78.13,640.0,828.16,40002.34,640.0
2018-03-01,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,57.0,1390.62,113.03,671.87,781.27,1390.62,671.87
2018-03-02,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,63.0,40012.62,93.73,656.28,796.88,40012.62,656.28
2018-03-05,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,213.0,1078.08,78.17,625.0,812.21,874.99,625.0
2018-03-06,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,310.0,921.85,75.89,171.88,768.16,828.72,171.88
2018-03-07,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,139.0,40093.14,125.0,718.75,859.37,1234.37,718.75
2018-03-08,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,284.0,40621.16,124.98,706.78,812.46,40059.4,706.78
2018-03-09,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,174.0,40613.89,109.46,656.24,874.98,40606.85,656.24
2018-03-12,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,201.0,40622.85,93.75,718.74,843.73,40049.43,718.74
2018-03-13,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,128.0,40009.42,139.13,719.57,843.76,5161.17,719.57
2018-03-14,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,128.0,40652.41,63.9,656.27,812.5,40606.76,656.27
2018-03-15,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,81.0,40102.96,62.51,187.5,765.62,40102.96,187.5
2018-03-16,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,119.0,40075.8,78.14,187.34,798.03,40053.01,187.34
2018-03-19,UcmStagingConn,[Internal_StagingKeystone].[GetMarketingEmailClientEngagements],All,108.0,16080.37,72.37,359.34,828.12,1187.48,359.34
