startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,437.0,1593.74,62.48,109.42,718.73,827.97,109.42
2018-02-05,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,422.0,1987.74,48.32,145.42,812.52,1203.19,145.42
2018-02-06,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,476.0,2674.38,31.36,94.08,703.13,1187.48,94.08
2018-02-07,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,419.0,6758.6,62.51,125.03,734.38,953.11,125.03
2018-02-08,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,352.0,9563.91,46.91,124.99,781.21,3860.11,124.99
2018-02-09,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,353.0,9907.09,59.56,156.27,781.29,5953.84,156.27
2018-02-12,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,338.0,11871.2,78.13,194.96,765.71,4190.41,194.96
2018-02-13,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,218.0,8830.81,78.14,343.79,1296.85,3531.04,343.79
2018-02-14,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,297.0,14533.33,62.54,609.34,1640.64,6421.87,609.34
2018-02-15,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,258.0,3140.76,78.15,343.76,796.34,3123.65,343.76
2018-02-16,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,308.0,9380.36,62.52,140.62,734.36,6468.77,140.62
2018-02-19,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,310.0,10621.87,46.87,93.8,703.05,781.23,93.8
2018-02-20,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,394.0,8782.1,46.88,124.99,703.11,1524.94,124.99
2018-02-21,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,423.0,11357.4,62.53,125.06,718.77,5187.36,125.06
2018-02-22,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,493.0,8568.02,62.5,124.83,703.14,3843.75,124.83
2018-02-23,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,422.0,9255.45,62.39,124.98,718.42,1781.26,124.98
2018-02-26,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,447.0,11556.7,78.1,125.03,703.1,1812.87,125.03
2018-02-27,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,422.0,8978.67,62.52,156.24,749.98,2249.15,156.24
2018-02-28,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,352.0,8896.81,75.52,177.91,906.21,5912.43,177.91
2018-03-01,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,340.0,8837.2,78.14,187.51,750.01,1296.91,187.51
2018-03-02,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,282.0,10119.08,78.11,236.89,765.62,2015.61,236.89
2018-03-05,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,354.0,4356.4,62.51,124.99,672.28,1237.53,124.99
2018-03-06,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,525.0,8623.6,62.51,109.47,718.78,1484.36,109.47
2018-03-07,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,388.0,8641.37,46.87,107.66,687.49,968.31,107.66
2018-03-08,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,410.0,9446.71,62.03,109.44,707.24,2812.51,109.44
2018-03-09,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,326.0,10390.65,78.13,375.02,2595.59,8468.87,375.02
2018-03-12,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,409.0,4626.6,63.45,125.0,687.49,1109.35,125.0
2018-03-13,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,449.0,8172.0,46.9,109.38,781.06,4159.62,109.38
2018-03-14,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,364.0,2462.49,78.13,126.13,703.12,1062.53,126.13
2018-03-15,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,335.0,10107.77,70.56,171.91,828.25,5031.35,171.91
2018-03-16,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,348.0,12771.49,31.29,93.75,796.86,6052.92,93.75
2018-03-19,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,407.0,5147.75,31.28,78.17,640.74,1312.49,78.17
2018-03-20,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,489.0,12537.65,33.67,93.84,687.52,875.02,93.84
2018-03-21,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,417.0,10234.45,31.29,93.67,656.23,1093.74,93.67
2018-03-22,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,402.0,16118.81,31.27,77.93,639.9,890.62,77.93
2018-03-23,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,405.0,1781.28,31.26,78.13,609.37,859.34,78.13
2018-03-26,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,299.0,5330.56,47.18,106.85,655.72,1609.4,106.85
2018-03-27,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,422.0,32112.72,46.84,93.81,2958.51,10906.15,93.81
2018-03-28,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,372.0,8629.28,46.92,94.49,624.99,1154.21,94.49
2018-03-29,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,367.0,921.79,31.28,84.49,609.37,781.13,84.49
2018-03-30,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,311.0,5249.95,46.77,111.12,687.49,906.21,111.12
2018-04-02,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,305.0,3812.47,62.5,93.79,656.24,859.4,93.79
2018-04-03,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,415.0,2787.12,31.26,78.12,328.15,749.99,78.12
2018-04-04,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,498.0,4046.85,31.3,78.17,593.76,781.27,78.17
2018-04-05,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,550.0,2443.46,31.28,78.21,531.26,781.23,78.21
2018-04-06,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,457.0,12835.34,45.08,93.76,703.13,4632.94,93.76
2018-04-09,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,368.0,3334.65,31.28,93.73,609.41,781.23,93.73
2018-04-10,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,543.0,10469.59,31.25,77.55,343.77,1156.31,77.55
2018-04-11,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,541.0,8625.12,31.23,46.9,328.12,1234.36,46.9
2018-04-12,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,553.0,18765.8,31.25,62.53,247.4,703.15,62.53
2018-04-13,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,396.0,11190.09,31.25,78.1,328.16,843.74,78.1
2018-04-16,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,341.0,6750.7,31.28,78.17,640.61,1093.74,78.17
2018-04-17,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,317.0,4930.55,33.28,93.75,656.22,1015.66,93.75
2018-04-18,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,410.0,3625.07,31.27,93.73,703.1,1078.13,93.73
2018-04-19,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,547.0,4484.96,31.26,78.12,655.79,1241.84,78.12
2018-04-20,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,494.0,1953.18,44.85,93.98,640.64,1156.29,93.98
2018-04-23,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,549.0,5490.93,62.49,140.63,656.24,1343.71,140.63
2018-04-24,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,460.0,7401.63,45.95,93.73,624.91,1374.99,93.73
2018-04-25,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,379.0,15874.65,46.86,93.78,640.69,828.12,93.78
2018-04-26,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,185.0,1078.12,78.12,103.7,453.12,812.49,103.7
2018-04-27,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,387.0,1269.92,46.88,93.76,515.22,750.0,93.76
2018-04-30,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,491.0,6594.11,46.85,78.18,234.37,875.29,78.18
2018-05-01,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,469.0,1765.58,31.25,62.54,593.77,838.09,62.54
2018-05-02,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,406.0,9490.29,29.33,78.09,609.37,1062.52,78.09
2018-05-03,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,397.0,3364.19,31.02,78.12,405.36,734.35,78.12
2018-05-04,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,371.0,2171.91,31.26,78.12,630.34,1093.74,78.12
2018-05-07,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,432.0,1234.45,31.22,78.12,640.61,781.29,78.12
2018-05-08,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,391.0,1671.84,34.36,93.78,656.19,1078.13,93.78
2018-05-09,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,416.0,11780.27,30.21,62.54,597.78,875.0,62.54
2018-05-10,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,353.0,6123.23,77.79,140.64,718.76,1640.61,140.64
2018-05-11,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,292.0,1720.19,31.19,93.24,640.62,781.25,93.24
2018-05-14,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,333.0,906.24,16.23,62.55,546.87,640.66,62.55
2018-05-15,UcmStagingConn,[Internal_StagingKeystone].[GetTicketsByAccountIds],All,347.0,2859.44,31.25,93.73,640.63,1026.38,93.73
