startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,451.0,798.23,31.29,78.14,640.64,687.53,78.14
2018-02-05,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,442.0,2045.52,31.25,78.16,640.62,718.73,78.16
2018-02-06,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,470.0,1178.6,31.25,78.15,640.59,812.45,78.15
2018-02-07,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,415.0,1109.34,46.84,81.98,656.21,718.77,81.98
2018-02-08,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,376.0,984.35,31.27,80.26,656.29,749.89,80.26
2018-02-09,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,363.0,1046.91,31.24,80.58,656.23,753.56,80.58
2018-02-12,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,357.0,1140.59,49.37,109.37,640.6,734.38,109.37
2018-02-13,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,230.0,1078.11,62.49,109.35,648.73,718.56,109.35
2018-02-14,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,320.0,984.43,46.98,109.36,655.94,718.75,109.36
2018-02-15,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,277.0,3489.24,62.47,593.77,687.59,3058.54,593.77
2018-02-16,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,323.0,906.29,51.28,93.74,640.61,703.15,93.74
2018-02-19,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,318.0,762.87,15.65,62.49,625.51,703.11,62.49
2018-02-20,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,382.0,1046.84,31.26,78.13,633.27,685.63,78.13
2018-02-21,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,429.0,875.0,32.47,78.14,625.05,687.47,78.14
2018-02-22,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,489.0,21705.51,31.23,64.58,640.6,859.33,64.58
2018-02-23,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,441.0,4175.74,31.24,78.13,640.62,749.99,78.13
2018-02-26,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,454.0,1203.11,15.86,62.81,646.06,703.13,62.81
2018-02-27,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,436.0,1046.86,31.39,78.1,625.03,671.88,78.1
2018-02-28,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,363.0,890.62,53.8,93.72,641.7,796.86,93.72
2018-03-01,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,364.0,1156.23,41.84,93.51,671.87,789.63,93.51
2018-03-02,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,299.0,1046.85,49.48,124.91,640.65,812.47,124.91
2018-03-05,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,368.0,13005.7,31.25,78.82,640.65,1031.2,78.82
2018-03-06,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,581.0,18621.52,60.19,77.85,640.61,703.11,77.85
2018-03-07,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,435.0,1058.27,31.25,77.59,640.24,758.85,77.59
2018-03-08,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,422.0,2287.39,15.8,66.24,625.03,687.5,66.24
2018-03-09,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,336.0,18421.88,49.97,96.58,656.24,859.36,96.58
2018-03-12,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,429.0,3437.48,15.62,77.79,625.11,688.94,77.79
2018-03-13,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,454.0,984.36,31.21,65.4,627.26,703.66,65.4
2018-03-14,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,391.0,1249.75,46.88,78.12,640.63,734.32,78.12
2018-03-15,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,505.0,3624.95,61.53,85.34,647.24,718.78,85.34
2018-03-16,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,3868.0,1249.4,17.67,62.5,624.99,687.52,62.5
2018-03-19,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,3225.0,1812.5,15.61,62.5,625.03,687.5,62.5
2018-03-20,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,3463.0,18604.82,15.62,62.5,640.61,687.48,62.5
2018-03-21,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,3282.0,21683.71,15.68,62.5,625.02,672.05,62.5
2018-03-22,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,3201.0,953.12,15.67,62.5,625.0,656.51,62.5
2018-03-23,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,3426.0,2485.42,24.47,62.51,640.61,703.11,62.51
2018-03-26,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,4382.0,4622.98,15.94,62.5,624.98,675.19,62.5
2018-03-27,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,4473.0,1906.23,16.54,62.5,625.01,687.5,62.5
2018-03-28,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,4458.0,21672.71,46.86,62.5,624.99,671.88,62.5
2018-03-29,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,4227.0,968.73,31.71,62.5,625.0,671.86,62.5
2018-03-30,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,2932.0,1935.79,47.84,62.51,640.62,749.99,62.51
2018-04-02,UcmStagingConn,[Internal_StagingKeystone].[GetTier1TicketDataFreshnessDateTime],All,3064.0,3015.59,61.52,62.51,625.02,687.49,62.51
