startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmStagingConn,[Internal_User].[GetOrgStructureDomainData],All,66.0,3038.59,2360.41,2546.83,2656.15,3038.59,2546.83
2018-02-05,UcmStagingConn,[Internal_User].[GetOrgStructureDomainData],All,83.0,2718.72,2031.26,2484.41,2609.39,2718.72,2484.41
2018-02-06,UcmStagingConn,[Internal_User].[GetOrgStructureDomainData],All,101.0,5123.97,1999.96,2499.89,2656.15,3918.43,2499.89
2018-02-07,UcmStagingConn,[Internal_User].[GetOrgStructureDomainData],All,120.0,5157.18,1968.75,2421.91,2593.83,3331.02,2421.91
2018-02-08,UcmStagingConn,[Internal_User].[GetOrgStructureDomainData],All,81.0,3283.51,2281.26,2484.82,3062.25,3283.51,2484.82
2018-02-09,UcmStagingConn,[Internal_User].[GetOrgStructureDomainData],All,99.0,5374.56,1953.05,2453.1,2644.16,5374.56,2453.1
2018-02-12,UcmStagingConn,[Internal_User].[GetOrgStructureDomainData],All,77.0,2593.71,1953.14,2421.76,2578.19,2593.71,2421.76
2018-02-13,UcmStagingConn,[Internal_User].[GetOrgStructureDomainData],All,78.0,2781.21,1999.97,2453.05,2609.38,2781.21,2453.05
2018-02-14,UcmStagingConn,[Internal_User].[GetOrgStructureDomainData],All,109.0,5515.38,1968.67,2409.78,2796.74,5375.87,2409.78
2018-02-15,UcmStagingConn,[Internal_User].[GetOrgStructureDomainData],All,69.0,16163.56,2351.29,2489.67,2687.53,16163.56,2489.67
2018-02-16,UcmStagingConn,[Internal_User].[GetOrgStructureDomainData],All,86.0,5241.8,2000.11,2453.13,2609.0,5241.8,2453.13
2018-02-19,UcmStagingConn,[Internal_User].[GetOrgStructureDomainData],All,18.0,2656.22,2093.73,2499.21,2656.22,2656.22,2499.21
2018-02-20,UcmStagingConn,[Internal_User].[GetOrgStructureDomainData],All,56.0,2656.5,2000.17,2390.55,2640.79,2656.5,2390.55
2018-02-21,UcmStagingConn,[Internal_User].[GetOrgStructureDomainData],All,100.0,3062.47,2004.43,2363.44,2593.73,2656.18,2363.44
2018-02-22,UcmStagingConn,[Internal_User].[GetOrgStructureDomainData],All,151.0,3253.08,1921.82,2243.35,2556.09,3234.57,2243.35
2018-02-23,UcmStagingConn,[Internal_User].[GetOrgStructureDomainData],All,76.0,5235.59,1500.03,2391.4,3187.51,5235.59,2391.4
2018-02-26,UcmStagingConn,[Internal_User].[GetOrgStructureDomainData],All,145.0,2874.93,1999.42,2374.96,2609.36,2735.91,2374.96
2018-02-27,UcmStagingConn,[Internal_User].[GetOrgStructureDomainData],All,113.0,5392.69,1953.12,2468.72,2681.29,3343.7,2468.72
2018-02-28,UcmStagingConn,[Internal_User].[GetOrgStructureDomainData],All,78.0,3237.85,2093.75,2502.83,2702.84,3237.85,2502.83
2018-03-01,UcmStagingConn,[Internal_User].[GetOrgStructureDomainData],All,138.0,2968.75,1991.72,2312.31,2671.85,2874.63,2312.31
2018-03-02,UcmStagingConn,[Internal_User].[GetOrgStructureDomainData],All,76.0,3218.82,2015.65,2421.86,2781.39,3218.82,2421.86
2018-03-05,UcmStagingConn,[Internal_User].[GetOrgStructureDomainData],All,80.0,3218.67,2016.05,2419.29,2718.76,3218.67,2419.29
2018-03-06,UcmStagingConn,[Internal_User].[GetOrgStructureDomainData],All,114.0,5751.25,1968.44,2437.47,2687.42,5269.26,2437.47
