startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1028.0,2063.14,63.03,78.12,93.75,139.57,78.12
2018-02-05,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,980.0,562.52,62.51,78.12,93.75,125.0,78.12
2018-02-06,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1100.0,2500.03,66.48,78.12,109.38,187.58,78.12
2018-02-07,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1097.0,4653.34,63.22,78.12,95.84,171.87,78.12
2018-02-08,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1088.0,390.62,78.11,78.13,94.9,140.63,78.13
2018-02-09,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1074.0,913.35,65.15,78.13,93.74,140.63,78.13
2018-02-12,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1142.0,1406.25,62.51,78.12,93.76,187.49,78.12
2018-02-13,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,811.0,297.69,75.2,78.13,93.78,156.25,78.13
2018-02-14,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,957.0,718.73,62.52,78.12,93.75,125.03,78.12
2018-02-15,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1073.0,4912.22,66.74,78.13,406.19,468.75,78.13
2018-02-16,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,987.0,718.79,62.51,78.12,92.47,140.63,78.12
2018-02-19,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,803.0,640.62,62.51,78.12,78.15,93.76,78.12
2018-02-20,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1028.0,624.66,62.51,78.12,93.73,140.67,78.12
2018-02-21,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1076.0,19267.54,62.51,78.12,109.18,185.59,78.12
2018-02-22,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1084.0,1656.45,62.51,78.12,93.74,187.45,78.12
2018-02-23,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1050.0,2203.0,62.51,78.12,84.58,187.31,78.12
2018-02-26,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1005.0,234.52,62.51,78.12,79.66,125.0,78.12
2018-02-27,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1087.0,764.86,62.51,78.12,93.75,218.74,78.12
2018-02-28,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1046.0,609.41,62.64,78.12,93.76,140.63,78.12
2018-03-01,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1065.0,1828.11,63.81,78.12,93.49,125.02,78.12
2018-03-02,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,936.0,1484.42,62.76,78.12,93.75,150.67,78.12
2018-03-05,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,993.0,390.63,62.51,78.12,78.62,140.61,78.12
2018-03-06,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1079.0,1140.62,64.41,78.12,93.75,184.88,78.12
2018-03-07,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1053.0,4644.14,74.27,78.12,97.82,234.22,78.12
2018-03-08,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1019.0,3703.03,62.53,78.12,93.73,156.24,78.12
2018-03-09,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1016.0,453.14,69.31,78.12,92.72,125.01,78.12
2018-03-12,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1168.0,484.37,75.09,78.12,93.74,155.7,78.12
2018-03-13,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1092.0,19256.21,74.5,78.12,93.75,156.25,78.12
2018-03-14,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1238.0,484.37,68.28,78.13,93.75,140.62,78.13
2018-03-15,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1234.0,1890.61,62.64,78.12,93.74,156.24,78.12
2018-03-16,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1064.0,40073.18,63.11,78.12,94.24,40058.58,78.12
2018-03-19,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,933.0,656.24,75.93,78.12,92.5,140.63,78.12
2018-03-20,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1052.0,2705.61,62.52,78.12,93.75,156.29,78.12
2018-03-21,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1163.0,1937.5,62.52,78.12,93.74,140.06,78.12
2018-03-22,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,961.0,656.27,62.51,78.12,79.32,140.62,78.12
2018-03-23,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,951.0,374.99,62.52,78.12,93.75,125.03,78.12
2018-03-26,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1005.0,359.38,62.51,78.12,78.56,140.64,78.12
2018-03-27,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1116.0,328.12,62.51,78.12,93.75,124.82,78.12
2018-03-28,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1144.0,546.86,62.55,78.12,93.76,140.62,78.12
2018-03-29,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1097.0,235.22,62.51,78.12,81.19,126.19,78.12
2018-03-30,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,958.0,765.66,63.15,78.13,95.38,184.86,78.13
2018-04-02,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,675.0,1203.15,76.2,78.12,93.75,171.87,78.12
2018-04-03,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1248.0,625.0,62.51,78.12,93.75,171.77,78.12
2018-04-04,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1181.0,624.99,62.51,78.12,93.75,140.62,78.12
2018-04-05,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1139.0,390.61,62.51,78.12,89.67,140.12,78.12
2018-04-06,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1057.0,359.37,62.51,78.12,80.0,124.99,78.12
2018-04-09,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1027.0,312.51,62.51,78.12,80.85,122.74,78.12
2018-04-10,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1142.0,456.61,74.56,78.13,93.75,141.27,78.13
2018-04-11,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1179.0,1624.97,75.33,78.13,109.37,187.5,78.13
2018-04-12,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1250.0,562.52,62.51,78.12,93.75,186.43,78.12
2018-04-13,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1084.0,19275.96,62.51,78.12,90.72,155.83,78.12
2018-04-16,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1004.0,320.36,62.51,78.12,93.74,156.24,78.12
2018-04-17,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1027.0,781.24,65.6,78.13,93.74,125.04,78.13
2018-04-18,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1104.0,577.94,62.51,78.13,93.75,156.26,78.13
2018-04-19,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1072.0,687.53,62.51,78.12,93.75,265.62,78.12
2018-04-20,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,967.0,453.12,62.52,78.12,93.74,156.25,78.12
2018-04-23,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1137.0,19264.58,62.84,78.12,93.75,156.22,78.12
2018-04-24,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1291.0,1406.18,62.51,78.12,93.76,156.25,78.12
2018-04-25,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1253.0,1522.55,62.51,78.13,93.76,153.84,78.13
2018-04-26,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,909.0,765.64,78.11,78.14,218.75,343.74,78.14
2018-04-27,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1155.0,499.99,78.05,78.13,93.74,156.27,78.13
2018-04-30,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,1100.0,609.34,70.59,78.13,93.75,203.12,78.13
2018-05-01,UcmTicketingDbConn,[Common].[AcknowledgeTicketAssignment],All,999.0,468.69,63.45,78.12,78.19,147.66,78.12
