startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2062.0,906.27,62.5,78.13,109.37,187.41,78.13
2018-02-05,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,1985.0,1093.54,62.49,78.08,93.75,187.49,78.08
2018-02-06,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2253.0,1858.82,62.49,78.12,93.77,196.25,78.12
2018-02-07,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2146.0,1133.11,62.5,78.12,95.94,194.43,78.12
2018-02-08,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2128.0,1515.68,62.5,78.14,95.78,156.25,78.14
2018-02-09,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,1936.0,578.13,62.5,78.09,78.32,125.0,78.09
2018-02-12,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,1915.0,562.49,62.49,78.12,93.78,125.0,78.12
2018-02-13,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,1378.0,749.86,62.5,78.12,95.79,203.1,78.12
2018-02-14,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2041.0,625.02,62.49,78.11,93.75,111.01,78.11
2018-02-15,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2121.0,9622.59,62.49,78.12,109.26,422.05,78.12
2018-02-16,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,1908.0,851.08,62.49,62.64,78.18,140.62,62.64
2018-02-19,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,1508.0,328.08,62.49,62.66,78.14,93.75,62.66
2018-02-20,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2047.0,328.15,62.49,62.77,84.41,156.25,62.77
2018-02-21,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2189.0,391.4,62.49,78.12,93.76,156.21,78.12
2018-02-22,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2070.0,3671.84,62.5,78.12,93.76,150.75,78.12
2018-02-23,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,1887.0,922.13,62.5,78.1,93.75,156.25,78.1
2018-02-26,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2089.0,1706.11,62.49,73.25,78.18,109.37,73.25
2018-02-27,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2358.0,4143.64,62.49,77.8,93.74,171.9,77.8
2018-02-28,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2234.0,2953.1,62.5,78.12,93.76,140.63,78.12
2018-03-01,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2224.0,3389.28,62.5,78.11,93.73,125.0,78.11
2018-03-02,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2029.0,15006.54,62.5,78.12,93.75,151.75,78.12
2018-03-05,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,1964.0,1661.45,62.49,78.08,93.74,125.11,78.08
2018-03-06,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2251.0,546.79,62.5,78.12,93.75,125.0,78.12
2018-03-07,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2109.0,656.25,62.5,78.12,93.78,140.62,78.12
2018-03-08,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2284.0,812.5,62.49,78.11,93.75,124.39,78.11
2018-03-09,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2098.0,4841.85,62.5,78.11,78.76,109.38,78.11
2018-03-12,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2117.0,1296.88,62.5,78.12,93.76,171.86,78.12
2018-03-13,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2380.0,1124.52,62.5,78.13,93.78,171.87,78.13
2018-03-14,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2506.0,937.53,62.49,78.1,90.78,125.0,78.1
2018-03-15,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2479.0,771.33,62.5,78.13,93.78,140.63,78.13
2018-03-16,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2140.0,5800.07,62.5,78.12,93.76,156.25,78.12
2018-03-19,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,1706.0,1009.27,62.5,78.13,93.77,140.62,78.13
2018-03-20,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2108.0,9724.42,62.48,78.12,93.79,171.87,78.12
2018-03-21,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2185.0,718.75,62.49,78.12,93.75,109.42,78.12
2018-03-22,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2008.0,984.57,62.5,78.12,93.76,156.39,78.12
2018-03-23,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2184.0,906.23,62.49,78.12,93.76,125.04,78.12
2018-03-26,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2188.0,609.36,62.49,77.86,91.88,125.0,77.86
2018-03-27,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2428.0,796.85,62.49,78.1,93.75,109.42,78.1
2018-03-28,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2393.0,983.55,62.49,78.12,93.76,125.08,78.12
2018-03-29,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2178.0,1187.47,62.5,78.12,93.75,140.62,78.12
2018-03-30,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,1803.0,768.54,62.5,78.12,93.77,153.39,78.12
2018-04-02,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,1314.0,19626.77,62.51,78.13,109.37,218.79,78.13
2018-04-03,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2302.0,1015.58,61.07,78.11,93.76,171.89,78.11
2018-04-04,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2345.0,874.99,62.49,77.53,93.75,125.0,77.53
2018-04-05,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2349.0,3515.62,62.49,77.92,93.75,125.0,77.92
2018-04-06,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2077.0,951.95,62.49,77.05,80.63,124.31,77.05
2018-04-09,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2054.0,242.91,61.71,62.57,93.66,125.0,62.57
2018-04-10,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2265.0,640.62,62.49,78.0,78.16,109.37,78.0
2018-04-11,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2326.0,921.88,62.5,78.12,93.77,156.25,78.12
2018-04-12,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2405.0,937.44,62.49,78.11,93.75,140.63,78.11
2018-04-13,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2319.0,984.37,62.5,78.12,93.76,125.0,78.12
2018-04-16,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2088.0,1046.91,62.49,78.11,93.75,156.26,78.11
2018-04-17,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2396.0,1765.61,62.5,78.12,93.76,156.31,78.12
2018-04-18,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2386.0,1062.48,62.5,78.12,93.77,156.25,78.12
2018-04-19,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2360.0,875.05,62.5,78.12,93.75,156.25,78.12
2018-04-20,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2009.0,640.61,62.49,75.22,78.26,124.99,75.22
2018-04-23,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2123.0,19374.75,62.5,78.12,93.76,218.73,78.12
2018-04-24,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2268.0,1282.36,62.5,78.12,109.37,187.49,78.12
2018-04-25,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2207.0,1093.76,62.5,78.12,93.79,156.31,78.12
2018-04-26,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,1750.0,41811.22,62.54,78.16,27589.5,41085.18,78.16
2018-04-27,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2041.0,13664.61,62.53,78.13,93.79,1953.09,78.13
2018-04-30,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2096.0,359.36,62.49,65.1,78.17,124.99,65.1
2018-05-01,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2028.0,312.48,62.49,62.74,78.17,109.41,62.74
2018-05-02,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2240.0,1344.22,62.5,78.12,93.76,125.03,78.12
2018-05-03,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2185.0,632.48,62.5,78.12,93.75,121.0,78.12
2018-05-04,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2107.0,266.62,62.5,78.12,93.76,174.23,78.12
2018-05-07,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,1766.0,328.12,62.5,78.12,93.74,109.36,78.12
2018-05-08,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2319.0,609.34,62.5,78.09,93.75,156.24,78.09
2018-05-09,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2422.0,1357.42,62.5,78.12,93.76,125.03,78.12
2018-05-10,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2232.0,15827.83,62.5,78.12,93.8,503.28,78.12
2018-05-11,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2108.0,937.48,62.5,78.11,93.75,108.98,78.11
2018-05-14,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,1978.0,292.07,62.49,78.12,93.73,93.79,78.12
2018-05-15,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,2062.0,639.43,62.46,78.11,93.38,93.79,78.11
2018-05-16,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,565.0,376.18,15.62,15.7,78.1,93.75,15.7
2018-05-17,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,456.0,328.11,15.62,15.66,31.27,78.14,15.66
2018-05-18,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,475.0,48.47,15.62,15.65,31.26,34.94,15.65
2018-05-21,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,402.0,78.21,15.63,19.03,31.27,31.67,19.03
2018-05-22,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,587.0,80.88,15.62,15.65,31.26,46.88,15.65
2018-05-23,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,549.0,144.3,15.62,15.67,31.28,78.09,15.67
2018-05-24,UcmTicketingDbConn,[Common].[AddUpdateTicketCommunications],All,558.0,187.51,15.62,18.29,46.84,46.91,18.29
