startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,4007.0,18632.07,62.65,551.74,641.45,1124.97,551.74
2018-02-05,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,3876.0,10175.1,62.51,109.56,640.05,1031.45,109.56
2018-02-06,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,4521.0,12818.91,62.51,93.89,640.61,894.47,93.89
2018-02-07,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,4364.0,19367.68,62.52,109.87,655.6,1139.97,109.87
2018-02-08,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,4301.0,15224.69,64.53,109.38,656.05,859.33,109.38
2018-02-09,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,4523.0,19248.85,62.52,115.8,640.65,843.75,115.8
2018-02-12,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,6085.0,3389.66,62.51,80.17,625.0,1124.99,80.17
2018-02-13,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,3689.0,3082.32,62.52,91.83,625.04,1109.4,91.83
2018-02-14,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,4986.0,19248.3,62.62,93.76,640.53,1118.36,93.76
2018-02-15,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,4529.0,25203.37,63.0,126.47,671.89,1250.02,126.47
2018-02-16,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,3834.0,2203.31,62.69,123.9,640.58,1124.65,123.9
2018-02-19,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,3299.0,8571.48,78.11,593.76,685.57,1187.5,593.76
2018-02-20,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,4335.0,2265.79,62.91,118.83,640.6,1124.68,118.83
2018-02-21,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,4805.0,2140.67,62.63,109.36,640.64,1093.74,109.36
2018-02-22,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,5182.0,19249.41,62.73,109.52,640.64,1127.47,109.52
2018-02-23,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,4202.0,19363.45,63.05,130.0,640.66,1124.93,130.0
2018-02-26,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,5053.0,2406.27,62.52,93.75,627.76,1109.36,93.75
2018-02-27,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,4992.0,4578.04,62.53,95.5,640.61,828.12,95.5
