startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,4007.0,12632.9,553.32,624.99,1158.18,1656.2,624.99
2018-02-05,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,3876.0,19378.67,108.84,607.37,1156.1,1640.64,607.37
2018-02-06,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,4521.0,12772.06,93.75,611.27,1156.24,1468.72,611.27
2018-02-07,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,4364.0,19367.68,109.13,624.77,1156.57,1671.85,624.77
2018-02-08,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,4301.0,15021.73,93.76,624.73,1156.34,1454.4,624.73
2018-02-09,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,4523.0,19249.67,93.76,623.46,1156.26,1327.63,623.46
2018-02-12,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,6085.0,3359.24,78.14,549.53,1125.04,1655.97,549.53
2018-02-13,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,3689.0,4222.05,78.15,593.73,1140.59,1656.0,593.73
2018-02-14,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,4986.0,2797.38,93.54,606.05,1141.9,1536.17,606.05
2018-02-15,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,4527.0,11359.08,124.1,625.21,1205.27,2265.99,625.21
2018-02-16,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,3835.0,5406.21,109.51,624.73,1156.17,1640.68,624.73
2018-02-19,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,3299.0,8711.25,593.74,641.31,1203.23,1718.84,641.31
2018-02-20,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,4335.0,2812.66,109.4,624.74,1156.24,1639.42,624.74
2018-02-21,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,4805.0,2749.95,104.42,612.2,1156.08,1609.38,612.2
2018-02-22,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,5182.0,19233.71,116.42,624.97,1156.23,1671.87,624.97
2018-02-23,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,4202.0,19363.45,125.13,624.99,1156.26,1640.67,624.99
2018-02-26,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,5053.0,3640.52,78.32,593.76,1141.05,1636.01,593.76
2018-02-27,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,4992.0,4489.31,93.75,609.33,1147.21,1296.85,609.33
2018-02-28,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,5395.0,18921.51,93.74,593.81,1140.61,1468.69,593.81
2018-03-01,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,6540.0,12030.97,78.23,590.27,1121.32,1343.74,590.27
2018-03-02,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,7416.0,33105.84,78.13,125.36,1095.45,1218.23,125.36
2018-03-05,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,5043.0,4187.39,79.36,593.75,1140.61,1640.64,593.75
2018-03-06,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,5622.0,19281.15,78.97,593.77,1148.48,1656.3,593.77
2018-03-07,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,5347.0,18484.08,93.23,598.73,1148.4,1531.24,598.73
2018-03-08,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,4670.0,19262.12,93.8,619.67,1156.24,1625.72,619.67
2018-03-09,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,4163.0,9843.55,110.41,624.9,1156.22,1578.1,624.9
2018-03-12,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,6245.0,19267.14,78.2,593.74,1135.71,1656.22,593.74
2018-03-13,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,5549.0,30565.29,93.72,604.26,1156.23,1682.99,604.26
2018-03-14,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,6887.0,4718.64,78.13,155.67,1118.16,1234.14,155.67
2018-03-15,UcmTicketingDbConn,[Common].[GetAssignmentScheme],All,8330.0,19263.8,78.13,124.97,686.8,1187.51,124.97
