startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,4007.0,10604.83,578.28,626.02,1171.36,1671.82,626.02
2018-02-05,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,3876.0,3578.01,139.04,609.37,1156.24,1660.29,609.37
2018-02-06,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,4521.0,12725.19,109.35,624.92,1156.3,1656.26,624.92
2018-02-07,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,4364.0,19367.68,140.09,625.0,1168.96,1687.5,625.0
2018-02-08,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,4301.0,15021.73,109.38,625.0,1162.77,1521.43,625.0
2018-02-09,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,4523.0,19249.67,109.4,624.99,1156.63,1641.78,624.99
2018-02-12,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,6085.0,5828.84,78.36,593.71,1139.64,1663.28,593.71
2018-02-13,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,3689.0,4222.05,78.59,593.76,1140.62,1671.83,593.76
2018-02-14,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,4986.0,3328.76,93.75,609.36,1154.36,1649.55,609.36
2018-02-15,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,4529.0,11359.08,221.77,640.58,1219.83,2327.66,640.58
2018-02-16,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,3835.0,2234.45,155.86,624.98,1156.21,1642.47,624.98
2018-02-19,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,3299.0,8648.74,593.77,657.82,1218.75,1781.18,657.82
2018-02-20,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,4335.0,2812.66,142.71,624.99,1156.27,1656.16,624.99
2018-02-21,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,4805.0,2749.95,140.02,624.97,1156.22,1640.64,624.97
2018-02-22,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,5182.0,4813.79,195.52,625.01,1156.26,1671.87,625.01
2018-02-23,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,4202.0,19363.45,240.7,625.01,1156.32,1671.83,625.01
2018-02-26,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,5053.0,3640.52,93.71,605.35,1153.02,1641.61,605.35
2018-02-27,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,4992.0,3973.71,109.37,609.39,1155.11,1359.37,609.39
2018-02-28,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,5395.0,4921.81,93.75,609.35,1140.65,1576.92,609.35
2018-03-01,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,6540.0,12030.97,93.31,593.75,1124.99,1374.48,593.75
2018-03-02,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,7416.0,39837.89,78.13,156.73,1109.37,1256.2,156.73
2018-03-05,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,5043.0,4187.39,93.74,608.76,1140.92,1656.22,608.76
2018-03-06,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,5622.0,19281.15,93.74,609.16,1156.23,1671.36,609.16
2018-03-07,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,5347.0,18093.48,93.75,609.36,1156.18,1656.24,609.36
2018-03-08,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,4670.0,19246.55,109.57,624.99,1156.24,1656.21,624.99
2018-03-09,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,4163.0,12436.7,154.67,624.99,1156.24,1640.67,624.99
2018-03-12,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,6245.0,19267.14,93.25,593.76,1140.61,1656.26,593.76
2018-03-13,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,5549.0,30627.79,94.46,609.38,1156.23,1687.51,609.38
2018-03-14,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,6887.0,4703.01,78.13,230.14,1124.99,1237.27,230.14
2018-03-15,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,8330.0,19263.8,78.14,144.94,760.35,1188.0,144.94
2018-03-16,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,5930.0,19254.02,93.5,595.89,1140.62,1640.6,595.89
2018-03-19,UcmTicketingDbConn,[Common].[GetColumnsSupportedForConditions],All,4880.0,17172.9,93.77,609.37,1151.23,1673.02,609.37
