startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,13079.0,19404.65,62.5,62.51,78.23,140.63,62.51
2018-02-05,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,12733.0,2906.23,62.5,62.51,78.15,125.01,62.51
2018-02-06,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,14364.0,1812.53,62.5,62.52,93.74,171.88,62.52
2018-02-07,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,14261.0,1875.08,62.5,62.52,93.72,140.93,62.52
2018-02-08,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,13606.0,36123.99,62.5,78.11,93.75,155.9,78.11
2018-02-09,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,14229.0,1843.76,62.5,62.51,78.15,124.99,62.51
2018-02-12,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,14817.0,3312.67,62.5,62.51,78.17,125.0,62.51
2018-02-13,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,10329.0,19272.2,62.5,62.52,93.44,156.25,62.52
2018-02-14,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,13177.0,796.83,62.49,62.51,78.23,124.99,62.51
2018-02-15,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,12985.0,23129.69,62.5,62.53,347.82,751.1,62.53
2018-02-16,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,12108.0,656.54,62.5,62.51,78.15,125.02,62.51
2018-02-19,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,9818.0,694.94,62.49,62.51,78.13,124.99,62.51
2018-02-20,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,13568.0,4265.62,62.5,62.51,78.14,140.62,62.51
2018-02-21,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,14212.0,14593.42,62.49,62.51,78.2,139.68,62.51
2018-02-22,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,14183.0,19396.8,62.5,62.51,78.14,140.62,62.51
2018-02-23,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,12800.0,1906.18,62.5,62.51,78.13,125.02,62.51
2018-02-26,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,13249.0,750.15,62.49,62.51,78.13,124.97,62.51
2018-02-27,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,14322.0,19273.06,62.49,62.51,78.14,154.48,62.51
2018-02-28,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,13989.0,19250.88,62.5,62.51,93.71,140.62,62.51
2018-03-01,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,13980.0,45016.89,62.5,62.51,78.17,125.01,62.51
2018-03-02,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,12630.0,3063.81,62.5,62.51,78.14,125.01,62.51
2018-03-05,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,12563.0,2609.9,62.5,62.51,78.14,125.0,62.51
2018-03-06,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,13794.0,3250.28,62.5,62.51,78.14,140.62,62.51
2018-03-07,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,12768.0,14155.99,62.5,62.51,93.71,155.96,62.51
2018-03-08,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,12828.0,19380.39,62.5,62.51,78.13,125.01,62.51
2018-03-09,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,12477.0,781.23,62.5,62.51,78.13,111.8,62.51
2018-03-12,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,14544.0,1940.03,62.5,62.51,78.2,140.62,62.51
2018-03-13,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,14462.0,14711.38,62.5,62.51,78.85,187.49,62.51
2018-03-14,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,15799.0,6892.72,62.5,62.51,78.57,126.27,62.51
2018-03-15,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,15248.0,19246.65,62.5,62.51,78.15,125.29,62.51
2018-03-16,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,13513.0,19269.51,62.5,62.51,78.67,140.3,62.51
2018-03-19,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,11693.0,19243.2,62.5,62.51,78.8,126.96,62.51
2018-03-20,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,13938.0,7270.26,62.49,62.51,78.37,140.62,62.51
2018-03-21,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,14522.0,1110.18,62.5,62.51,78.96,125.88,62.51
2018-03-22,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,12860.0,1625.16,62.5,62.51,78.21,125.06,62.51
2018-03-23,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,12978.0,19279.55,62.5,62.51,78.7,133.41,62.51
2018-03-26,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,14250.0,4897.4,62.5,62.51,78.54,140.26,62.51
2018-03-27,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,15738.0,21794.49,62.5,62.51,78.56,125.01,62.51
2018-03-28,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,15193.0,1328.83,62.5,62.53,93.74,140.63,62.53
2018-03-29,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,14211.0,2235.51,62.5,62.51,79.6,140.62,62.51
2018-03-30,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,12377.0,19259.91,62.5,62.73,93.74,140.62,62.73
2018-04-02,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,9099.0,8375.94,62.5,62.96,93.75,171.88,62.96
2018-04-03,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,14981.0,15307.48,62.5,62.54,92.78,156.24,62.54
2018-04-04,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,14278.0,2218.75,62.5,62.52,84.22,125.0,62.52
2018-04-05,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,13578.0,4812.22,62.5,62.51,78.2,125.0,62.51
2018-04-06,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,13349.0,1640.59,62.5,62.51,78.35,140.61,62.51
2018-04-09,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,13612.0,19365.52,62.5,62.51,78.2,132.57,62.51
2018-04-10,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,14975.0,4609.37,62.5,64.54,93.72,140.57,64.54
2018-04-11,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,14099.0,11365.98,62.5,63.87,93.75,156.25,63.87
2018-04-12,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,14856.0,116229.87,62.5,62.53,79.04,140.57,62.53
2018-04-13,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,14314.0,2953.17,62.5,62.53,78.39,125.0,62.53
2018-04-16,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,13605.0,11171.7,62.5,62.6,80.35,140.61,62.6
2018-04-17,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,15008.0,1590.94,62.5,62.57,93.3,140.62,62.57
2018-04-18,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,14285.0,1565.52,62.5,62.68,93.75,141.85,62.68
2018-04-19,UcmTicketingDbConn,[Common].[GetCustomAttributes],All,14221.0,2422.83,62.5,62.63,83.58,140.62,62.63
