startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,2703.0,1687.45,62.49,62.51,70.78,93.75,62.51
2018-02-05,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,2080.0,3734.28,62.49,62.51,72.25,93.75,62.51
2018-02-06,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,2319.0,1031.23,62.5,62.51,78.12,171.87,62.51
2018-02-07,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,2773.0,19261.24,62.49,62.51,78.12,124.99,62.51
2018-02-08,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,2310.0,875.42,62.5,62.53,78.15,93.79,62.53
2018-02-09,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,2164.0,546.86,62.49,62.51,78.02,93.75,62.51
2018-02-12,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,2182.0,5640.41,62.49,62.51,69.08,108.97,62.51
2018-02-13,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,1564.0,19249.49,62.5,62.51,78.08,124.99,62.51
2018-02-14,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,2173.0,359.26,62.49,62.5,70.36,93.75,62.5
2018-02-15,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,2101.0,1703.09,62.49,62.51,140.61,437.53,62.51
2018-02-16,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,2086.0,171.88,62.49,62.51,65.89,81.2,62.51
2018-02-19,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,2158.0,617.11,62.49,62.5,67.45,93.76,62.5
2018-02-20,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,2816.0,280.67,62.49,62.51,67.63,93.76,62.51
2018-02-21,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,2256.0,7687.4,62.49,62.51,70.23,93.81,62.51
2018-02-22,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,2937.0,2969.76,62.49,62.51,66.4,93.78,62.51
2018-02-23,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,2245.0,9717.39,62.49,62.51,65.03,93.75,62.51
2018-02-26,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,2958.0,3343.73,62.49,62.5,66.58,82.05,62.5
2018-02-27,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,3139.0,531.25,62.49,62.51,69.07,93.75,62.51
2018-02-28,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,2479.0,19269.49,62.49,62.51,78.12,93.76,62.51
2018-03-01,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,2883.0,14082.42,62.5,62.51,78.09,85.19,62.51
2018-03-02,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,2432.0,19274.37,62.5,62.51,69.12,108.96,62.51
2018-03-05,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,2175.0,299.17,62.49,62.5,66.51,78.13,62.5
2018-03-06,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,3296.0,1234.36,62.49,62.5,67.26,93.66,62.5
2018-03-07,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,2153.0,13679.15,62.49,62.51,74.04,109.48,62.51
2018-03-08,UcmTicketingDbConn,[Common].[GetEmailTemplates],All,2818.0,10677.35,62.49,62.5,68.16,93.75,62.5
