startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[GetEntitySummaryByTicketId],All,19841.0,19255.37,62.49,62.5,78.11,125.0,62.5
2018-02-05,UcmTicketingDbConn,[Common].[GetEntitySummaryByTicketId],All,19021.0,19266.41,62.49,62.5,78.11,124.8,62.5
2018-02-06,UcmTicketingDbConn,[Common].[GetEntitySummaryByTicketId],All,21563.0,1515.57,62.49,62.5,78.13,167.79,62.5
2018-02-07,UcmTicketingDbConn,[Common].[GetEntitySummaryByTicketId],All,21446.0,19054.74,62.49,62.5,78.13,125.01,62.5
2018-02-08,UcmTicketingDbConn,[Common].[GetEntitySummaryByTicketId],All,20400.0,19257.8,62.5,62.58,93.68,140.61,62.58
2018-02-09,UcmTicketingDbConn,[Common].[GetEntitySummaryByTicketId],All,20355.0,19273.77,62.49,62.5,78.12,109.38,62.5
2018-02-12,UcmTicketingDbConn,[Common].[GetEntitySummaryByTicketId],All,22267.0,2703.23,62.49,62.5,78.11,109.39,62.5
2018-02-13,UcmTicketingDbConn,[Common].[GetEntitySummaryByTicketId],All,15428.0,19350.27,62.49,62.51,78.13,140.61,62.51
2018-02-14,UcmTicketingDbConn,[Common].[GetEntitySummaryByTicketId],All,19774.0,102758.28,62.49,62.5,78.12,109.38,62.5
2018-02-15,UcmTicketingDbConn,[Common].[GetEntitySummaryByTicketId],All,19592.0,44206.6,62.49,62.51,358.28,453.05,62.51
2018-02-16,UcmTicketingDbConn,[Common].[GetEntitySummaryByTicketId],All,18218.0,1589.77,62.49,62.51,78.1,125.0,62.51
2018-02-19,UcmTicketingDbConn,[Common].[GetEntitySummaryByTicketId],All,15023.0,1239.36,62.49,62.5,66.91,109.38,62.5
2018-02-20,UcmTicketingDbConn,[Common].[GetEntitySummaryByTicketId],All,20226.0,16745.27,62.49,62.5,78.09,125.0,62.5
2018-02-21,UcmTicketingDbConn,[Common].[GetEntitySummaryByTicketId],All,21254.0,44057.64,62.49,62.5,78.12,115.74,62.5
2018-02-22,UcmTicketingDbConn,[Common].[GetEntitySummaryByTicketId],All,21092.0,1989.31,62.49,62.5,78.11,124.99,62.5
