startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,4007.0,18632.07,62.5,93.75,625.35,968.87,93.75
2018-02-05,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,3876.0,10128.23,62.5,78.23,624.99,718.1,78.23
2018-02-06,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,4521.0,19389.65,62.5,78.13,625.0,775.73,78.13
2018-02-07,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,4364.0,19367.68,62.51,87.77,625.91,890.74,87.77
2018-02-08,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,4301.0,15008.6,62.52,89.92,625.05,783.98,89.92
2018-02-09,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,4523.0,16754.5,62.5,79.02,625.0,703.12,79.02
2018-02-12,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,6008.0,3389.66,62.51,78.13,609.22,800.83,78.13
2018-02-13,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,3610.0,3082.32,62.51,78.13,611.48,907.18,78.13
2018-02-14,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,4878.0,19248.3,62.57,78.77,624.96,765.59,78.77
2018-02-15,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,4460.0,19968.95,62.54,90.97,654.15,1238.35,90.97
2018-02-16,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,3748.0,2203.31,62.52,80.09,624.99,781.27,80.09
2018-02-19,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,3281.0,8695.62,63.11,117.73,655.11,1187.5,117.73
2018-02-20,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,4279.0,2280.69,62.53,79.89,625.02,734.39,79.89
2018-02-21,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,4705.0,2140.67,62.52,79.22,625.01,841.52,79.22
2018-02-22,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,5031.0,19249.41,62.52,80.03,625.02,1046.81,80.03
2018-02-23,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,4126.0,19379.08,62.52,92.87,625.07,799.63,92.87
2018-02-26,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,4908.0,2406.27,62.51,78.13,624.9,765.53,78.13
2018-02-27,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,4879.0,4578.04,62.51,78.19,624.99,701.69,78.19
2018-02-28,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,5317.0,14077.84,62.61,79.09,624.56,765.61,79.09
2018-03-01,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,6402.0,12109.85,62.51,78.13,593.75,671.87,78.13
2018-03-02,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,7340.0,51181.41,62.51,78.12,593.67,671.86,78.12
2018-03-05,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,4963.0,3109.3,62.51,78.15,624.72,781.07,78.15
2018-03-06,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,5507.0,34376.33,62.51,78.17,624.97,708.14,78.17
2018-03-07,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,5265.0,14390.38,62.53,78.77,624.99,718.74,78.77
2018-03-08,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,4583.0,19364.6,62.52,82.08,625.0,718.73,82.08
2018-03-09,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,4095.0,19367.69,62.52,82.7,624.99,750.0,82.7
2018-03-12,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,6118.0,17110.93,62.51,78.13,609.37,796.98,78.13
2018-03-13,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,5441.0,45019.91,62.54,78.58,624.98,821.25,78.58
2018-03-14,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,6727.0,2077.82,62.51,78.13,593.79,656.64,78.13
2018-03-15,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,8230.0,19263.81,62.51,78.12,295.78,656.24,78.12
2018-03-16,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,5807.0,19256.95,62.51,78.13,612.95,711.27,78.13
2018-03-19,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,4759.0,34271.74,62.55,78.2,624.67,781.22,78.2
2018-03-20,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,5410.0,12503.89,62.52,78.55,624.99,828.23,78.55
2018-03-21,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,6915.0,19276.61,62.51,78.13,609.31,702.53,78.13
2018-03-22,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,5037.0,7390.44,62.51,78.16,624.99,749.99,78.16
2018-03-23,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,10766.0,19260.32,62.51,78.12,140.09,640.63,78.12
2018-03-26,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,4887.0,4890.6,62.51,78.69,624.99,796.65,78.69
2018-03-27,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,8601.0,19833.74,62.51,78.12,593.09,671.3,78.12
2018-03-28,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,6186.0,2234.35,62.51,78.15,609.38,718.75,78.15
2018-03-29,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,5655.0,19375.29,62.51,78.15,624.96,703.16,78.15
2018-03-30,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,7449.0,2015.59,62.51,78.12,563.16,749.99,78.12
2018-04-02,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,3906.0,6109.29,62.51,88.72,625.0,1140.61,88.72
2018-04-03,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,6313.0,16704.11,62.5,78.12,609.36,674.74,78.12
2018-04-04,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,6069.0,19377.68,62.5,78.12,600.32,687.51,78.12
2018-04-05,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,6540.0,2843.66,62.5,78.12,593.77,656.24,78.12
2018-04-06,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,7274.0,19368.3,62.5,78.12,593.75,654.91,78.12
2018-04-09,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,5259.0,7519.34,62.5,78.12,609.58,687.5,78.12
2018-04-10,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,5765.0,4062.22,62.5,78.12,609.38,718.79,78.12
2018-04-11,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,10317.0,19390.33,62.5,78.11,125.65,640.61,78.11
2018-04-12,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,7597.0,19285.78,62.5,78.12,593.74,668.51,78.12
2018-04-13,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,9987.0,19374.73,62.5,78.05,157.78,640.63,78.05
2018-04-16,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,5590.0,2175.81,62.5,78.12,609.48,716.0,78.12
2018-04-17,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,10526.0,21135.61,62.5,77.82,110.92,624.94,77.82
2018-04-18,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,7777.0,19375.58,62.5,78.12,593.86,835.93,78.12
2018-04-19,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,6701.0,19260.61,62.5,78.12,609.37,718.73,78.12
2018-04-20,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,5642.0,2247.52,62.5,78.12,593.98,656.28,78.12
2018-04-23,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,6114.0,19265.62,62.5,78.12,609.4,733.59,78.12
2018-04-24,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,5844.0,2176.56,62.5,78.13,609.38,671.87,78.13
2018-04-25,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,11779.0,10258.7,62.5,77.73,109.38,593.72,77.73
2018-04-26,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,5548.0,103051.15,77.37,109.33,625.0,20539.9,109.33
2018-04-27,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,5330.0,19262.56,62.5,65.01,624.92,711.24,65.01
2018-04-30,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,4314.0,4593.66,62.5,63.06,624.99,687.49,63.06
2018-05-01,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,4958.0,1703.7,62.5,62.88,611.26,671.87,62.88
2018-05-02,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,5756.0,19268.63,62.5,62.86,609.4,671.91,62.86
2018-05-03,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,7086.0,14915.24,62.5,62.74,593.77,656.24,62.74
2018-05-04,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,4812.0,6734.25,62.5,62.98,610.93,687.49,62.98
2018-05-07,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,4612.0,2874.95,62.5,63.5,609.45,687.48,63.5
2018-05-08,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,5401.0,10249.45,62.5,63.06,609.4,687.53,63.06
2018-05-09,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,5762.0,19247.23,62.5,63.12,624.9,1095.91,63.12
2018-05-10,UcmTicketingDbConn,[Common].[GetFavoritesEntities],All,5021.0,24849.05,62.5,93.45,640.61,1439.67,93.45
