startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,8472.0,7690.44,34.28,78.12,252.12,467.78,78.12
2018-02-05,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,10396.0,8930.25,31.25,77.64,156.63,374.65,77.64
2018-02-06,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,7129.0,1937.46,44.38,78.12,234.47,437.49,78.12
2018-02-07,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,6975.0,1234.35,48.31,78.12,233.42,454.04,78.12
2018-02-08,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,6652.0,2515.62,40.66,78.12,236.77,453.69,78.12
2018-02-09,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,5399.0,5468.8,46.92,78.12,212.08,390.65,78.12
2018-02-12,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,6860.0,3796.97,35.62,78.1,202.75,419.76,78.1
2018-02-13,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,4848.0,1328.16,62.5,78.14,218.79,453.09,78.14
2018-02-14,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,6656.0,2406.46,35.07,78.11,203.71,399.23,78.11
2018-02-15,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,6595.0,19221.14,36.04,78.12,203.1,812.49,78.12
2018-02-16,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,5323.0,1266.33,45.72,78.11,140.72,311.99,78.11
2018-02-19,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,3371.0,8102.29,31.24,62.75,277.35,703.08,62.75
2018-02-20,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,7200.0,9047.07,33.62,78.11,202.6,390.66,78.11
2018-02-21,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,6783.0,5791.45,61.36,78.13,266.09,468.75,78.13
2018-02-22,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,6707.0,10638.94,46.91,78.12,186.57,407.87,78.12
2018-02-23,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,6504.0,1278.99,31.26,65.35,148.59,328.11,65.35
2018-02-26,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,7394.0,1513.59,32.25,78.1,186.51,406.28,78.1
2018-02-27,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,8397.0,5294.23,33.47,78.11,171.94,406.17,78.11
2018-02-28,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,7958.0,1542.72,35.8,78.12,187.91,386.46,78.12
2018-03-01,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,7275.0,3750.21,34.21,78.11,171.97,390.29,78.11
2018-03-02,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,6241.0,1703.07,31.57,77.38,203.02,437.5,77.38
2018-03-05,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,6698.0,1328.1,31.69,77.73,146.96,328.12,77.73
2018-03-06,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,5919.0,1326.46,49.0,78.12,213.78,452.99,78.12
2018-03-07,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,5274.0,1593.65,62.5,78.13,249.54,439.95,78.13
2018-03-08,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,5651.0,1765.64,34.05,77.94,154.57,326.71,77.94
2018-03-09,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,4458.0,1109.34,47.09,78.11,140.63,297.0,78.11
2018-03-12,UcmTicketingDbConn,[Common].[GetLastOpenTicketInfoForAccountIds],All,7710.0,1204.64,41.15,78.12,213.38,407.26,78.12
