startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[GetRootCauses],All,13167.0,40093.22,78.11,78.15,139.83,312.49,78.15
2018-02-05,UcmTicketingDbConn,[Common].[GetRootCauses],All,12278.0,40228.5,78.1,78.15,140.63,542.5,78.15
2018-02-06,UcmTicketingDbConn,[Common].[GetRootCauses],All,14095.0,40140.79,78.12,78.73,155.99,450.2,78.73
2018-02-07,UcmTicketingDbConn,[Common].[GetRootCauses],All,13959.0,40208.1,78.12,83.43,140.64,390.86,83.43
2018-02-08,UcmTicketingDbConn,[Common].[GetRootCauses],All,13470.0,40107.24,78.12,93.74,140.62,375.01,93.74
2018-02-09,UcmTicketingDbConn,[Common].[GetRootCauses],All,13881.0,7160.13,78.11,78.14,124.99,312.51,78.14
2018-02-12,UcmTicketingDbConn,[Common].[GetRootCauses],All,14337.0,33707.29,78.11,78.14,109.43,243.0,78.14
2018-02-13,UcmTicketingDbConn,[Common].[GetRootCauses],All,10107.0,40111.1,78.12,80.23,140.62,359.37,80.23
2018-02-14,UcmTicketingDbConn,[Common].[GetRootCauses],All,12756.0,3592.91,78.11,78.14,109.4,203.17,78.14
2018-02-15,UcmTicketingDbConn,[Common].[GetRootCauses],All,12728.0,48643.33,78.11,78.34,379.67,1382.71,78.34
2018-02-16,UcmTicketingDbConn,[Common].[GetRootCauses],All,11935.0,3508.74,78.1,78.14,109.39,203.17,78.14
2018-02-19,UcmTicketingDbConn,[Common].[GetRootCauses],All,9729.0,3718.31,78.09,78.14,109.46,218.73,78.14
2018-02-20,UcmTicketingDbConn,[Common].[GetRootCauses],All,13570.0,40102.73,78.1,78.14,109.49,206.25,78.14
2018-02-21,UcmTicketingDbConn,[Common].[GetRootCauses],All,14011.0,24554.51,78.09,78.13,111.25,219.62,78.13
2018-02-22,UcmTicketingDbConn,[Common].[GetRootCauses],All,13897.0,40121.09,78.11,78.13,109.38,215.92,78.13
2018-02-23,UcmTicketingDbConn,[Common].[GetRootCauses],All,12807.0,15675.32,78.1,78.13,109.37,203.13,78.13
2018-02-26,UcmTicketingDbConn,[Common].[GetRootCauses],All,12847.0,19239.38,78.09,78.13,109.36,203.12,78.13
2018-02-27,UcmTicketingDbConn,[Common].[GetRootCauses],All,13737.0,40119.06,78.1,78.13,109.38,234.36,78.13
2018-02-28,UcmTicketingDbConn,[Common].[GetRootCauses],All,13561.0,19361.93,78.11,78.14,109.83,218.7,78.14
2018-03-01,UcmTicketingDbConn,[Common].[GetRootCauses],All,13528.0,19261.65,78.11,78.14,109.37,203.12,78.14
2018-03-02,UcmTicketingDbConn,[Common].[GetRootCauses],All,12375.0,45025.37,78.11,78.13,109.38,218.76,78.13
2018-03-05,UcmTicketingDbConn,[Common].[GetRootCauses],All,12325.0,40155.27,78.11,78.13,109.37,203.21,78.13
2018-03-06,UcmTicketingDbConn,[Common].[GetRootCauses],All,13398.0,10765.89,78.11,78.13,109.37,203.12,78.13
2018-03-07,UcmTicketingDbConn,[Common].[GetRootCauses],All,12333.0,40072.19,78.12,78.14,125.0,265.63,78.14
2018-03-08,UcmTicketingDbConn,[Common].[GetRootCauses],All,12404.0,40027.81,78.11,78.14,109.41,220.98,78.14
2018-03-09,UcmTicketingDbConn,[Common].[GetRootCauses],All,12342.0,2421.52,78.11,78.13,103.71,187.81,78.13
2018-03-12,UcmTicketingDbConn,[Common].[GetRootCauses],All,14080.0,3015.65,78.1,78.13,109.38,217.23,78.13
2018-03-13,UcmTicketingDbConn,[Common].[GetRootCauses],All,14104.0,70033.62,78.1,78.13,109.59,327.21,78.13
2018-03-14,UcmTicketingDbConn,[Common].[GetRootCauses],All,15175.0,3921.82,78.11,78.13,109.38,203.11,78.13
2018-03-15,UcmTicketingDbConn,[Common].[GetRootCauses],All,15242.0,19343.44,78.09,78.13,109.37,203.12,78.13
2018-03-16,UcmTicketingDbConn,[Common].[GetRootCauses],All,13566.0,28869.04,78.11,78.14,109.82,250.01,78.14
2018-03-19,UcmTicketingDbConn,[Common].[GetRootCauses],All,11455.0,40062.22,78.12,78.14,109.38,203.17,78.14
2018-03-20,UcmTicketingDbConn,[Common].[GetRootCauses],All,13785.0,40131.38,78.09,78.13,124.91,264.82,78.13
2018-03-21,UcmTicketingDbConn,[Common].[GetRootCauses],All,14300.0,32918.74,78.09,78.14,109.37,187.49,78.14
2018-03-22,UcmTicketingDbConn,[Common].[GetRootCauses],All,12821.0,40137.31,78.08,78.13,109.22,203.05,78.13
2018-03-23,UcmTicketingDbConn,[Common].[GetRootCauses],All,12743.0,40145.66,78.09,78.13,109.38,203.12,78.13
2018-03-26,UcmTicketingDbConn,[Common].[GetRootCauses],All,14025.0,19255.73,76.08,78.13,109.37,203.12,78.13
2018-03-27,UcmTicketingDbConn,[Common].[GetRootCauses],All,15199.0,40073.94,72.87,78.13,109.38,211.27,78.13
2018-03-28,UcmTicketingDbConn,[Common].[GetRootCauses],All,15030.0,40122.43,77.32,78.13,109.56,218.71,78.13
2018-03-29,UcmTicketingDbConn,[Common].[GetRootCauses],All,14103.0,40145.58,78.05,78.13,109.37,203.13,78.13
