startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[GetSupportTiers],All,305.0,2515.32,62.49,78.12,1562.52,1687.4,78.12
2018-02-05,UcmTicketingDbConn,[Common].[GetSupportTiers],All,193.0,2374.92,62.5,78.12,1187.5,2218.76,78.12
2018-02-06,UcmTicketingDbConn,[Common].[GetSupportTiers],All,191.0,3754.47,62.49,77.46,1578.11,3046.79,77.46
2018-02-07,UcmTicketingDbConn,[Common].[GetSupportTiers],All,243.0,2625.38,62.5,93.74,1546.86,1984.29,93.74
2018-02-08,UcmTicketingDbConn,[Common].[GetSupportTiers],All,202.0,2781.17,62.5,78.13,1530.96,2251.32,78.13
2018-02-09,UcmTicketingDbConn,[Common].[GetSupportTiers],All,181.0,2093.97,62.5,63.01,1562.39,1656.26,63.01
2018-02-12,UcmTicketingDbConn,[Common].[GetSupportTiers],All,230.0,3749.95,62.5,78.11,1156.27,1671.92,78.11
2018-02-13,UcmTicketingDbConn,[Common].[GetSupportTiers],All,202.0,2036.67,62.5,93.75,1109.49,1625.39,93.75
2018-02-14,UcmTicketingDbConn,[Common].[GetSupportTiers],All,241.0,2202.94,62.5,77.64,1125.06,1624.34,77.64
2018-02-15,UcmTicketingDbConn,[Common].[GetSupportTiers],All,226.0,11189.2,62.5,124.99,1536.98,1960.42,124.99
2018-02-16,UcmTicketingDbConn,[Common].[GetSupportTiers],All,237.0,2609.44,62.5,64.3,1377.18,1546.85,64.3
2018-02-19,UcmTicketingDbConn,[Common].[GetSupportTiers],All,176.0,3360.02,62.5,594.04,1578.08,2598.39,594.04
2018-02-20,UcmTicketingDbConn,[Common].[GetSupportTiers],All,287.0,2030.98,62.5,78.13,1546.84,1593.6,78.13
2018-02-21,UcmTicketingDbConn,[Common].[GetSupportTiers],All,253.0,2218.81,62.5,67.72,781.36,1671.87,67.72
2018-02-22,UcmTicketingDbConn,[Common].[GetSupportTiers],All,382.0,2990.46,62.5,78.25,1531.12,2234.34,78.25
2018-02-23,UcmTicketingDbConn,[Common].[GetSupportTiers],All,233.0,2627.01,62.5,93.76,1531.26,2060.22,93.76
2018-02-26,UcmTicketingDbConn,[Common].[GetSupportTiers],All,352.0,3296.85,62.5,78.13,1124.99,1615.13,78.13
2018-02-27,UcmTicketingDbConn,[Common].[GetSupportTiers],All,386.0,1718.73,62.5,77.92,1281.0,1609.28,77.92
2018-02-28,UcmTicketingDbConn,[Common].[GetSupportTiers],All,290.0,3374.87,62.5,109.38,1484.36,2171.84,109.38
2018-03-01,UcmTicketingDbConn,[Common].[GetSupportTiers],All,334.0,11905.47,62.5,62.71,625.0,1671.83,62.71
2018-03-02,UcmTicketingDbConn,[Common].[GetSupportTiers],All,281.0,2287.54,62.5,62.68,718.73,1710.52,62.68
2018-03-05,UcmTicketingDbConn,[Common].[GetSupportTiers],All,241.0,2627.6,62.5,78.01,718.76,1592.3,78.01
2018-03-06,UcmTicketingDbConn,[Common].[GetSupportTiers],All,391.0,19271.17,62.5,93.76,1531.59,2257.61,93.76
2018-03-07,UcmTicketingDbConn,[Common].[GetSupportTiers],All,248.0,2578.14,62.5,93.75,1484.38,1922.74,93.75
2018-03-08,UcmTicketingDbConn,[Common].[GetSupportTiers],All,307.0,3046.81,62.5,78.28,1500.81,1734.34,78.28
2018-03-09,UcmTicketingDbConn,[Common].[GetSupportTiers],All,221.0,3129.84,62.5,93.74,1420.83,1687.47,93.74
2018-03-12,UcmTicketingDbConn,[Common].[GetSupportTiers],All,262.0,3535.45,62.5,78.17,1514.42,1765.6,78.17
2018-03-13,UcmTicketingDbConn,[Common].[GetSupportTiers],All,278.0,10836.93,62.5,93.86,1531.23,2765.59,93.86
2018-03-14,UcmTicketingDbConn,[Common].[GetSupportTiers],All,357.0,1879.78,62.5,77.97,640.62,1562.48,77.97
2018-03-15,UcmTicketingDbConn,[Common].[GetSupportTiers],All,295.0,3671.42,62.5,63.2,624.99,2249.98,63.2
