startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1644.0,654.68,62.49,62.5,75.38,124.99,62.5
2018-02-05,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1687.0,593.72,62.49,62.5,68.19,109.41,62.5
2018-02-06,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1698.0,3484.2,62.49,62.5,78.13,156.21,62.5
2018-02-07,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1725.0,19370.06,62.49,62.51,78.13,111.56,62.51
2018-02-08,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1669.0,10500.0,62.5,62.72,79.69,125.51,62.72
2018-02-09,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1436.0,671.61,62.49,62.5,78.12,109.4,62.5
2018-02-12,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1582.0,625.03,62.49,62.5,78.09,109.32,62.5
2018-02-13,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1201.0,391.74,62.49,62.51,78.12,140.62,62.51
2018-02-14,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1309.0,640.66,62.49,62.5,78.12,109.37,62.5
2018-02-15,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1387.0,1469.56,62.49,62.51,93.73,453.23,62.51
2018-02-16,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1354.0,593.8,62.49,62.51,78.12,124.62,62.51
2018-02-19,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1003.0,1688.52,62.48,62.5,66.1,94.09,62.5
2018-02-20,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1481.0,596.58,62.49,62.5,70.85,109.39,62.5
2018-02-21,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1392.0,1421.85,62.49,62.5,66.85,93.76,62.5
2018-02-22,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1469.0,640.58,62.49,62.5,65.3,125.0,62.5
2018-02-23,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1286.0,7296.75,62.49,62.5,78.12,124.98,62.5
2018-02-26,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1324.0,1749.7,62.49,62.5,66.87,109.44,62.5
2018-02-27,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1342.0,468.74,62.49,62.5,66.72,97.04,62.5
2018-02-28,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1399.0,625.01,62.49,62.5,78.13,124.99,62.5
2018-03-01,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1519.0,625.01,62.49,62.5,78.12,109.38,62.5
2018-03-02,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1339.0,632.82,62.49,62.5,78.11,109.38,62.5
2018-03-05,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1333.0,593.74,62.49,62.5,78.09,109.37,62.5
2018-03-06,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1576.0,656.25,62.49,62.5,69.05,109.38,62.5
2018-03-07,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1338.0,1687.45,62.49,62.5,78.14,140.62,62.5
2018-03-08,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1588.0,628.34,62.49,62.5,65.32,93.79,62.5
2018-03-09,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1310.0,421.88,62.49,62.5,64.82,93.74,62.5
2018-03-12,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1667.0,734.37,62.49,62.5,67.75,156.42,62.5
2018-03-13,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1562.0,906.23,62.49,62.5,78.08,124.89,62.5
2018-03-14,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1780.0,843.73,62.49,62.5,78.12,140.69,62.5
2018-03-15,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1615.0,562.49,62.49,62.5,78.11,124.96,62.5
2018-03-16,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1619.0,640.62,62.49,62.5,78.12,140.62,62.5
2018-03-19,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1217.0,1265.6,62.49,62.5,78.12,109.37,62.5
2018-03-20,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1797.0,9713.2,62.49,62.5,78.09,109.37,62.5
2018-03-21,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1740.0,3046.86,62.49,62.5,78.12,155.91,62.5
2018-03-22,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1480.0,7942.49,62.49,62.5,63.45,93.89,62.5
2018-03-23,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1511.0,4921.75,62.49,62.5,78.12,109.38,62.5
2018-03-26,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1566.0,1218.75,62.49,62.5,63.2,93.75,62.5
2018-03-27,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1910.0,19266.94,62.49,62.5,78.12,125.01,62.5
2018-03-28,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1921.0,19247.86,62.49,62.5,78.13,124.51,62.5
2018-03-29,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1651.0,7296.75,62.49,62.5,78.12,156.61,62.5
2018-03-30,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1372.0,19266.25,62.49,62.5,78.12,109.61,62.5
2018-04-02,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1091.0,796.88,62.5,62.51,78.14,187.51,62.51
2018-04-03,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1761.0,1812.5,62.49,62.5,78.12,125.01,62.5
2018-04-04,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1721.0,19381.74,62.49,62.5,78.13,156.25,62.5
2018-04-05,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1668.0,625.03,62.49,62.5,78.0,109.38,62.5
2018-04-06,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1512.0,593.76,62.49,62.5,76.35,109.38,62.5
2018-04-09,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1805.0,14406.06,62.49,62.5,68.68,109.37,62.5
2018-04-10,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1760.0,624.99,62.5,62.51,78.13,140.88,62.51
2018-04-11,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1657.0,1046.9,62.49,62.5,78.13,125.0,62.5
2018-04-12,UcmTicketingDbConn,[Common].[GetTicketAccounts],All,1909.0,1171.87,62.49,62.5,78.12,142.09,62.5
