startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,3730.0,19280.04,36.42,78.12,169.69,580.66,78.12
2018-02-05,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,4954.0,16606.12,34.94,78.12,298.64,890.62,78.12
2018-02-06,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,4892.0,19302.69,47.68,78.13,256.41,890.68,78.13
2018-02-07,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,4639.0,18140.21,62.09,78.13,234.2,919.31,78.13
2018-02-08,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,4475.0,19271.32,61.26,78.13,200.35,917.09,78.13
2018-02-09,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,3563.0,17863.59,59.14,78.12,201.92,937.89,78.12
2018-02-12,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,4244.0,5968.74,39.72,78.12,125.01,887.94,78.12
2018-02-13,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,2868.0,1750.04,76.04,78.13,187.68,875.01,78.13
2018-02-14,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,4100.0,19274.69,34.59,78.12,114.12,483.01,78.12
2018-02-15,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,4019.0,19261.02,34.04,78.12,140.66,645.93,78.12
2018-02-16,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,3402.0,1079.64,32.77,78.12,109.38,355.36,78.12
2018-02-19,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,2554.0,1076.44,29.89,66.61,109.42,888.06,66.61
2018-02-20,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,4633.0,1140.27,31.27,78.12,109.38,359.36,78.12
2018-02-21,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,4507.0,4684.39,47.4,78.12,125.0,609.55,78.12
2018-02-22,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,4462.0,9445.16,41.04,78.12,109.52,346.55,78.12
2018-02-23,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,3948.0,19260.8,31.25,78.11,109.37,343.74,78.11
2018-02-26,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,5073.0,1189.72,34.48,78.12,125.09,421.65,78.12
2018-02-27,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,5546.0,16729.42,36.06,78.12,109.58,448.94,78.12
2018-02-28,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,5056.0,19265.33,46.92,78.12,122.3,328.21,78.12
2018-03-01,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,4522.0,1594.35,46.9,78.12,110.32,312.5,78.12
2018-03-02,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,3719.0,4366.9,31.27,78.12,109.47,403.28,78.12
2018-03-05,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,4294.0,17943.95,31.7,78.12,109.38,328.12,78.12
2018-03-06,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,4306.0,1312.5,61.09,78.12,124.23,296.87,78.12
2018-03-07,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,4058.0,14185.95,62.5,78.13,156.25,660.32,78.13
2018-03-08,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,4146.0,19261.19,33.87,78.12,109.38,375.02,78.12
2018-03-09,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,3274.0,953.16,35.2,78.12,109.37,250.0,78.12
2018-03-12,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,4811.0,17225.7,32.54,78.12,109.5,386.48,78.12
2018-03-13,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,4980.0,22733.17,36.06,78.12,114.0,390.56,78.12
2018-03-14,UcmTicketingDbConn,[Common].[GetTicketCreationTeamsByWorkspace],All,4723.0,19236.69,47.08,78.12,124.99,566.86,78.12
