startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[GetTicketDetails],All,805.0,625.01,78.11,78.14,187.49,328.2,78.14
2018-02-05,UcmTicketingDbConn,[Common].[GetTicketDetails],All,710.0,671.87,78.1,78.14,140.63,250.01,78.14
2018-02-06,UcmTicketingDbConn,[Common].[GetTicketDetails],All,749.0,829.58,78.11,78.13,156.26,343.74,78.13
2018-02-07,UcmTicketingDbConn,[Common].[GetTicketDetails],All,760.0,721.25,78.12,78.16,171.87,413.88,78.16
2018-02-08,UcmTicketingDbConn,[Common].[GetTicketDetails],All,716.0,706.26,78.12,93.74,187.5,345.02,93.74
2018-02-09,UcmTicketingDbConn,[Common].[GetTicketDetails],All,677.0,781.25,78.11,78.13,133.3,359.38,78.13
2018-02-12,UcmTicketingDbConn,[Common].[GetTicketDetails],All,712.0,640.61,78.06,78.13,140.63,296.88,78.13
2018-02-13,UcmTicketingDbConn,[Common].[GetTicketDetails],All,585.0,374.98,78.12,78.15,125.06,187.57,78.15
2018-02-14,UcmTicketingDbConn,[Common].[GetTicketDetails],All,696.0,499.98,78.12,78.15,140.63,359.37,78.15
2018-02-15,UcmTicketingDbConn,[Common].[GetTicketDetails],All,680.0,45797.48,78.11,78.16,499.98,2687.43,78.16
2018-02-16,UcmTicketingDbConn,[Common].[GetTicketDetails],All,661.0,805.01,78.02,78.14,140.61,359.44,78.14
2018-02-19,UcmTicketingDbConn,[Common].[GetTicketDetails],All,514.0,46859.13,71.27,78.13,125.04,375.06,78.13
2018-02-20,UcmTicketingDbConn,[Common].[GetTicketDetails],All,668.0,531.24,78.11,78.13,140.63,266.65,78.13
2018-02-21,UcmTicketingDbConn,[Common].[GetTicketDetails],All,811.0,2265.62,78.11,78.13,140.64,374.27,78.13
2018-02-22,UcmTicketingDbConn,[Common].[GetTicketDetails],All,691.0,3828.21,78.11,78.14,174.8,328.12,78.14
2018-02-23,UcmTicketingDbConn,[Common].[GetTicketDetails],All,699.0,1156.58,78.11,78.13,156.23,359.4,78.13
2018-02-26,UcmTicketingDbConn,[Common].[GetTicketDetails],All,749.0,438.66,77.32,78.13,125.0,250.02,78.13
2018-02-27,UcmTicketingDbConn,[Common].[GetTicketDetails],All,732.0,891.82,78.11,78.13,171.44,375.03,78.13
2018-02-28,UcmTicketingDbConn,[Common].[GetTicketDetails],All,767.0,656.25,78.12,78.14,125.7,312.52,78.14
2018-03-01,UcmTicketingDbConn,[Common].[GetTicketDetails],All,803.0,724.37,78.12,78.13,140.56,312.5,78.13
2018-03-02,UcmTicketingDbConn,[Common].[GetTicketDetails],All,763.0,3352.74,78.09,78.13,124.99,250.19,78.13
2018-03-05,UcmTicketingDbConn,[Common].[GetTicketDetails],All,658.0,703.11,78.11,78.13,140.6,207.62,78.13
2018-03-06,UcmTicketingDbConn,[Common].[GetTicketDetails],All,753.0,843.74,78.11,78.13,140.63,421.87,78.13
2018-03-07,UcmTicketingDbConn,[Common].[GetTicketDetails],All,697.0,953.11,78.12,78.14,172.37,499.99,78.14
2018-03-08,UcmTicketingDbConn,[Common].[GetTicketDetails],All,704.0,703.12,78.1,78.13,125.0,359.38,78.13
2018-03-09,UcmTicketingDbConn,[Common].[GetTicketDetails],All,752.0,1078.09,78.12,78.13,140.62,343.73,78.13
2018-03-12,UcmTicketingDbConn,[Common].[GetTicketDetails],All,696.0,1803.64,78.12,78.14,140.63,437.49,78.14
2018-03-13,UcmTicketingDbConn,[Common].[GetTicketDetails],All,814.0,49289.24,78.12,78.13,234.4,640.63,78.13
2018-03-14,UcmTicketingDbConn,[Common].[GetTicketDetails],All,796.0,594.82,78.12,78.14,125.01,249.99,78.14
2018-03-15,UcmTicketingDbConn,[Common].[GetTicketDetails],All,879.0,640.62,78.12,78.13,140.63,265.63,78.13
2018-03-16,UcmTicketingDbConn,[Common].[GetTicketDetails],All,804.0,1420.5,78.12,78.14,140.76,456.49,78.14
2018-03-19,UcmTicketingDbConn,[Common].[GetTicketDetails],All,698.0,781.28,78.12,78.14,130.52,296.86,78.14
2018-03-20,UcmTicketingDbConn,[Common].[GetTicketDetails],All,1013.0,921.87,78.11,78.14,156.26,423.8,78.14
2018-03-21,UcmTicketingDbConn,[Common].[GetTicketDetails],All,677.0,593.74,78.11,78.13,140.62,286.2,78.13
2018-03-22,UcmTicketingDbConn,[Common].[GetTicketDetails],All,694.0,546.86,78.05,78.13,125.04,296.88,78.13
2018-03-23,UcmTicketingDbConn,[Common].[GetTicketDetails],All,775.0,750.15,78.11,78.13,124.99,296.88,78.13
2018-03-26,UcmTicketingDbConn,[Common].[GetTicketDetails],All,815.0,703.13,78.11,78.13,140.63,326.47,78.13
2018-03-27,UcmTicketingDbConn,[Common].[GetTicketDetails],All,852.0,593.74,78.11,78.13,125.01,296.91,78.13
2018-03-28,UcmTicketingDbConn,[Common].[GetTicketDetails],All,840.0,843.76,78.11,78.14,140.62,374.99,78.14
2018-03-29,UcmTicketingDbConn,[Common].[GetTicketDetails],All,787.0,656.16,78.11,78.13,140.63,312.5,78.13
2018-03-30,UcmTicketingDbConn,[Common].[GetTicketDetails],All,761.0,640.61,78.11,78.14,140.61,312.51,78.14
2018-04-02,UcmTicketingDbConn,[Common].[GetTicketDetails],All,453.0,749.98,78.12,78.16,157.08,406.26,78.16
2018-04-03,UcmTicketingDbConn,[Common].[GetTicketDetails],All,750.0,1078.07,78.12,78.15,171.9,406.24,78.15
2018-04-04,UcmTicketingDbConn,[Common].[GetTicketDetails],All,709.0,1125.02,78.11,78.13,125.01,374.98,78.13
2018-04-05,UcmTicketingDbConn,[Common].[GetTicketDetails],All,814.0,1359.34,78.11,78.13,140.62,359.38,78.13
2018-04-06,UcmTicketingDbConn,[Common].[GetTicketDetails],All,716.0,843.69,78.11,78.13,125.0,265.63,78.13
2018-04-09,UcmTicketingDbConn,[Common].[GetTicketDetails],All,708.0,546.84,77.89,78.13,125.79,249.95,78.13
2018-04-10,UcmTicketingDbConn,[Common].[GetTicketDetails],All,760.0,625.01,78.12,78.14,125.03,328.16,78.14
2018-04-11,UcmTicketingDbConn,[Common].[GetTicketDetails],All,812.0,671.86,78.11,78.14,140.46,250.0,78.14
2018-04-12,UcmTicketingDbConn,[Common].[GetTicketDetails],All,781.0,765.5,78.1,78.13,125.01,312.4,78.13
2018-04-13,UcmTicketingDbConn,[Common].[GetTicketDetails],All,818.0,961.88,78.11,78.14,125.01,233.76,78.14
2018-04-16,UcmTicketingDbConn,[Common].[GetTicketDetails],All,752.0,578.09,78.11,78.13,140.61,203.12,78.13
2018-04-17,UcmTicketingDbConn,[Common].[GetTicketDetails],All,827.0,1031.22,78.12,78.13,125.0,296.85,78.13
2018-04-18,UcmTicketingDbConn,[Common].[GetTicketDetails],All,793.0,781.19,78.11,78.13,140.62,328.11,78.13
2018-04-19,UcmTicketingDbConn,[Common].[GetTicketDetails],All,734.0,593.77,78.11,78.13,125.03,375.0,78.13
2018-04-20,UcmTicketingDbConn,[Common].[GetTicketDetails],All,712.0,968.77,78.11,78.13,125.1,312.49,78.13
2018-04-23,UcmTicketingDbConn,[Common].[GetTicketDetails],All,694.0,562.52,78.11,78.13,109.4,218.75,78.13
2018-04-24,UcmTicketingDbConn,[Common].[GetTicketDetails],All,772.0,539.07,78.12,78.15,140.63,312.5,78.15
2018-04-25,UcmTicketingDbConn,[Common].[GetTicketDetails],All,740.0,421.9,78.11,78.13,109.38,203.12,78.13
2018-04-26,UcmTicketingDbConn,[Common].[GetTicketDetails],All,609.0,23037.31,78.12,78.17,234.33,593.74,78.17
2018-04-27,UcmTicketingDbConn,[Common].[GetTicketDetails],All,773.0,546.43,78.12,78.16,156.25,359.38,78.16
2018-04-30,UcmTicketingDbConn,[Common].[GetTicketDetails],All,759.0,625.0,77.69,78.13,140.62,265.62,78.13
2018-05-01,UcmTicketingDbConn,[Common].[GetTicketDetails],All,702.0,546.86,78.11,78.13,139.05,250.0,78.13
2018-05-02,UcmTicketingDbConn,[Common].[GetTicketDetails],All,744.0,640.61,78.11,78.13,140.62,359.37,78.13
2018-05-03,UcmTicketingDbConn,[Common].[GetTicketDetails],All,761.0,374.98,78.11,78.13,138.7,296.85,78.13
2018-05-04,UcmTicketingDbConn,[Common].[GetTicketDetails],All,806.0,561.42,78.09,78.13,187.49,327.12,78.13
2018-05-07,UcmTicketingDbConn,[Common].[GetTicketDetails],All,676.0,1015.63,78.12,78.14,125.39,312.5,78.14
2018-05-08,UcmTicketingDbConn,[Common].[GetTicketDetails],All,706.0,953.23,78.12,78.15,187.49,499.98,78.15
2018-05-09,UcmTicketingDbConn,[Common].[GetTicketDetails],All,737.0,3421.83,78.11,78.14,140.77,375.01,78.14
2018-05-10,UcmTicketingDbConn,[Common].[GetTicketDetails],All,752.0,1983.82,78.11,78.14,187.5,421.88,78.14
2018-05-11,UcmTicketingDbConn,[Common].[GetTicketDetails],All,691.0,19955.32,78.1,78.13,140.69,374.38,78.13
2018-05-14,UcmTicketingDbConn,[Common].[GetTicketDetails],All,698.0,359.41,64.06,78.13,109.39,249.98,78.13
2018-05-15,UcmTicketingDbConn,[Common].[GetTicketDetails],All,832.0,5924.19,77.88,78.14,140.61,359.43,78.14
2018-05-16,UcmTicketingDbConn,[Common].[GetTicketDetails],All,858.0,1013.33,78.07,78.14,140.62,387.06,78.14
2018-05-17,UcmTicketingDbConn,[Common].[GetTicketDetails],All,734.0,703.1,78.08,78.14,140.6,268.68,78.14
2018-05-18,UcmTicketingDbConn,[Common].[GetTicketDetails],All,785.0,718.76,75.32,78.14,125.09,245.64,78.14
2018-05-21,UcmTicketingDbConn,[Common].[GetTicketDetails],All,747.0,1031.28,74.09,78.13,125.01,308.44,78.13
2018-05-22,UcmTicketingDbConn,[Common].[GetTicketDetails],All,828.0,929.81,76.91,78.14,140.65,365.25,78.14
2018-05-23,UcmTicketingDbConn,[Common].[GetTicketDetails],All,899.0,466.19,77.05,78.14,134.49,312.51,78.14
2018-05-24,UcmTicketingDbConn,[Common].[GetTicketDetails],All,869.0,640.64,77.66,78.14,171.87,329.97,78.14
