startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,305.0,1890.59,62.5,62.51,609.32,1532.45,62.51
2018-02-05,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,193.0,1874.95,62.49,62.52,609.38,1671.89,62.52
2018-02-06,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,188.0,1969.1,62.49,62.51,124.99,843.78,62.51
2018-02-07,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,242.0,1223.67,62.49,62.51,576.76,671.86,62.51
2018-02-08,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,202.0,2765.35,62.5,77.99,609.36,1782.58,77.99
2018-02-09,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,181.0,1046.89,62.49,62.51,187.54,656.28,62.51
2018-02-12,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,228.0,1226.41,62.49,62.55,595.2,640.81,62.55
2018-02-13,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,202.0,718.75,62.5,62.54,203.28,625.34,62.54
2018-02-14,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,241.0,1765.67,62.5,62.54,594.13,1624.94,62.54
2018-02-15,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,223.0,2531.22,62.49,62.52,609.3,1031.23,62.52
2018-02-16,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,237.0,670.97,62.49,62.52,140.64,625.04,62.52
2018-02-19,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,176.0,1265.6,62.49,62.51,609.34,656.25,62.51
2018-02-20,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,288.0,828.1,62.5,62.54,140.63,609.35,62.54
2018-02-21,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,253.0,781.37,62.49,62.51,140.62,687.53,62.51
2018-02-22,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,382.0,3005.98,62.5,62.54,593.84,1171.9,62.54
2018-02-23,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,231.0,1671.85,62.49,62.52,593.74,1109.41,62.52
2018-02-26,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,350.0,3312.48,62.49,62.6,593.74,656.22,62.6
2018-02-27,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,385.0,1640.67,62.5,62.53,155.36,656.12,62.53
2018-02-28,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,288.0,2374.97,62.5,78.0,593.79,953.14,78.0
2018-03-01,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,334.0,1156.85,62.5,62.51,109.09,640.64,62.51
2018-03-02,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,280.0,4499.94,62.5,62.51,127.85,2171.11,62.51
2018-03-05,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,242.0,1734.36,62.5,62.56,609.04,656.25,62.56
2018-03-06,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,390.0,19271.17,62.5,62.67,609.96,1671.85,62.67
2018-03-07,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,249.0,1749.96,62.5,78.12,609.38,1593.93,78.12
2018-03-08,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,308.0,3343.69,62.5,62.52,623.36,1640.65,62.52
2018-03-09,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,222.0,2624.95,62.5,62.63,593.74,1656.28,62.63
2018-03-12,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,263.0,1140.65,62.5,62.54,605.01,1124.98,62.54
2018-03-13,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,277.0,2046.8,62.49,62.54,593.75,1671.86,62.54
2018-03-14,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,358.0,1911.04,62.5,63.11,593.75,1109.35,63.11
2018-03-15,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,295.0,2078.12,62.5,62.54,171.87,1609.56,62.54
2018-03-16,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,311.0,1671.84,62.5,63.35,173.51,1109.29,63.35
2018-03-19,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,191.0,1124.99,62.5,63.29,593.04,656.28,63.29
2018-03-20,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,213.0,1218.72,62.37,62.52,625.0,1115.38,62.52
2018-03-21,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,279.0,1759.47,62.49,62.53,596.3,1249.97,62.53
2018-03-22,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,251.0,1765.55,62.5,62.52,640.11,1578.14,62.52
2018-03-23,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,332.0,4953.93,62.5,62.52,188.04,2343.68,62.52
2018-03-26,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,316.0,3187.44,62.5,62.51,609.38,1657.09,62.51
2018-03-27,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,393.0,2109.34,62.5,62.69,609.37,1671.84,62.69
2018-03-28,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,279.0,3171.81,62.5,64.34,609.37,1140.62,64.34
2018-03-29,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,275.0,1135.9,62.5,62.52,187.52,625.0,62.52
2018-03-30,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,242.0,812.51,62.5,62.81,109.38,640.94,62.81
2018-04-02,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,252.0,2797.06,62.5,63.12,625.01,1625.0,63.12
2018-04-03,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,262.0,2218.76,62.5,63.53,608.78,1999.97,63.53
2018-04-04,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,321.0,1640.37,62.5,63.05,218.75,1124.96,63.05
2018-04-05,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,296.0,1640.6,62.5,62.53,156.25,718.73,62.53
2018-04-06,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,216.0,1437.43,62.5,62.72,593.69,640.61,62.72
2018-04-09,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,289.0,1312.49,62.5,62.51,609.37,1187.27,62.51
2018-04-10,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,339.0,3359.29,62.5,64.7,218.75,625.03,64.7
2018-04-11,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,284.0,1281.28,62.5,62.54,140.63,1124.3,62.54
2018-04-12,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,233.0,1749.98,62.5,62.52,578.11,625.01,62.52
2018-04-13,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,267.0,1312.48,62.49,62.51,108.55,656.23,62.51
2018-04-16,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,213.0,1921.75,62.5,62.52,593.74,655.79,62.52
2018-04-17,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,242.0,1390.14,62.5,62.54,156.31,624.98,62.54
2018-04-18,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,279.0,2328.07,62.5,62.54,593.74,1140.1,62.54
2018-04-19,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,384.0,2171.97,62.5,62.51,593.15,718.74,62.51
2018-04-20,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,224.0,1531.22,62.49,62.51,562.5,1125.02,62.51
2018-04-23,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,224.0,1624.97,62.5,62.51,156.25,734.62,62.51
2018-04-24,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,260.0,656.24,62.5,62.54,141.84,624.99,62.54
2018-04-25,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,230.0,1281.26,62.5,62.54,94.43,546.86,62.54
2018-04-26,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,244.0,250101.47,62.51,109.37,656.24,249901.79,109.37
2018-04-27,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,225.0,2234.95,62.5,62.51,593.74,1125.0,62.51
2018-04-30,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,246.0,1671.86,62.5,62.51,625.01,1093.76,62.51
2018-05-01,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,200.0,1453.1,62.5,62.54,246.21,640.62,62.54
2018-05-02,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,283.0,1296.9,62.49,62.51,609.36,1140.62,62.51
2018-05-03,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,249.0,1812.47,62.5,62.51,593.78,627.07,62.51
2018-05-04,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,228.0,1781.23,62.49,62.51,281.24,1124.98,62.51
2018-05-07,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,174.0,1640.58,62.49,62.51,593.09,1147.21,62.51
2018-05-08,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,227.0,5327.82,62.5,62.51,562.49,1265.65,62.51
2018-05-09,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,226.0,24968.81,62.49,62.53,1156.65,7311.93,62.53
2018-05-10,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,324.0,24820.06,62.5,78.13,1234.25,5628.4,78.13
2018-05-11,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,224.0,6706.08,62.5,62.54,640.67,2578.08,62.54
2018-05-14,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,187.0,4903.13,62.49,62.55,609.41,4390.03,62.55
2018-05-15,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,218.0,4890.69,62.46,62.52,609.98,2250.01,62.52
2018-05-16,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,230.0,1687.54,62.45,62.55,609.33,1546.02,62.55
2018-05-17,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,223.0,5575.13,62.13,62.53,207.57,812.54,62.53
2018-05-18,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,209.0,2703.18,62.49,62.55,610.58,1795.57,62.55
2018-05-21,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,194.0,4341.11,62.4,62.54,609.5,2378.88,62.54
2018-05-22,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,213.0,1375.03,62.47,62.53,594.71,750.0,62.53
2018-05-23,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,260.0,2170.77,59.46,62.51,590.17,781.27,62.51
2018-05-24,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,256.0,1718.7,60.59,62.53,125.0,1120.23,62.53
2018-05-25,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,252.0,2627.64,61.6,62.53,591.25,656.31,62.53
2018-05-28,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,136.0,2187.53,60.09,62.52,1140.61,2187.49,62.52
2018-05-29,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,231.0,1749.99,60.34,62.78,657.53,1143.58,62.78
2018-05-30,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,251.0,3295.68,62.34,62.53,607.53,686.49,62.53
2018-05-31,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,242.0,3795.65,60.26,62.52,625.01,2481.65,62.52
2018-06-01,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,250.0,11062.5,62.48,62.7,656.23,1764.53,62.7
2018-06-04,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,212.0,2593.69,62.13,62.53,765.66,2218.75,62.53
2018-06-05,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,289.0,5139.42,62.21,62.54,1296.09,3625.03,62.54
2018-06-06,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,313.0,2058.07,62.46,62.57,622.37,1640.63,62.57
2018-06-07,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,326.0,1953.2,61.63,62.56,609.36,1343.78,62.56
2018-06-08,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,274.0,5142.71,61.96,62.89,1125.01,4088.7,62.89
2018-06-11,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,249.0,2214.1,62.45,63.34,1111.89,1760.9,63.34
2018-06-12,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,319.0,2683.1,62.31,62.55,671.88,1671.25,62.55
2018-06-13,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,400.0,4073.21,61.05,62.53,652.27,2777.12,62.53
2018-06-14,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,268.0,3552.64,62.47,63.65,624.94,1673.66,63.65
2018-06-15,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,241.0,1765.22,61.58,62.62,636.69,1121.46,62.62
2018-06-18,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,243.0,1687.67,59.82,62.54,610.24,1156.3,62.54
2018-06-19,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,272.0,1659.25,62.12,62.63,640.28,1637.94,62.63
2018-06-20,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,301.0,2234.42,61.97,62.54,622.85,1640.73,62.54
2018-06-21,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,280.0,1699.11,62.33,63.73,625.29,1171.87,63.73
2018-06-22,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,300.0,4169.28,61.32,62.54,625.0,1656.19,62.54
2018-06-25,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,303.0,2221.18,60.97,63.17,1093.73,1671.92,63.17
2018-06-26,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,255.0,6218.87,62.46,62.79,609.39,5746.72,62.79
2018-06-27,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,265.0,4364.98,62.1,62.53,598.32,2329.21,62.53
2018-06-28,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,222.0,4105.57,61.56,62.54,620.6,1797.42,62.54
2018-06-29,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,225.0,4972.78,62.47,62.56,593.78,1734.35,62.56
2018-07-02,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,223.0,630.12,62.33,62.53,121.33,625.04,62.53
2018-07-03,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,236.0,3553.98,62.47,62.53,593.76,1140.53,62.53
2018-07-04,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,151.0,632.38,58.75,62.51,92.19,625.04,62.51
2018-07-05,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,223.0,640.63,62.45,62.53,109.41,625.07,62.53
2018-07-06,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,279.0,672.86,62.46,62.53,578.18,640.63,62.53
2018-07-09,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,234.0,1485.09,62.39,62.52,109.32,1171.94,62.52
2018-07-10,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,254.0,16048.39,62.45,62.54,204.84,15748.09,62.54
2018-07-11,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,296.0,5609.98,62.38,62.55,125.03,5252.32,62.55
2018-07-12,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,295.0,8781.33,62.47,62.54,719.43,8419.71,62.54
2018-07-13,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,259.0,2640.61,61.95,62.53,96.01,1900.93,62.53
2018-07-16,UcmTicketingDbConn,[Common].[GetTicketStatesSubstates],All,297.0,3140.77,61.0,62.53,93.74,327.8,62.53
