startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,12915.0,1248.37,19.59,62.5,109.46,236.67,62.5
2018-02-05,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,14475.0,14032.65,19.24,62.5,109.35,224.87,62.5
2018-02-06,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,10668.0,4237.34,19.59,62.5,125.0,282.2,62.5
2018-02-07,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,10804.0,1078.12,20.09,62.5,109.92,251.23,62.5
2018-02-08,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,10185.0,2562.5,19.47,62.5,109.38,256.54,62.5
2018-02-09,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,8454.0,2578.08,19.76,62.5,109.37,234.54,62.5
2018-02-12,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,10260.0,3718.83,20.22,62.51,109.38,234.31,62.51
2018-02-13,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,7435.0,888.2,62.48,78.18,156.0,266.06,78.18
2018-02-14,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,9525.0,4905.13,19.96,62.5,109.87,265.62,62.5
2018-02-15,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,9191.0,14542.72,29.18,76.47,217.87,781.25,76.47
2018-02-16,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,7936.0,1171.66,35.44,78.12,138.9,250.48,78.12
2018-02-19,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,5388.0,1093.22,17.13,33.72,92.21,218.7,33.72
2018-02-20,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,11060.0,15110.31,19.6,62.5,109.32,219.08,62.5
2018-02-21,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,10030.0,1140.62,20.94,62.53,125.0,265.14,62.53
2018-02-22,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,9973.0,1656.21,19.87,62.51,127.63,523.39,62.51
2018-02-23,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,9301.0,1265.6,19.04,62.49,95.8,208.41,62.49
2018-02-26,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,11364.0,1078.13,31.93,75.53,125.0,265.61,75.53
2018-02-27,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,12485.0,1464.24,19.75,62.5,109.38,235.45,62.5
2018-02-28,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,11764.0,1015.61,19.98,62.5,109.37,234.38,62.5
2018-03-01,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,10832.0,3485.65,19.66,62.5,109.37,249.99,62.5
2018-03-02,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,8980.0,2066.2,19.71,62.5,109.37,234.69,62.5
2018-03-05,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,9881.0,1018.11,19.61,62.5,109.37,250.05,62.5
2018-03-06,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,9629.0,984.91,31.28,77.39,124.99,249.15,77.39
2018-03-07,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,7789.0,13116.65,48.47,78.13,156.25,312.5,78.13
2018-03-08,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,8294.0,1390.61,19.45,62.5,109.19,234.36,62.5
2018-03-09,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,6774.0,890.6,19.43,62.5,93.81,234.36,62.5
2018-03-12,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,11497.0,1041.88,19.91,62.5,109.38,234.37,62.5
2018-03-13,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,11184.0,9734.19,19.88,62.5,123.68,315.68,62.5
2018-03-14,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,10533.0,1140.77,46.83,78.12,140.62,296.89,78.12
2018-03-15,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,10027.0,3177.9,31.21,78.11,218.75,340.11,78.11
2018-03-16,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,8680.0,786.63,33.63,62.95,124.75,249.35,62.95
2018-03-19,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,7752.0,4687.43,18.16,47.27,93.75,218.71,47.27
2018-03-20,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,7452.0,1297.07,19.51,62.49,121.36,257.05,62.49
2018-03-21,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,6445.0,5378.04,19.35,62.5,124.67,249.99,62.5
2018-03-22,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,6749.0,2125.02,19.56,62.5,109.45,243.82,62.5
2018-03-23,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,7749.0,15553.45,19.72,62.5,110.05,251.31,62.5
2018-03-26,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,11144.0,1079.87,19.78,62.5,109.37,234.95,62.5
2018-03-27,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,11893.0,1890.66,29.2,62.51,125.05,359.44,62.51
2018-03-28,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,11264.0,1124.96,31.24,65.85,125.01,265.65,65.85
2018-03-29,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,9999.0,1142.51,29.8,62.71,125.0,279.3,62.71
2018-03-30,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,7246.0,2906.23,35.51,77.62,139.28,276.48,77.62
2018-04-02,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,8188.0,6328.28,93.66,124.99,204.34,387.1,124.99
2018-04-03,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,12045.0,2843.69,48.84,78.13,171.9,389.88,78.13
2018-04-04,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,11853.0,6452.67,29.32,62.53,137.55,280.98,62.53
2018-04-05,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,11212.0,37719.07,19.78,62.5,124.99,265.64,62.5
2018-04-06,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,8848.0,1224.09,19.81,62.51,125.47,268.72,62.51
2018-04-09,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,12308.0,1076.97,19.79,62.5,126.65,280.46,62.5
2018-04-10,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,11199.0,12577.81,20.64,62.51,140.6,296.31,62.51
2018-04-11,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,11052.0,1796.84,31.23,62.59,142.02,295.89,62.59
2018-04-12,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,10435.0,1015.61,27.81,62.71,140.62,312.51,62.71
2018-04-13,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,8840.0,890.61,20.55,62.51,127.24,297.15,62.51
2018-04-16,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,11367.0,2122.18,29.33,62.54,140.67,359.55,62.54
2018-04-17,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,11047.0,12062.8,28.9,62.51,128.4,283.25,62.51
2018-04-18,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,11723.0,19265.02,31.24,64.14,140.74,391.01,64.14
2018-04-19,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,12083.0,1078.15,20.49,62.51,126.1,265.61,62.51
2018-04-20,UcmTicketingDbConn,[Common].[GetTicketSummaryByAccounts],All,8694.0,1239.75,19.59,62.5,109.38,234.46,62.5
